Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type
2829.0,314.0,24.0,484.0,181.0,1057.0,151.0,214.0,200.0,1443.0,2
2933.0,241.0,5.0,540.0,57.0,3532.0,211.0,244.0,171.0,3889.0,2
2553.0,157.0,14.0,90.0,23.0,1460.0,235.0,241.0,134.0,4629.0,2
2372.0,253.0,11.0,30.0,-2.0,649.0,194.0,248.0,191.0,1036.0,6
2975.0,225.0,10.0,513.0,79.0,5970.0,207.0,249.0,179.0,6458.0,2
2798.0,38.0,14.0,306.0,42.0,1997.0,219.0,209.0,122.0,1945.0,2
2341.0,39.0,19.0,192.0,97.0,1350.0,217.0,196.0,107.0,1167.0,3
2627.0,49.0,14.0,150.0,23.0,1650.0,225.0,210.0,116.0,2052.0,2
3094.0,79.0,11.0,90.0,17.0,2147.0,235.0,220.0,115.0,1746.0,1
3076.0,238.0,15.0,212.0,38.0,1692.0,192.0,252.0,195.0,150.0,2
3221.0,280.0,11.0,384.0,88.0,3869.0,191.0,241.0,190.0,1549.0,1
3340.0,78.0,44.0,180.0,140.0,2663.0,231.0,124.0,0.0,420.0,7
3203.0,290.0,8.0,0.0,0.0,4741.0,198.0,239.0,181.0,430.0,1
3235.0,24.0,11.0,30.0,3.0,4387.0,214.0,215.0,136.0,931.0,1
2903.0,32.0,9.0,335.0,90.0,3237.0,218.0,220.0,137.0,2320.0,2
3034.0,327.0,8.0,42.0,3.0,552.0,201.0,231.0,170.0,1275.0,2
3187.0,310.0,12.0,108.0,7.0,1205.0,187.0,232.0,185.0,1189.0,1
2919.0,117.0,14.0,210.0,25.0,4644.0,243.0,227.0,110.0,1725.0,2
3121.0,50.0,7.0,417.0,40.0,1328.0,224.0,225.0,136.0,2665.0,1
3366.0,231.0,12.0,0.0,0.0,4380.0,200.0,251.0,187.0,3508.0,7
3217.0,2.0,8.0,446.0,33.0,742.0,209.0,224.0,154.0,1770.0,1
3263.0,96.0,6.0,270.0,1.0,4080.0,231.0,231.0,133.0,2324.0,1
2287.0,291.0,22.0,242.0,104.0,866.0,153.0,230.0,215.0,552.0,3
3057.0,150.0,8.0,765.0,23.0,6150.0,231.0,240.0,141.0,3271.0,2
3168.0,145.0,20.0,42.0,17.0,1350.0,243.0,233.0,110.0,2452.0,2
3021.0,30.0,8.0,516.0,102.0,3062.0,218.0,223.0,140.0,693.0,2
3100.0,31.0,6.0,553.0,44.0,5248.0,219.0,228.0,145.0,1566.0,1
3302.0,301.0,25.0,932.0,208.0,3795.0,142.0,220.0,214.0,2305.0,1
2959.0,51.0,9.0,277.0,40.0,4725.0,225.0,221.0,129.0,6427.0,2
2780.0,164.0,10.0,228.0,56.0,2971.0,230.0,243.0,145.0,2609.0,2
2956.0,1.0,12.0,67.0,15.0,1290.0,203.0,217.0,152.0,430.0,2
3093.0,50.0,4.0,247.0,8.0,1337.0,221.0,231.0,146.0,1441.0,2
2974.0,1.0,21.0,335.0,131.0,1806.0,184.0,195.0,144.0,2800.0,2
3156.0,179.0,13.0,30.0,-6.0,3057.0,225.0,247.0,152.0,994.0,1
2721.0,111.0,15.0,0.0,0.0,2707.0,245.0,222.0,101.0,2228.0,5
2846.0,217.0,17.0,402.0,209.0,987.0,199.0,254.0,187.0,1786.0,2
2968.0,77.0,9.0,85.0,8.0,1295.0,232.0,224.0,125.0,2028.0,2
2991.0,180.0,5.0,524.0,65.0,4934.0,222.0,243.0,156.0,6189.0,2
2904.0,56.0,23.0,218.0,116.0,1761.0,228.0,185.0,79.0,2571.0,2
3289.0,141.0,3.0,30.0,1.0,5842.0,225.0,238.0,149.0,524.0,1
3238.0,22.0,15.0,108.0,14.0,1605.0,209.0,207.0,131.0,2440.0,1
3060.0,80.0,11.0,201.0,25.0,2089.0,234.0,221.0,118.0,1401.0,1
2421.0,173.0,20.0,495.0,78.0,679.0,228.0,245.0,140.0,872.0,3
2417.0,280.0,18.0,371.0,147.0,1020.0,168.0,239.0,210.0,212.0,6
3016.0,88.0,11.0,256.0,47.0,5224.0,237.0,221.0,114.0,865.0,2
3041.0,108.0,8.0,323.0,69.0,2313.0,235.0,231.0,128.0,2322.0,1
3112.0,179.0,13.0,446.0,105.0,1922.0,225.0,247.0,152.0,2064.0,1
2910.0,105.0,13.0,258.0,46.0,3210.0,242.0,223.0,109.0,2429.0,2
3092.0,11.0,5.0,450.0,17.0,2764.0,215.0,230.0,152.0,1718.0,2
2981.0,103.0,8.0,376.0,32.0,3702.0,233.0,230.0,130.0,1972.0,2
2836.0,301.0,24.0,175.0,45.0,1419.0,147.0,222.0,212.0,2640.0,2
3260.0,101.0,12.0,277.0,50.0,270.0,240.0,224.0,112.0,552.0,2
2802.0,108.0,12.0,150.0,31.0,1323.0,240.0,226.0,115.0,1855.0,2
2974.0,348.0,12.0,30.0,7.0,2590.0,197.0,220.0,161.0,726.0,1
3140.0,41.0,4.0,0.0,0.0,2045.0,220.0,230.0,146.0,2030.0,1
3309.0,201.0,11.0,446.0,91.0,3154.0,216.0,250.0,168.0,2155.0,1
3087.0,104.0,4.0,430.0,49.0,1710.0,226.0,234.0,143.0,2287.0,2
3353.0,327.0,13.0,30.0,2.0,1463.0,188.0,225.0,176.0,1710.0,7
2839.0,10.0,14.0,470.0,109.0,120.0,203.0,210.0,142.0,1050.0,2
3074.0,199.0,16.0,1234.0,192.0,3219.0,212.0,252.0,170.0,1298.0,2
2681.0,145.0,19.0,190.0,47.0,2412.0,243.0,233.0,112.0,2334.0,3
3202.0,129.0,21.0,342.0,-119.0,404.0,249.0,222.0,91.0,3872.0,2
3214.0,243.0,7.0,582.0,79.0,510.0,207.0,246.0,176.0,2894.0,2
3095.0,308.0,11.0,0.0,0.0,4780.0,190.0,233.0,183.0,1350.0,1
2700.0,66.0,20.0,201.0,61.0,2507.0,235.0,195.0,84.0,962.0,2
2967.0,304.0,2.0,277.0,25.0,1864.0,214.0,238.0,161.0,2142.0,2
3667.0,57.0,19.0,1032.0,412.0,2619.0,230.0,197.0,94.0,1188.0,1
2988.0,40.0,11.0,488.0,85.0,3059.0,221.0,216.0,129.0,1550.0,2
2991.0,188.0,9.0,518.0,-29.0,1368.0,221.0,247.0,159.0,1521.0,2
3062.0,233.0,7.0,350.0,33.0,3056.0,208.0,247.0,175.0,780.0,1
3260.0,174.0,11.0,443.0,67.0,4026.0,227.0,246.0,150.0,1995.0,1
2747.0,45.0,10.0,511.0,-16.0,577.0,223.0,219.0,130.0,446.0,2
2302.0,85.0,39.0,285.0,12.0,631.0,242.0,146.0,0.0,552.0,3
2821.0,59.0,16.0,180.0,33.0,1333.0,230.0,204.0,101.0,1354.0,2
2750.0,117.0,9.0,30.0,-5.0,2320.0,236.0,232.0,128.0,1533.0,2
2860.0,191.0,12.0,124.0,28.0,930.0,219.0,249.0,162.0,1661.0,2
3856.0,24.0,15.0,828.0,80.0,4383.0,211.0,208.0,130.0,2440.0,7
2988.0,241.0,35.0,842.0,-102.0,4091.0,134.0,243.0,230.0,1315.0,2
2881.0,71.0,11.0,295.0,34.0,3234.0,232.0,219.0,118.0,2659.0,2
3106.0,198.0,19.0,90.0,-12.0,6276.0,211.0,252.0,169.0,2420.0,2
3140.0,172.0,26.0,150.0,49.0,3588.0,227.0,241.0,129.0,726.0,2
3567.0,24.0,16.0,618.0,155.0,2808.0,209.0,203.0,127.0,1577.0,1
2685.0,47.0,11.0,30.0,4.0,1465.0,224.0,216.0,125.0,3543.0,2
3072.0,354.0,17.0,124.0,34.0,1811.0,191.0,209.0,155.0,1995.0,1
3292.0,13.0,13.0,618.0,68.0,2994.0,207.0,214.0,142.0,3472.0,1
2869.0,55.0,25.0,212.0,35.0,466.0,226.0,178.0,71.0,484.0,2
3245.0,286.0,25.0,870.0,126.0,3661.0,143.0,230.0,223.0,2230.0,1
2922.0,282.0,10.0,268.0,26.0,5407.0,191.0,241.0,189.0,5375.0,2
3008.0,296.0,6.0,60.0,3.0,5540.0,203.0,238.0,175.0,2131.0,1
2919.0,331.0,15.0,127.0,18.0,3459.0,184.0,221.0,176.0,2496.0,2
2958.0,132.0,14.0,379.0,24.0,2635.0,242.0,232.0,117.0,2542.0,2
2866.0,326.0,2.0,300.0,54.0,2322.0,215.0,237.0,160.0,1797.0,2
2466.0,137.0,19.0,466.0,213.0,872.0,245.0,229.0,105.0,664.0,3
2323.0,135.0,22.0,120.0,36.0,1208.0,248.0,224.0,91.0,960.0,3
2667.0,45.0,6.0,175.0,16.0,466.0,222.0,227.0,140.0,1209.0,2
2988.0,256.0,11.0,42.0,4.0,2831.0,194.0,247.0,191.0,426.0,2
3170.0,118.0,28.0,247.0,133.0,3734.0,254.0,202.0,55.0,2736.0,1
2408.0,329.0,21.0,335.0,142.0,1310.0,166.0,211.0,182.0,731.0,3
3237.0,155.0,10.0,162.0,30.0,1900.0,231.0,241.0,141.0,216.0,7
2658.0,76.0,10.0,258.0,41.0,849.0,232.0,222.0,121.0,738.0,2
2950.0,132.0,6.0,192.0,16.0,3670.0,231.0,237.0,139.0,2112.0,2
3278.0,180.0,5.0,751.0,130.0,6240.0,222.0,243.0,156.0,2044.0,2
2835.0,231.0,23.0,301.0,54.0,1410.0,177.0,253.0,206.0,1518.0,2
2870.0,66.0,15.0,0.0,0.0,5585.0,233.0,210.0,105.0,968.0,2
3105.0,95.0,16.0,480.0,64.0,902.0,244.0,215.0,96.0,1794.0,2
2631.0,125.0,21.0,42.0,9.0,1974.0,250.0,220.0,88.0,4695.0,2
2655.0,57.0,12.0,469.0,88.0,1189.0,228.0,215.0,119.0,3739.0,2
3086.0,187.0,24.0,242.0,35.0,3501.0,216.0,249.0,154.0,1095.0,2
2995.0,309.0,14.0,42.0,8.0,2659.0,182.0,230.0,188.0,934.0,2
2502.0,96.0,5.0,134.0,11.0,914.0,228.0,233.0,139.0,5336.0,5
1990.0,115.0,17.0,120.0,21.0,180.0,247.0,221.0,95.0,309.0,3
2975.0,301.0,26.0,362.0,191.0,2462.0,140.0,219.0,214.0,1480.0,1
2766.0,62.0,24.0,420.0,137.0,832.0,232.0,182.0,69.0,891.0,2
3018.0,8.0,12.0,481.0,175.0,1981.0,206.0,217.0,147.0,2958.0,2
3103.0,329.0,13.0,402.0,36.0,3768.0,187.0,223.0,175.0,4350.0,1
2982.0,287.0,12.0,60.0,12.0,2509.0,186.0,239.0,193.0,875.0,1
2838.0,228.0,22.0,60.0,12.0,1080.0,182.0,254.0,202.0,1768.0,2
3164.0,333.0,7.0,0.0,0.0,1677.0,205.0,232.0,166.0,2329.0,1
3175.0,311.0,24.0,497.0,108.0,1691.0,149.0,215.0,203.0,3195.0,1
3351.0,268.0,14.0,488.0,11.0,3388.0,183.0,245.0,201.0,1631.0,1
2443.0,66.0,10.0,342.0,89.0,319.0,230.0,220.0,122.0,384.0,3
3279.0,349.0,4.0,618.0,81.0,1207.0,213.0,233.0,158.0,1728.0,1
2778.0,117.0,16.0,85.0,23.0,2973.0,246.0,223.0,101.0,5773.0,2
2910.0,105.0,27.0,582.0,105.0,534.0,253.0,195.0,51.0,702.0,1
3444.0,305.0,15.0,595.0,75.0,2042.0,178.0,231.0,193.0,503.0,7
2635.0,198.0,30.0,309.0,146.0,1110.0,195.0,248.0,168.0,1015.0,2
2864.0,160.0,18.0,42.0,13.0,5459.0,236.0,241.0,128.0,658.0,2
2936.0,116.0,9.0,270.0,23.0,3632.0,236.0,231.0,126.0,4228.0,2
2951.0,90.0,14.0,67.0,6.0,570.0,241.0,217.0,103.0,2506.0,2
3253.0,43.0,18.0,85.0,0.0,1738.0,221.0,198.0,106.0,2804.0,1
3029.0,35.0,6.0,134.0,21.0,2438.0,219.0,227.0,144.0,1020.0,1
3034.0,35.0,13.0,120.0,-3.0,3313.0,218.0,210.0,125.0,1495.0,1
2721.0,339.0,6.0,134.0,-2.0,1645.0,207.0,232.0,163.0,4160.0,2
3044.0,250.0,20.0,404.0,73.0,1296.0,173.0,250.0,212.0,582.0,2
3159.0,287.0,8.0,309.0,-59.0,3381.0,198.0,240.0,181.0,1234.0,2
2977.0,56.0,12.0,30.0,9.0,4513.0,228.0,214.0,117.0,2022.0,1
2548.0,43.0,12.0,30.0,0.0,247.0,222.0,213.0,124.0,1320.0,6
3148.0,0.0,0.0,0.0,0.0,1434.0,218.0,238.0,156.0,671.0,1
3280.0,112.0,10.0,421.0,56.0,1290.0,238.0,229.0,121.0,2291.0,1
2750.0,315.0,15.0,162.0,34.0,1637.0,178.0,226.0,188.0,1183.0,5
2374.0,114.0,20.0,67.0,18.0,612.0,250.0,215.0,83.0,1316.0,6
3336.0,129.0,12.0,60.0,7.0,1495.0,240.0,233.0,121.0,3398.0,2
2965.0,90.0,5.0,553.0,52.0,4056.0,228.0,231.0,137.0,4614.0,2
2952.0,224.0,13.0,757.0,152.0,2548.0,202.0,252.0,185.0,1560.0,2
2631.0,122.0,28.0,67.0,17.0,2610.0,254.0,204.0,58.0,6692.0,2
3342.0,274.0,10.0,134.0,11.0,3421.0,194.0,243.0,188.0,2056.0,1
3018.0,191.0,6.0,607.0,99.0,5728.0,220.0,245.0,160.0,3300.0,2
2568.0,29.0,17.0,162.0,41.0,2554.0,211.0,200.0,120.0,661.0,2
3027.0,39.0,12.0,509.0,180.0,6262.0,220.0,213.0,126.0,3926.0,2
2902.0,123.0,8.0,150.0,-2.0,1351.0,234.0,234.0,131.0,1924.0,2
2874.0,278.0,20.0,234.0,75.0,2263.0,161.0,239.0,215.0,1371.0,1
3274.0,328.0,6.0,42.0,6.0,661.0,205.0,233.0,167.0,931.0,1
2893.0,310.0,22.0,95.0,25.0,1008.0,153.0,218.0,202.0,850.0,2
3204.0,43.0,19.0,108.0,13.0,1557.0,220.0,195.0,103.0,693.0,7
3517.0,83.0,15.0,210.0,24.0,1361.0,239.0,213.0,101.0,999.0,7
2943.0,298.0,16.0,421.0,97.0,5044.0,175.0,233.0,198.0,457.0,2
3129.0,280.0,17.0,277.0,10.0,3174.0,172.0,240.0,207.0,1637.0,2
3376.0,349.0,15.0,890.0,84.0,2315.0,191.0,213.0,160.0,1142.0,1
2834.0,174.0,6.0,150.0,15.0,2742.0,224.0,243.0,153.0,4135.0,2
3171.0,46.0,16.0,390.0,58.0,1961.0,223.0,203.0,109.0,3419.0,1
3238.0,22.0,5.0,450.0,35.0,1879.0,217.0,229.0,149.0,1149.0,1
3168.0,24.0,16.0,0.0,0.0,2885.0,210.0,204.0,127.0,5286.0,1
2729.0,300.0,30.0,301.0,170.0,1240.0,125.0,213.0,221.0,875.0,6
3258.0,187.0,8.0,470.0,56.0,2564.0,221.0,246.0,159.0,1374.0,1
3002.0,308.0,12.0,180.0,27.0,2363.0,188.0,232.0,185.0,1498.0,1
3297.0,29.0,11.0,256.0,14.0,1749.0,216.0,217.0,135.0,4884.0,1
3420.0,71.0,9.0,738.0,141.0,2062.0,231.0,222.0,124.0,1660.0,7
2948.0,332.0,9.0,306.0,28.0,4972.0,199.0,229.0,169.0,1905.0,2
2830.0,6.0,13.0,598.0,100.0,60.0,203.0,214.0,147.0,1158.0,2
3255.0,32.0,38.0,234.0,152.0,4012.0,183.0,131.0,55.0,1206.0,1
3242.0,6.0,15.0,660.0,103.0,2103.0,201.0,210.0,145.0,234.0,1
3165.0,338.0,3.0,108.0,-5.0,1718.0,214.0,235.0,160.0,648.0,1
3293.0,288.0,9.0,212.0,36.0,3564.0,194.0,240.0,186.0,1797.0,1
3242.0,65.0,13.0,108.0,16.0,4569.0,232.0,212.0,110.0,1348.0,1
2804.0,152.0,14.0,162.0,51.0,631.0,237.0,239.0,130.0,2841.0,2
2581.0,61.0,15.0,258.0,42.0,1889.0,231.0,208.0,106.0,2053.0,2
2982.0,312.0,14.0,108.0,22.0,2296.0,182.0,229.0,187.0,553.0,2
2824.0,94.0,10.0,573.0,69.0,3294.0,236.0,225.0,119.0,6298.0,2
3227.0,318.0,6.0,255.0,48.0,4421.0,205.0,235.0,169.0,2967.0,1
3001.0,54.0,20.0,511.0,13.0,1828.0,227.0,192.0,89.0,1052.0,1
3223.0,225.0,2.0,297.0,2.0,5950.0,216.0,241.0,162.0,1689.0,1
3160.0,128.0,27.0,424.0,146.0,3341.0,252.0,212.0,69.0,1899.0,1
2751.0,14.0,21.0,150.0,45.0,1637.0,196.0,192.0,127.0,3177.0,2
3224.0,150.0,5.0,30.0,-1.0,4034.0,227.0,240.0,147.0,2591.0,7
3043.0,36.0,2.0,30.0,0.0,3019.0,219.0,234.0,152.0,492.0,1
2432.0,132.0,24.0,297.0,173.0,1442.0,250.0,219.0,83.0,525.0,3
2746.0,50.0,8.0,0.0,0.0,1573.0,224.0,223.0,134.0,2730.0,2
2758.0,130.0,26.0,95.0,20.0,1073.0,251.0,215.0,74.0,564.0,2
3280.0,275.0,3.0,390.0,74.0,4996.0,212.0,240.0,166.0,960.0,2
3350.0,293.0,39.0,170.0,-12.0,3197.0,86.0,199.0,237.0,2032.0,1
3263.0,264.0,5.0,342.0,28.0,4414.0,208.0,242.0,173.0,752.0,1
2335.0,78.0,29.0,153.0,83.0,1383.0,242.0,175.0,42.0,1150.0,3
3135.0,22.0,13.0,558.0,67.0,5381.0,212.0,212.0,135.0,1585.0,1
3267.0,93.0,5.0,30.0,2.0,6013.0,227.0,233.0,140.0,485.0,1
3240.0,15.0,15.0,994.0,115.0,2160.0,206.0,209.0,138.0,2177.0,7
2946.0,79.0,17.0,90.0,22.0,2406.0,240.0,207.0,92.0,2481.0,1
3667.0,51.0,20.0,1068.0,255.0,2631.0,225.0,193.0,94.0,1256.0,1
2977.0,291.0,23.0,360.0,180.0,2560.0,149.0,229.0,217.0,1565.0,1
3072.0,38.0,8.0,67.0,3.0,2242.0,220.0,222.0,136.0,2236.0,1
2509.0,219.0,6.0,576.0,119.0,957.0,213.0,246.0,170.0,391.0,3
3052.0,104.0,19.0,124.0,35.0,1355.0,249.0,212.0,83.0,1261.0,1
2609.0,101.0,35.0,170.0,68.0,1050.0,252.0,172.0,17.0,624.0,3
2994.0,17.0,6.0,108.0,12.0,3762.0,215.0,226.0,148.0,2358.0,1
3244.0,308.0,15.0,573.0,60.0,648.0,177.0,229.0,192.0,890.0,1
3121.0,92.0,6.0,270.0,78.0,5187.0,230.0,230.0,133.0,594.0,1
2314.0,145.0,16.0,120.0,18.0,85.0,241.0,236.0,119.0,446.0,3
2824.0,126.0,10.0,60.0,4.0,2337.0,237.0,233.0,126.0,2755.0,2
3141.0,255.0,12.0,0.0,0.0,926.0,192.0,247.0,193.0,1572.0,1
3271.0,145.0,15.0,258.0,14.0,3037.0,239.0,237.0,123.0,792.0,1
3249.0,22.0,16.0,543.0,181.0,1187.0,207.0,203.0,128.0,301.0,1
3101.0,73.0,21.0,201.0,6.0,1207.0,239.0,196.0,79.0,2325.0,1
3389.0,214.0,37.0,713.0,-77.0,3602.0,161.0,245.0,194.0,2440.0,1
3173.0,30.0,20.0,85.0,19.0,518.0,210.0,193.0,112.0,1567.0,1
2915.0,342.0,10.0,108.0,8.0,2954.0,199.0,225.0,164.0,1556.0,1
2962.0,342.0,18.0,693.0,164.0,3064.0,179.0,209.0,167.0,840.0,2
2863.0,14.0,22.0,270.0,69.0,787.0,193.0,188.0,125.0,2096.0,2
2948.0,45.0,10.0,30.0,-1.0,2460.0,223.0,218.0,129.0,1894.0,1
3230.0,270.0,18.0,592.0,126.0,6013.0,169.0,243.0,212.0,2673.0,2
3051.0,169.0,14.0,162.0,3.0,2295.0,230.0,245.0,144.0,3376.0,2
2681.0,346.0,14.0,210.0,66.0,926.0,193.0,218.0,163.0,1801.0,2
3224.0,252.0,3.0,339.0,29.0,5945.0,213.0,241.0,166.0,1760.0,1
2804.0,49.0,10.0,319.0,105.0,3085.0,224.0,219.0,128.0,6331.0,1
2896.0,123.0,11.0,153.0,-1.0,3532.0,239.0,232.0,122.0,1749.0,2
2817.0,4.0,8.0,319.0,60.0,1106.0,210.0,225.0,153.0,450.0,2
2553.0,351.0,15.0,60.0,22.0,780.0,192.0,213.0,158.0,361.0,2
3248.0,163.0,9.0,270.0,35.0,5819.0,229.0,243.0,146.0,1172.0,1
3246.0,270.0,17.0,60.0,6.0,4671.0,173.0,244.0,209.0,924.0,2
2673.0,335.0,16.0,30.0,9.0,2680.0,181.0,216.0,173.0,1082.0,2
3287.0,200.0,6.0,437.0,92.0,5101.0,218.0,245.0,163.0,1031.0,2
3291.0,297.0,3.0,598.0,107.0,576.0,210.0,238.0,166.0,1300.0,1
3067.0,325.0,4.0,0.0,0.0,1260.0,210.0,235.0,163.0,1191.0,2
2957.0,349.0,11.0,67.0,20.0,1660.0,199.0,221.0,160.0,577.0,2
3325.0,313.0,19.0,722.0,152.0,841.0,166.0,222.0,195.0,450.0,1
3197.0,0.0,14.0,591.0,64.0,4286.0,199.0,214.0,151.0,3350.0,1
2922.0,354.0,14.0,30.0,3.0,3901.0,196.0,215.0,156.0,2555.0,2
2959.0,29.0,12.0,488.0,46.0,4425.0,216.0,213.0,131.0,4244.0,2
2988.0,71.0,10.0,0.0,0.0,5239.0,231.0,221.0,121.0,2105.0,1
2415.0,267.0,30.0,85.0,30.0,1406.0,132.0,236.0,235.0,658.0,6
2775.0,188.0,7.0,190.0,39.0,1034.0,221.0,245.0,159.0,382.0,2
3060.0,161.0,17.0,726.0,232.0,4540.0,235.0,242.0,132.0,1565.0,2
2794.0,60.0,12.0,277.0,40.0,1972.0,229.0,215.0,118.0,2897.0,2
3304.0,95.0,13.0,60.0,-6.0,4348.0,241.0,220.0,106.0,3740.0,1
3409.0,28.0,16.0,641.0,170.0,3034.0,212.0,204.0,124.0,2190.0,7
3243.0,240.0,8.0,451.0,66.0,3009.0,206.0,247.0,179.0,969.0,2
2202.0,351.0,18.0,330.0,81.0,510.0,185.0,206.0,157.0,175.0,6
2837.0,16.0,23.0,67.0,22.0,2254.0,193.0,184.0,121.0,808.0,2
3607.0,339.0,13.0,335.0,113.0,1965.0,191.0,221.0,168.0,2407.0,7
2857.0,345.0,11.0,108.0,19.0,2949.0,197.0,222.0,163.0,2851.0,2
2827.0,43.0,17.0,180.0,57.0,3543.0,221.0,201.0,110.0,2807.0,2
3311.0,284.0,15.0,180.0,35.0,5417.0,176.0,239.0,202.0,805.0,1
3178.0,49.0,14.0,270.0,3.0,3208.0,225.0,208.0,114.0,5050.0,1
3090.0,339.0,4.0,67.0,6.0,5206.0,211.0,234.0,161.0,1045.0,1
2892.0,330.0,18.0,108.0,24.0,1687.0,175.0,216.0,179.0,2393.0,2
2251.0,353.0,23.0,379.0,107.0,633.0,175.0,195.0,153.0,150.0,6
2388.0,86.0,21.0,366.0,81.0,930.0,245.0,200.0,75.0,912.0,3
3224.0,121.0,44.0,247.0,67.0,1173.0,247.0,163.0,0.0,966.0,7
3210.0,63.0,1.0,395.0,29.0,5827.0,220.0,236.0,153.0,2296.0,2
2330.0,296.0,9.0,240.0,47.0,1235.0,194.0,238.0,183.0,959.0,6
3266.0,138.0,18.0,342.0,76.0,1549.0,244.0,231.0,108.0,1279.0,1
3205.0,322.0,6.0,426.0,6.0,247.0,205.0,234.0,168.0,2040.0,1
3079.0,37.0,9.0,268.0,-10.0,2229.0,220.0,219.0,134.0,1566.0,1
2446.0,86.0,4.0,95.0,16.0,824.0,225.0,233.0,144.0,1392.0,3
2844.0,94.0,7.0,0.0,0.0,3247.0,231.0,230.0,132.0,2527.0,2
2765.0,62.0,5.0,361.0,42.0,2650.0,224.0,230.0,142.0,6779.0,1
3109.0,348.0,12.0,85.0,16.0,2965.0,197.0,220.0,161.0,2250.0,1
3131.0,329.0,13.0,30.0,9.0,1057.0,189.0,225.0,175.0,2138.0,2
2567.0,354.0,13.0,0.0,0.0,1243.0,198.0,217.0,157.0,732.0,2
3364.0,177.0,16.0,256.0,42.0,1723.0,226.0,247.0,148.0,3084.0,1
2979.0,100.0,11.0,330.0,4.0,819.0,238.0,226.0,118.0,2247.0,2
3264.0,133.0,20.0,391.0,106.0,5166.0,247.0,226.0,97.0,1732.0,1
3142.0,58.0,17.0,134.0,38.0,2854.0,230.0,202.0,99.0,1406.0,1
