holiday,weather_main,temp,rain_1h,snow_1h,clouds_all,traffic_volume
None,Thunderstorm,294.02,0.0,0.0,90.0,2029.0
None,Clouds,275.2,0.0,0.0,40.0,4904.0
None,Clouds,271.29,0.0,0.0,75.0,5563.0
None,Clouds,290.13,0.0,0.0,90.0,4460.0
None,Clouds,256.41,0.0,0.0,64.0,2891.0
None,Clear,268.71,0.0,0.0,0.0,542.0
None,Clear,262.62,0.0,0.0,1.0,303.0
None,Rain,277.1,0.0,0.0,99.0,5527.0
None,Clear,296.01,0.0,0.0,1.0,2056.0
None,Clouds,290.49,0.0,0.0,40.0,5789.0
None,Clouds,269.08,0.0,0.0,40.0,5354.0
None,Clouds,277.48,0.0,0.0,40.0,6621.0
None,Rain,286.08,0.0,0.0,40.0,2704.0
None,Clear,277.28,0.0,0.0,1.0,4490.0
None,Clouds,299.94,0.0,0.0,40.0,6138.0
None,Clear,285.15,0.0,0.0,1.0,4365.0
None,Clouds,271.51,0.0,0.0,90.0,870.0
None,Clear,297.22,0.0,0.0,1.0,1128.0
None,Clear,280.68,0.0,0.0,1.0,6139.0
None,Clouds,302.27,0.0,0.0,75.0,4337.0
None,Rain,290.22,0.0,0.0,90.0,6763.0
None,Clear,284.65,0.0,0.0,1.0,4541.0
None,Rain,294.36,0.0,0.0,20.0,3514.0
None,Clear,268.36,0.0,0.0,1.0,5581.0
None,Rain,277.01,0.0,0.0,75.0,1661.0
None,Clear,276.56,0.0,0.0,1.0,5269.0
None,Clouds,266.69,0.0,0.0,90.0,4913.0
None,Clouds,257.89,0.0,0.0,40.0,5891.0
None,Clear,301.67,0.0,0.0,0.0,6223.0
None,Clear,296.15,0.0,0.0,1.0,1189.0
None,Clouds,266.15,0.0,0.0,75.0,4975.0
None,Rain,291.76,16.38,0.0,76.0,635.0
None,Clouds,270.22,0.0,0.0,90.0,449.0
None,Clouds,250.02,0.0,0.0,20.0,4680.0
None,Rain,292.63,2.41,0.0,90.0,6537.0
None,Clear,301.91,0.0,0.0,1.0,3247.0
None,Clear,286.82,0.0,0.0,1.0,6583.0
None,Clear,300.11,0.0,0.0,1.0,5000.0
None,Clouds,277.65,0.0,0.0,40.0,2100.0
None,Clear,290.95,0.0,0.0,1.0,4508.0
None,Snow,266.73,0.0,0.05,90.0,363.0
None,Haze,291.15,0.0,0.0,1.0,5450.0
None,Clear,264.29,0.0,0.0,1.0,310.0
None,Clouds,284.62,0.0,0.0,40.0,2845.0
None,Clouds,275.35,0.0,0.0,75.0,4676.0
None,Mist,276.37,0.0,0.0,90.0,6094.0
None,Snow,275.08,0.0,0.0,90.0,317.0
None,Mist,287.93,0.0,0.0,90.0,3364.0
None,Clouds,250.91,0.0,0.0,100.0,2337.0
None,Drizzle,281.22,0.0,0.0,90.0,6341.0
None,Rain,288.81,0.0,0.0,90.0,2944.0
None,Snow,268.87,0.0,0.0,90.0,1450.0
None,Clear,297.07,0.0,0.0,1.0,5348.0
None,Clear,267.87,0.0,0.0,1.0,2785.0
None,Haze,289.27,0.25,0.0,90.0,4980.0
None,Clouds,279.08,0.0,0.0,40.0,6089.0
None,Clouds,285.08,0.0,0.0,90.0,6258.0
None,Drizzle,285.91,0.7,0.0,90.0,3243.0
None,Clear,267.61,0.0,0.0,1.0,5710.0
None,Clouds,265.81,0.0,0.0,90.0,1424.0
None,Snow,269.75,0.0,0.0,90.0,2856.0
None,Mist,290.1,0.0,0.0,1.0,2668.0
Christmas Day,Clouds,264.4,0.0,0.0,90.0,803.0
None,Clear,287.46,0.0,0.0,0.0,310.0
None,Drizzle,288.69,0.0,0.0,40.0,4933.0
None,Mist,290.35,0.0,0.0,90.0,1665.0
None,Clouds,266.26,0.0,0.0,90.0,5016.0
None,Clouds,275.35,0.0,0.0,90.0,652.0
None,Rain,284.79,0.0,0.0,90.0,353.0
None,Mist,274.16,0.0,0.0,90.0,4750.0
None,Mist,281.4,0.0,0.0,90.0,3075.0
None,Drizzle,292.32,4.89,0.0,90.0,843.0
None,Clear,265.9,0.0,0.0,1.0,1059.0
None,Clouds,276.15,0.0,0.0,90.0,5385.0
None,Thunderstorm,294.38,0.25,0.0,90.0,5428.0
None,Snow,277.22,0.0,0.0,90.0,5501.0
None,Clear,291.16,0.0,0.0,1.0,1028.0
None,Drizzle,279.76,0.0,0.0,90.0,592.0
None,Mist,275.02,0.0,0.0,90.0,4695.0
None,Mist,272.58,0.0,0.0,90.0,571.0
None,Clouds,295.01,0.0,0.0,75.0,3997.0
None,Clear,281.79,0.0,0.0,1.0,2608.0
None,Clear,299.73,0.0,0.0,1.0,3796.0
None,Clouds,292.46,0.0,0.0,24.0,3565.0
None,Haze,263.65,0.0,0.0,90.0,4462.0
None,Clear,294.95,0.0,0.0,1.0,1386.0
None,Fog,272.22,0.0,0.0,1.0,1574.0
None,Drizzle,274.22,0.0,0.0,90.0,2500.0
None,Mist,269.29,0.0,0.0,90.0,356.0
None,Clouds,289.36,0.0,0.0,92.0,2929.0
None,Clouds,288.61,0.0,0.0,75.0,4639.0
None,Clear,302.69,0.0,0.0,0.0,3288.0
None,Mist,296.83,1.27,0.0,75.0,325.0
None,Clear,285.65,0.0,0.0,1.0,558.0
None,Fog,289.49,0.0,0.0,1.0,6364.0
None,Clouds,285.215,0.0,0.0,48.0,1580.0
None,Snow,271.15,0.0,0.0,90.0,5526.0
None,Clouds,271.21,0.0,0.0,90.0,3411.0
None,Thunderstorm,299.98,0.0,0.0,40.0,4871.0
None,Clear,299.13,0.0,0.0,8.0,5982.0
None,Clouds,256.58,0.0,0.0,90.0,2368.0
None,Clouds,290.78,0.0,0.0,40.0,6027.0
None,Clear,299.48,0.0,0.0,1.0,4494.0
None,Clear,249.61,0.0,0.0,5.0,2483.0
None,Clouds,258.39,0.0,0.0,90.0,4285.0
None,Mist,272.82,0.0,0.0,1.0,1662.0
None,Mist,294.58,0.0,0.0,1.0,2511.0
None,Clouds,263.79,0.0,0.0,90.0,385.0
None,Clouds,291.14,0.0,0.0,75.0,4918.0
None,Clouds,268.58,0.0,0.0,90.0,1242.0
None,Clear,273.35,0.0,0.0,1.0,5432.0
None,Clear,286.87,0.0,0.0,1.0,1018.0
None,Snow,255.18,0.0,0.0,64.0,271.0
None,Clouds,265.14,0.0,0.0,64.0,5609.0
None,Clear,273.02,0.0,0.0,1.0,2208.0
None,Clear,280.562,0.0,0.0,0.0,2646.0
None,Clouds,269.04,0.0,0.0,90.0,4924.0
None,Haze,275.15,0.0,0.0,1.0,329.0
None,Clouds,270.77,0.0,0.0,64.0,598.0
None,Clear,276.69,0.0,0.0,1.0,3656.0
None,Clear,255.22,0.0,0.0,1.0,2409.0
None,Haze,257.44,0.0,0.0,1.0,3018.0
None,Clear,290.08,0.0,0.0,1.0,3893.0
None,Clouds,289.66,0.0,0.0,40.0,929.0
None,Rain,295.01,1.6,0.0,90.0,5494.0
None,Clear,282.78,0.0,0.0,1.0,342.0
None,Clear,251.0,0.0,0.0,1.0,3036.0
None,Clouds,254.89,0.0,0.0,64.0,2183.0
None,Clouds,275.83,0.0,0.0,90.0,4497.0
None,Clouds,273.27,0.0,0.0,40.0,5332.0
None,Clouds,274.65,0.0,0.0,90.0,5248.0
None,Rain,266.02,2.03,0.0,90.0,2868.0
None,Haze,273.02,0.0,0.0,90.0,400.0
None,Clouds,271.4,0.0,0.0,90.0,5809.0
None,Clouds,277.55,0.0,0.0,75.0,5821.0
None,Mist,295.52,7.54,0.0,76.0,380.0
None,Clear,256.02,0.0,0.0,5.0,5886.0
None,Clear,254.95,0.0,0.0,5.0,3178.0
None,Snow,270.94,0.0,0.0,90.0,4255.0
None,Clouds,282.3,0.0,0.0,90.0,4648.0
None,Haze,284.75,0.0,0.0,1.0,387.0
None,Mist,289.15,0.0,0.0,90.0,4804.0
None,Thunderstorm,295.89,0.0,0.0,75.0,358.0
None,Mist,268.02,0.0,0.0,90.0,353.0
None,Haze,273.95,0.0,0.0,90.0,3001.0
None,Clear,274.58,0.0,0.0,1.0,3608.0
None,Clear,250.08,0.0,0.0,1.0,388.0
None,Snow,256.35,0.0,0.0,40.0,494.0
None,Clouds,279.93,0.0,0.0,75.0,4837.0
None,Clear,278.4,0.0,0.0,1.0,2242.0
None,Clear,280.39,0.0,0.0,1.0,1898.0
None,Clouds,303.6,0.0,0.0,36.0,5407.0
None,Rain,294.39,0.0,0.0,75.0,508.0
None,Clear,270.969,0.0,0.0,0.0,5186.0
None,Clouds,256.38,0.0,0.0,75.0,234.0
None,Clear,273.28,0.0,0.0,1.0,2133.0
None,Rain,296.76,0.25,0.0,90.0,4110.0
None,Snow,268.41,0.0,0.0,90.0,1684.0
None,Clear,285.08,0.0,0.0,1.0,561.0
None,Clouds,264.32,0.0,0.0,64.0,5347.0
None,Snow,261.4,0.0,0.0,90.0,4716.0
None,Haze,265.29,0.0,0.0,75.0,4506.0
None,Clouds,284.15,0.0,0.0,40.0,345.0
None,Clouds,282.71,0.0,0.0,90.0,4958.0
None,Snow,266.01,0.0,0.0,40.0,5888.0
None,Mist,274.08,0.0,0.0,90.0,5619.0
None,Clear,270.47,0.0,0.0,6.0,381.0
None,Mist,288.99,0.0,0.0,75.0,2986.0
None,Clouds,279.5,0.0,0.0,90.0,1367.0
None,Clear,269.29,0.0,0.0,1.0,690.0
None,Mist,291.07,0.0,0.0,90.0,2208.0
None,Clouds,270.41,0.0,0.0,90.0,749.0
None,Clear,301.27,0.0,0.0,1.0,6256.0
None,Mist,292.22,0.0,0.0,1.0,1569.0
None,Clouds,291.35,0.0,0.0,40.0,379.0
None,Clouds,278.72,0.0,0.0,90.0,278.0
None,Clouds,292.06,0.0,0.0,40.0,4408.0
None,Clear,290.58,0.0,0.0,0.0,1498.0
None,Clouds,261.19,0.0,0.0,64.0,624.0
None,Mist,291.53,0.0,0.0,1.0,446.0
None,Clouds,255.98,0.0,0.0,20.0,4775.0
None,Rain,291.15,0.0,0.0,90.0,4872.0
None,Clouds,290.51,0.0,0.0,40.0,3259.0
None,Clouds,276.29,0.0,0.0,75.0,5308.0
None,Clear,296.18,0.0,0.0,1.0,4459.0
None,Clear,265.94,0.0,0.0,1.0,252.0
None,Rain,288.7,0.0,0.0,92.0,854.0
None,Clouds,305.17,0.0,0.0,40.0,5907.0
None,Clouds,291.88,0.0,0.0,90.0,4970.0
None,Clouds,296.15,0.0,0.0,40.0,5066.0
None,Clear,291.36,0.0,0.0,0.0,1415.0
None,Rain,285.57,1.02,0.0,90.0,1734.0
None,Clouds,295.59,0.0,0.0,40.0,1388.0
None,Clear,281.3,0.0,0.0,1.0,353.0
None,Clear,278.09,0.0,0.0,1.0,350.0
None,Drizzle,279.57,0.0,0.0,90.0,3994.0
None,Snow,266.84,0.0,0.0,90.0,545.0
None,Clouds,294.73,0.0,0.0,20.0,4806.0
None,Mist,273.61,0.0,0.0,90.0,5109.0
None,Clear,257.04,0.0,0.0,0.0,495.0
None,Fog,272.36,0.0,0.0,90.0,3066.0
None,Drizzle,291.55,0.0,0.0,90.0,5821.0
None,Clear,277.21,0.0,0.0,5.0,5367.0
None,Clouds,270.92,0.0,0.0,58.0,3795.0
None,Clear,295.27,0.0,0.0,1.0,1.0
None,Rain,291.42,0.0,0.0,90.0,2282.0
None,Drizzle,278.57,0.0,0.0,90.0,5678.0
None,Clear,288.66,0.0,0.0,1.0,4652.0
None,Clouds,263.52,0.0,0.0,90.0,3892.0
None,Clear,295.8,0.0,0.0,0.0,1164.0
None,Rain,289.26,3.18,0.0,80.0,2966.0
None,Rain,289.69,0.0,0.0,1.0,413.0
None,Clear,289.33,0.0,0.0,1.0,390.0
None,Snow,269.81,0.0,0.0,75.0,3977.0
None,Clouds,291.96,0.0,0.0,90.0,5799.0
None,Rain,282.29,0.0,0.0,75.0,4779.0
None,Clear,300.28,0.0,0.0,1.0,3385.0
None,Rain,295.58,0.0,0.0,1.0,373.0
None,Clear,253.9,0.0,0.0,1.0,2846.0
None,Mist,278.07,1.69,0.0,90.0,5340.0
None,Clear,296.36,0.0,0.0,5.0,6888.0
None,Clouds,297.83,0.0,0.0,75.0,4996.0
None,Clear,292.51,0.0,0.0,1.0,5347.0
None,Clouds,273.92,0.0,0.0,16.0,1070.0
None,Mist,284.95,0.47,0.0,68.0,2404.0
None,Snow,267.68,0.0,0.0,90.0,6042.0
None,Snow,261.88,0.0,0.0,90.0,4480.0
None,Clear,279.26,0.0,0.0,1.0,368.0
None,Drizzle,276.95,0.0,0.0,90.0,6686.0
None,Clear,279.15,0.0,0.0,1.0,5953.0
None,Clear,248.13,0.0,0.0,1.0,4504.0
None,Clear,299.45,0.0,0.0,1.0,4147.0
None,Clouds,303.68,0.0,0.0,12.0,3238.0
None,Clouds,273.93,0.0,0.0,90.0,4714.0
None,Mist,294.23,0.0,0.0,40.0,2903.0
None,Rain,292.4,0.25,0.0,90.0,1290.0
None,Clouds,291.6,0.0,0.0,40.0,4540.0
None,Clear,264.02,0.0,0.0,1.0,649.0
None,Rain,298.59,0.0,0.0,92.0,5471.0
None,Rain,274.94,0.0,0.0,90.0,1616.0
None,Clouds,296.85,0.0,0.0,75.0,3861.0
None,Clouds,291.3,0.0,0.0,40.0,4426.0
None,Clouds,300.36,0.0,0.0,90.0,6593.0
None,Clear,293.63,0.0,0.0,0.0,4322.0
None,Haze,268.63,0.0,0.0,90.0,1296.0
None,Clouds,300.61,0.0,0.0,75.0,6400.0
None,Mist,285.82,2.4,0.0,90.0,4884.0
None,Rain,290.68,0.0,0.0,75.0,3260.0
None,Rain,276.84,0.0,0.0,90.0,6723.0
None,Clouds,297.85,0.0,0.0,92.0,4450.0
None,Clouds,293.26,0.0,0.0,48.0,785.0
None,Clear,283.89,0.0,0.0,1.0,5573.0
None,Clouds,277.66,0.0,0.0,90.0,389.0
None,Snow,272.75,0.0,0.0,90.0,4513.0
None,Mist,261.72,0.0,0.0,90.0,425.0
None,Clouds,275.11,0.0,0.0,64.0,1306.0
None,Rain,275.49,0.0,0.0,90.0,3590.0
None,Rain,291.86,0.0,0.0,64.0,4452.0
None,Snow,271.37,0.0,0.0,90.0,2145.0
None,Rain,292.96,0.0,0.0,90.0,6196.0
None,Mist,287.29,0.0,0.0,90.0,1908.0
None,Clouds,293.28,0.0,0.0,20.0,3108.0
None,Clouds,274.71,0.0,0.0,90.0,6364.0
None,Rain,276.64,0.0,0.0,90.0,2812.0
None,Clear,291.4,0.0,0.0,1.0,561.0
None,Clear,296.09,0.0,0.0,1.0,5225.0
None,Clouds,297.22,0.0,0.0,40.0,5657.0
None,Drizzle,287.61,0.0,0.0,90.0,4506.0
None,Mist,269.55,0.0,0.0,90.0,1606.0
None,Clear,271.02,0.0,0.0,1.0,6255.0
None,Drizzle,273.88,0.0,0.0,90.0,770.0
None,Thunderstorm,295.18,7.97,0.0,90.0,319.0
None,Clouds,291.36,0.0,0.0,75.0,308.0
None,Thunderstorm,291.11,0.0,0.0,1.0,3340.0
None,Rain,290.02,0.25,0.0,90.0,581.0
None,Clear,291.91,0.0,0.0,0.0,387.0
None,Clear,267.15,0.0,0.0,1.0,635.0
None,Clear,290.91,0.0,0.0,0.0,2186.0
None,Snow,269.74,0.0,0.0,90.0,4600.0
None,Clear,287.95,0.0,0.0,1.0,4623.0
None,Clouds,260.59,0.0,0.0,100.0,4543.0
None,Mist,267.68,0.0,0.0,90.0,4814.0
None,Clouds,298.02,0.0,0.0,90.0,3187.0
None,Mist,263.4,0.0,0.0,90.0,691.0
None,Clouds,274.28,0.0,0.0,75.0,1728.0
None,Clouds,269.8,0.0,0.0,75.0,314.0
None,Clouds,272.68,0.0,0.0,90.0,4305.0
None,Clouds,270.62,0.0,0.0,64.0,548.0
None,Drizzle,285.86,0.0,0.0,90.0,292.0
None,Clouds,295.14,0.0,0.0,40.0,6234.0
None,Clouds,284.01,0.0,0.0,40.0,4872.0
None,Fog,292.79,0.0,0.0,1.0,437.0
None,Clear,260.09,0.0,0.0,1.0,1445.0
None,Clouds,293.0,0.0,0.0,20.0,5005.0
None,Mist,272.95,0.0,0.0,1.0,2825.0
None,Clear,254.55,0.0,0.0,1.0,245.0
None,Clouds,272.89,0.0,0.0,75.0,5962.0
None,Clear,287.14,0.0,0.0,0.0,1885.0
None,Clouds,295.07,0.0,0.0,80.0,5330.0
None,Rain,279.72,0.0,0.0,90.0,5923.0
None,Clear,293.02,0.0,0.0,1.0,6423.0
None,Clouds,294.22,0.0,0.0,40.0,293.0
None,Clear,259.53,0.0,0.0,5.0,2251.0
None,Clear,293.92,0.0,0.0,1.0,3413.0
None,Rain,286.65,0.25,0.0,90.0,234.0
None,Clear,273.22,0.0,0.0,1.0,866.0
None,Clear,250.16,0.0,0.0,1.0,5149.0
None,Clouds,273.4,0.0,0.0,40.0,4832.0
None,Clouds,259.15,0.0,0.0,75.0,4612.0
None,Clear,292.56,0.0,0.0,0.0,1199.0
None,Fog,282.63,0.25,0.0,1.0,414.0
None,Mist,293.8,0.0,0.0,90.0,2594.0
None,Clear,253.51,0.0,0.0,1.0,991.0
None,Clear,252.75,0.0,0.0,1.0,521.0
None,Clouds,275.25,0.0,0.0,20.0,1071.0
None,Clouds,283.84,0.0,0.0,75.0,2147.0
None,Clouds,255.72,0.0,0.0,75.0,4238.0
None,Clouds,288.957,0.0,0.0,24.0,2854.0
None,Mist,275.68,0.0,0.0,90.0,5732.0
None,Mist,287.09,0.0,0.0,90.0,5777.0
None,Rain,294.15,0.0,0.0,1.0,668.0
None,Clouds,276.43,0.0,0.0,75.0,2003.0
None,Mist,288.71,0.86,0.0,90.0,4326.0
None,Clear,288.35,0.0,0.0,1.0,2925.0
None,Clouds,303.36,0.0,0.0,40.0,3608.0
None,Snow,268.12,0.0,0.0,90.0,790.0
None,Mist,273.22,0.0,0.0,40.0,6970.0
None,Clouds,285.65,0.0,0.0,75.0,4083.0
None,Clouds,294.56,0.0,0.0,90.0,680.0
None,Clear,266.29,0.0,0.0,1.0,6595.0
None,Rain,279.41,0.25,0.0,40.0,344.0
None,Clear,296.35,0.0,0.0,1.0,1282.0
None,Fog,259.68,0.0,0.0,75.0,722.0
None,Mist,286.53,0.0,0.0,90.0,1656.0
None,Clouds,285.97,0.0,0.0,40.0,2824.0
None,Clear,281.46,0.0,0.0,1.0,1360.0
None,Clouds,302.5,0.0,0.0,75.0,2050.0
None,Mist,285.39,0.56,0.0,90.0,5899.0
None,Rain,273.22,0.0,0.0,90.0,1773.0
None,Mist,285.91,0.7,0.0,90.0,3243.0
None,Clear,270.88,0.0,0.0,1.0,5373.0
None,Snow,266.9,0.0,0.0,1.0,4529.0
None,Clouds,297.28,0.0,0.0,90.0,3331.0
None,Rain,294.41,0.25,0.0,90.0,2334.0
None,Clear,288.76,0.0,0.0,1.0,2772.0
None,Haze,274.29,0.0,0.0,1.0,4931.0
None,Mist,291.07,0.0,0.0,20.0,5243.0
None,Clouds,291.11,0.0,0.0,36.0,1921.0
None,Mist,289.35,0.0,0.0,90.0,5014.0
None,Snow,272.77,0.0,0.0,90.0,5406.0
None,Clear,302.93,0.0,0.0,0.0,4879.0
None,Clear,258.29,0.0,0.0,1.0,360.0
None,Rain,285.86,0.0,0.0,90.0,5971.0
None,Clear,288.47,0.0,0.0,1.0,917.0
None,Clear,271.28,0.0,0.0,1.0,4671.0
None,Drizzle,280.15,0.0,0.0,90.0,1083.0
None,Fog,293.85,0.25,0.0,20.0,2066.0
None,Clouds,269.29,0.0,0.0,90.0,3539.0
None,Rain,292.43,5.36,0.0,90.0,2234.0
None,Clear,248.15,0.0,0.0,1.0,959.0
None,Clear,276.22,0.0,0.0,1.0,356.0
None,Fog,273.95,0.0,0.0,90.0,903.0
None,Mist,271.76,0.0,0.0,90.0,3766.0
None,Mist,271.15,0.0,0.0,90.0,836.0
None,Haze,267.63,0.0,0.0,1.0,5814.0
None,Rain,290.28,0.0,0.0,90.0,1759.0
None,Clouds,261.86,0.0,0.0,90.0,3094.0
None,Clouds,294.34,0.0,0.0,75.0,2451.0
None,Mist,270.71,0.0,0.0,90.0,3983.0
None,Clear,262.78,0.0,0.0,1.0,2693.0
None,Mist,269.21,0.0,0.0,90.0,5252.0
None,Rain,294.72,0.48,0.0,90.0,3881.0
None,Clouds,268.69,0.0,0.0,40.0,1753.0
None,Clouds,273.45,0.0,0.0,90.0,2859.0
None,Clouds,295.14,0.0,0.0,24.0,670.0
None,Clear,261.39,0.0,0.0,1.0,6493.0
None,Mist,262.26,0.0,0.0,40.0,2875.0
None,Rain,275.11,0.0,0.0,90.0,3521.0
None,Clouds,288.21,0.0,0.0,20.0,5959.0
None,Snow,262.6,0.0,0.0,90.0,3126.0
None,Clear,291.4,0.0,0.0,1.0,604.0
None,Clouds,275.72,0.0,0.0,40.0,5072.0
None,Clouds,295.16,0.0,0.0,40.0,4772.0
None,Clouds,261.22,0.0,0.0,90.0,3197.0
None,Clear,296.65,0.0,0.0,1.0,5869.0
None,Clouds,266.15,0.0,0.0,90.0,901.0
None,Clear,293.88,0.0,0.0,1.0,697.0
None,Clouds,289.01,0.0,0.0,40.0,4948.0
None,Clear,291.73,0.0,0.0,1.0,362.0
None,Clouds,279.45,0.0,0.0,90.0,4907.0
None,Rain,286.88,0.0,0.0,90.0,2049.0
None,Rain,287.12,0.0,0.0,90.0,6244.0
None,Snow,271.09,0.0,0.0,75.0,321.0
None,Clear,292.15,0.0,0.0,1.0,469.0
None,Clouds,286.98,0.0,0.0,90.0,3696.0
None,Snow,265.05,0.0,0.0,75.0,3991.0
None,Clear,279.29,0.0,0.0,5.0,4495.0
None,Clear,292.54,0.0,0.0,1.0,4825.0
None,Clouds,280.02,0.0,0.0,90.0,4539.0
None,Snow,259.59,0.0,0.0,90.0,5169.0
None,Clear,302.67,0.0,0.0,8.0,2982.0
None,Mist,292.22,0.0,0.0,1.0,893.0
None,Clear,259.01,0.0,0.0,1.0,2277.0
None,Snow,271.95,0.0,0.0,90.0,375.0
None,Clouds,273.55,0.0,0.0,90.0,556.0
None,Mist,286.88,0.0,0.0,40.0,350.0
None,Clouds,281.6,0.0,0.0,20.0,3794.0
None,Rain,286.59,0.0,0.0,40.0,5598.0
None,Mist,273.77,0.0,0.0,90.0,2334.0
None,Haze,292.49,0.0,0.0,40.0,5246.0
None,Clear,269.15,0.0,0.0,1.0,2070.0
None,Mist,287.18,0.0,0.0,0.0,5960.0
None,Clear,258.38,0.0,0.0,1.0,6347.0
None,Clouds,295.92,0.0,0.0,40.0,4556.0
None,Thunderstorm,294.07,0.0,0.0,90.0,4175.0
None,Clear,256.59,0.0,0.0,5.0,3185.0
None,Rain,292.11,0.25,0.0,75.0,5349.0
None,Clouds,271.88,0.0,0.0,90.0,1584.0
None,Clear,284.0,0.0,0.0,1.0,297.0
None,Mist,263.24,0.0,0.0,1.0,4057.0
None,Mist,275.62,0.0,0.0,90.0,5184.0
None,Clouds,259.1,0.0,0.0,40.0,384.0
None,Clouds,289.58,0.0,0.0,40.0,5982.0
None,Mist,271.65,0.0,0.0,90.0,2174.0
None,Haze,272.08,0.0,0.0,90.0,4412.0
None,Clouds,258.83,0.0,0.0,64.0,5792.0
None,Drizzle,292.86,0.0,0.0,90.0,2903.0
None,Clear,260.01,0.0,0.0,1.0,1545.0
None,Rain,275.21,0.0,0.0,75.0,326.0
None,Clear,278.09,0.0,0.0,1.0,5686.0
None,Fog,274.49,0.0,0.0,1.0,808.0
None,Mist,273.23,0.0,0.0,90.0,3240.0
None,Rain,290.71,0.25,0.0,90.0,5865.0
None,Clear,296.29,0.0,0.0,1.0,4432.0
None,Mist,292.01,0.0,0.0,90.0,6414.0
None,Mist,282.02,0.0,0.0,100.0,3815.0
None,Clear,287.82,0.0,0.0,1.0,488.0
None,Clear,275.35,0.0,0.0,1.0,223.0
None,Clouds,300.78,0.0,0.0,40.0,4452.0
None,Clouds,302.21,0.0,0.0,40.0,5153.0
None,Clouds,260.75,0.0,0.0,20.0,5833.0
None,Mist,283.51,0.0,0.0,90.0,4460.0
None,Clear,271.86,0.0,0.0,1.0,4483.0
None,Clear,266.96,0.0,0.0,1.0,5017.0
None,Clouds,297.35,0.0,0.0,40.0,2581.0
None,Clouds,263.41,0.0,0.0,64.0,765.0
None,Snow,270.79,0.0,0.0,90.0,826.0
None,Clear,276.8,0.0,0.0,0.0,5326.0
None,Mist,268.26,0.0,0.0,90.0,2549.0
None,Mist,285.91,0.3,0.0,90.0,749.0
None,Clear,295.89,0.0,0.0,0.0,4721.0
None,Clouds,292.02,0.0,0.0,75.0,5332.0
None,Rain,290.86,1.33,0.0,90.0,5468.0
None,Clear,256.89,0.0,0.0,1.0,949.0
None,Clouds,298.31,0.0,0.0,90.0,3196.0
None,Clear,274.22,0.0,0.0,1.0,1479.0
None,Clouds,298.5,0.0,0.0,40.0,4394.0
None,Clear,298.25,0.0,0.0,1.0,6074.0
None,Clouds,287.76,0.0,0.0,90.0,293.0
None,Mist,291.88,0.0,0.0,90.0,5599.0
None,Clear,259.37,0.0,0.0,1.0,2549.0
None,Rain,273.28,0.0,0.17,90.0,359.0
None,Clear,289.65,0.0,0.0,1.0,5782.0
None,Clear,298.48,0.0,0.0,1.0,6160.0
None,Mist,286.81,0.47,0.0,92.0,4245.0
None,Clear,276.8,0.0,0.0,1.0,1447.0
None,Clear,261.54,0.0,0.0,1.0,3121.0
None,Clear,289.74,0.0,0.0,1.0,424.0
None,Clouds,263.7,0.0,0.0,20.0,346.0
None,Clear,296.01,0.0,0.0,1.0,4357.0
None,Mist,269.42,0.0,0.0,90.0,4631.0
None,Clear,268.22,0.0,0.0,1.0,761.0
