age,job,marital,education,default,balance,housing,loan,contact,campaign,pdays,previous,poutcome,y
27,0,2,1,0,691,1,0,0,2,-1,0,0,0
58,6,1,2,0,0,0,0,0,28,-1,0,0,0
32,1,1,1,0,736,1,0,0,3,-1,0,0,0
36,7,1,1,0,-260,1,0,0,2,-1,0,0,0
39,4,2,2,0,137,1,0,0,9,-1,0,0,0
82,5,0,0,0,928,0,0,1,2,188,3,1,0
39,9,1,1,0,-295,1,0,0,1,-1,0,0,0
60,5,1,1,0,926,1,0,0,2,-1,0,0,0
41,9,1,1,0,2123,0,0,0,1,102,2,0,0
23,7,1,1,0,2673,1,0,0,2,-1,0,0,0
50,4,2,1,0,1277,0,0,0,1,-1,0,0,0
39,3,1,0,0,562,0,0,0,2,-1,0,0,0
36,1,1,1,0,13,0,0,0,1,-1,0,0,0
41,1,1,1,0,732,1,0,0,1,-1,0,0,0
53,0,1,1,0,459,0,0,0,6,192,1,2,0
28,0,1,1,0,423,1,0,0,1,-1,0,0,0
30,2,1,1,0,392,1,0,0,3,-1,0,0,0
39,4,1,2,0,55,0,0,0,4,-1,0,0,0
29,9,2,1,0,778,1,0,0,2,-1,0,0,0
35,9,2,2,0,275,1,0,0,3,254,5,0,0
26,6,2,1,0,166,1,0,0,2,-1,0,0,0
36,4,2,1,0,601,0,0,0,2,-1,0,0,0
35,1,1,0,0,3279,0,0,0,2,-1,0,0,0
40,4,1,2,0,229,1,0,0,3,-1,0,0,0
38,1,1,1,0,171,1,1,0,1,-1,0,0,0
26,0,1,2,0,2855,0,0,0,3,-1,0,0,0
32,7,2,2,0,-233,1,0,0,2,-1,0,0,0
53,4,1,2,0,193,0,0,0,2,-1,0,0,0
45,1,1,0,0,512,0,0,0,2,-1,0,0,0
45,0,1,1,0,520,1,0,0,1,-1,0,0,0
56,0,1,1,0,45,0,0,0,1,-1,0,0,1
33,1,1,0,0,28,0,1,0,2,-1,0,0,0
42,1,2,0,0,92,0,0,0,2,-1,0,0,0
45,3,1,1,0,360,0,0,0,1,-1,0,0,1
37,0,2,1,0,569,1,1,0,2,-1,0,0,0
28,0,2,1,0,1391,1,0,0,2,247,1,0,0
41,4,1,2,0,9935,0,0,1,1,-1,0,0,0
32,9,1,1,0,-413,1,0,0,2,-1,0,0,0
67,5,0,0,0,1746,0,0,0,1,-1,0,0,0
22,8,2,1,0,948,0,0,1,1,197,2,0,1
39,1,1,0,0,2003,1,0,0,2,-1,0,0,0
39,1,1,0,0,4,1,0,0,5,-1,0,0,0
62,5,1,1,0,2801,1,1,0,1,183,1,2,1
40,9,1,1,0,500,1,0,0,3,-1,0,0,0
34,0,2,2,0,64,1,0,0,2,-1,0,0,0
38,4,1,2,0,246,1,0,0,8,-1,0,0,0
34,1,2,1,0,381,1,0,0,1,-1,0,0,0
30,1,1,0,0,236,1,0,0,1,364,1,0,0
67,5,1,1,0,1443,0,0,0,1,-1,0,0,1
51,9,1,1,0,425,1,0,0,3,-1,0,0,0
31,7,1,1,0,418,1,1,0,1,-1,0,0,0
31,9,2,1,0,200,0,0,0,2,-1,0,0,0
37,9,1,1,0,2707,1,0,1,1,-1,0,0,0
33,1,2,2,0,700,0,0,0,1,88,1,2,1
41,4,1,2,0,2676,0,0,0,4,-1,0,0,0
37,0,1,1,0,0,1,0,0,3,-1,0,0,0
27,4,2,1,0,326,0,0,0,1,-1,0,0,1
36,7,1,1,0,184,1,0,0,3,-1,0,0,0
32,2,2,0,0,1770,0,1,0,2,188,6,0,0
56,4,0,2,0,66721,0,0,0,2,-1,0,0,0
33,9,1,2,0,40,1,0,0,3,-1,0,0,0
60,7,1,1,0,1446,0,0,0,6,-1,0,0,0
31,1,2,1,1,-575,1,0,0,9,-1,0,0,0
44,9,0,1,0,12,0,0,0,3,-1,0,0,0
29,6,1,2,1,0,1,1,0,3,-1,0,0,0
45,4,1,2,0,1034,0,1,0,4,-1,0,0,0
46,6,1,2,0,0,1,1,0,1,-1,0,0,0
30,1,1,1,0,717,1,0,0,1,-1,0,0,0
29,0,0,1,0,0,0,0,0,1,-1,0,0,0
44,9,1,1,0,1139,1,0,0,1,-1,0,0,0
55,4,1,2,0,36,0,1,0,3,-1,0,0,0
34,0,0,1,0,1268,1,0,0,3,-1,0,0,0
31,4,0,2,0,71,0,0,0,1,-1,0,0,1
54,7,1,1,1,0,1,0,0,3,-1,0,0,0
35,1,1,2,0,5271,1,0,0,2,-1,0,0,0
49,1,1,1,0,825,1,0,0,1,-1,0,0,0
35,4,2,2,0,-146,1,0,0,1,266,1,0,0
41,0,1,0,0,-306,1,0,0,1,-1,0,0,1
44,9,1,0,0,7800,1,0,0,1,-1,0,0,0
37,9,2,1,0,123,0,1,0,1,-1,0,0,0
42,9,1,1,0,420,1,0,0,1,-1,0,0,0
31,1,1,0,1,0,1,0,0,2,-1,0,0,0
41,4,1,2,0,36,0,0,0,3,-1,0,0,0
46,1,1,1,0,243,1,0,0,4,-1,0,0,0
35,6,1,2,0,7990,1,0,0,1,-1,0,0,0
35,1,2,1,0,1239,1,0,0,1,195,1,0,0
51,4,1,2,0,0,1,0,0,2,-1,0,0,0
26,0,1,1,0,3160,1,0,0,1,-1,0,0,0
29,4,1,2,0,0,1,0,0,2,-1,0,0,1
38,9,2,1,0,1255,1,0,0,2,171,2,0,0
56,5,1,1,0,1333,0,0,0,14,-1,0,0,0
42,4,0,2,0,0,0,0,0,1,-1,0,0,0
27,1,1,1,0,30,0,1,0,1,334,4,1,0
41,1,1,0,0,-571,1,1,0,4,-1,0,0,0
43,1,1,0,0,-418,1,1,0,2,-1,0,0,0
36,4,1,2,0,203,0,0,0,1,88,1,2,1
42,4,1,2,0,-700,1,0,0,1,-1,0,0,0
38,7,1,1,0,702,1,0,0,1,-1,0,0,0
45,1,1,1,0,2926,1,1,0,2,-1,0,0,0
48,4,1,1,0,0,1,0,0,1,344,1,1,0
40,6,1,2,0,642,0,0,0,3,-1,0,0,0
38,4,0,2,0,554,0,0,0,4,-1,0,0,0
33,9,2,1,0,-409,1,0,0,1,-1,0,0,0
43,4,1,2,0,1050,1,1,0,11,-1,0,0,0
35,0,1,1,0,5270,0,0,0,8,-1,0,0,0
41,4,1,1,0,3018,1,0,0,2,-1,0,0,0
34,4,1,2,0,-304,1,0,0,2,-1,0,0,0
31,4,2,2,0,9629,0,0,0,1,174,4,0,0
32,6,2,1,0,356,1,0,0,6,-1,0,0,0
21,8,2,1,0,99,1,0,0,1,-1,0,0,0
35,4,1,2,0,-468,1,0,0,8,-1,0,0,1
37,6,1,1,0,2260,1,0,0,3,-1,0,0,0
36,4,1,2,0,612,0,0,0,2,-1,0,0,0
49,1,1,1,0,0,0,1,1,2,-1,0,0,0
46,4,0,2,0,675,0,1,0,2,-1,0,0,0
41,1,1,1,0,2689,1,0,0,1,-1,0,0,1
54,4,1,2,0,14107,0,0,0,1,-1,0,0,0
50,4,1,1,0,0,0,0,0,2,-1,0,0,0
37,9,1,1,0,490,1,0,0,1,-1,0,0,0
27,0,2,1,0,18188,1,0,0,17,-1,0,0,1
25,7,2,1,0,642,1,1,0,2,-1,0,0,0
34,4,2,2,0,151,1,0,0,4,-1,0,0,0
39,9,0,1,0,0,1,1,0,1,-1,0,0,0
33,7,1,1,0,346,1,0,0,1,-1,0,0,0
38,1,1,0,0,8637,1,0,0,1,-1,0,0,0
36,6,1,2,0,2517,0,0,0,2,-1,0,0,0
34,0,1,1,0,1158,1,0,0,7,-1,0,0,0
60,5,1,0,0,957,0,0,0,2,-1,0,0,0
46,4,1,1,0,1363,1,1,0,4,-1,0,0,0
45,1,1,0,0,103,0,0,0,3,-1,0,0,0
30,4,2,2,0,1108,1,1,0,1,-1,0,0,0
44,1,2,1,0,4330,0,0,0,9,-1,0,0,0
33,1,1,0,0,289,1,0,0,1,363,4,0,0
35,1,1,0,0,0,0,1,0,2,-1,0,0,0
41,0,0,1,0,8,0,0,0,1,-1,0,0,0
57,5,1,1,0,919,1,1,0,2,-1,0,0,0
30,7,1,1,0,675,1,0,0,1,-1,0,0,0
47,1,0,1,1,0,0,1,0,3,-1,0,0,0
30,1,2,1,0,3,1,0,0,1,-1,0,0,0
24,0,2,2,0,0,1,0,0,2,-1,0,0,1
50,2,2,2,0,0,1,0,0,1,-1,0,0,0
33,4,1,2,0,1412,0,0,0,2,-1,0,0,0
57,5,1,1,0,3382,0,1,1,2,-1,0,0,0
30,7,1,1,0,-111,1,0,0,1,-1,0,0,0
47,4,1,1,0,12245,0,0,0,3,-1,0,0,0
31,1,2,2,0,60,1,1,0,1,-1,0,0,0
32,3,1,2,0,10,1,0,0,2,-1,0,0,0
31,4,1,2,0,3739,0,0,0,3,-1,0,0,0
33,1,2,1,0,109,1,1,0,3,-1,0,0,0
49,1,1,0,0,1119,1,0,0,1,-1,0,0,0
39,1,1,0,0,1506,1,0,0,2,-1,0,0,0
56,4,1,1,0,4623,0,0,0,1,-1,0,0,1
30,2,1,2,0,-130,1,1,0,2,-1,0,0,0
43,9,1,1,0,373,0,0,1,1,-1,0,0,0
32,1,1,1,0,4,1,1,0,1,-1,0,0,0
39,4,1,1,0,4800,0,0,0,3,-1,0,0,0
33,4,1,1,0,3132,1,0,0,5,-1,0,0,0
37,7,1,1,0,0,1,1,0,2,-1,0,0,0
48,7,1,1,0,124,0,1,0,1,-1,0,0,0
51,9,1,1,0,856,0,0,0,2,-1,0,0,0
27,1,1,1,0,197,0,0,1,1,-1,0,0,0
32,9,1,1,0,473,0,1,0,1,95,3,2,1
53,3,1,0,0,1869,0,0,0,4,-1,0,0,0
59,0,0,1,0,1525,0,0,1,2,-1,0,0,0
49,2,2,1,0,5802,0,0,0,3,104,2,2,0
30,4,2,2,0,499,1,0,0,1,281,3,0,0
47,0,1,1,0,1808,0,1,0,1,-1,0,0,0
40,1,1,1,0,1313,0,0,0,1,-1,0,0,0
67,5,1,1,0,714,0,0,0,1,-1,0,0,0
41,9,1,1,0,130,0,0,0,3,-1,0,0,0
25,7,2,1,0,-107,1,0,0,1,-1,0,0,0
56,7,1,1,0,2658,1,0,0,1,-1,0,0,0
34,1,1,0,0,363,1,0,0,5,-1,0,0,0
32,1,1,1,0,333,1,0,0,2,-1,0,0,1
32,1,1,1,0,0,1,1,0,3,-1,0,0,0
58,9,1,1,0,592,0,0,0,1,-1,0,0,0
38,4,0,2,0,-199,1,0,0,3,-1,0,0,0
29,2,2,2,0,303,1,0,0,4,-1,0,0,0
34,0,1,1,0,1191,1,0,0,2,-1,0,0,0
33,9,0,1,0,1279,1,0,0,1,206,7,1,0
47,9,1,0,0,1375,1,1,0,2,-1,0,0,0
33,1,0,0,0,176,1,0,0,1,-1,0,0,0
52,10,1,0,0,255,0,1,0,3,-1,0,0,0
43,4,2,2,0,146,0,0,0,1,113,5,1,0
42,9,1,2,0,921,0,0,0,3,-1,0,0,1
57,3,0,0,0,7451,0,0,0,4,-1,0,0,0
32,10,1,1,0,365,1,0,0,3,-1,0,0,0
30,0,2,1,0,4448,0,0,0,8,-1,0,0,1
43,0,2,1,0,375,0,1,0,2,199,4,0,0
48,4,0,2,0,249,0,0,0,6,-1,0,0,0
55,4,0,2,0,2037,0,0,0,2,94,3,2,1
29,0,0,1,0,891,0,0,0,1,-1,0,0,0
33,4,1,2,0,437,1,0,0,1,-1,0,0,0
36,4,1,2,0,1113,0,0,0,1,-1,0,0,1
39,1,1,1,0,483,1,0,0,1,-1,0,0,0
34,7,1,1,0,0,1,0,1,4,-1,0,0,0
31,4,1,2,0,526,0,0,0,13,-1,0,0,0
43,7,2,2,0,553,0,0,0,1,-1,0,0,0
83,5,1,2,0,6236,0,0,0,2,-1,0,0,0
47,9,1,1,0,-401,1,0,0,1,-1,0,0,0
41,1,2,1,0,277,1,0,0,4,-1,0,0,0
37,2,1,1,0,3,0,0,0,1,-1,0,0,0
45,4,1,2,0,7154,1,0,0,3,-1,0,0,0
57,4,1,2,0,0,0,1,0,2,197,2,1,0
31,4,2,2,0,518,1,0,0,1,-1,0,0,0
32,4,2,2,0,2983,1,0,0,1,102,1,0,0
24,9,1,1,0,556,1,0,0,1,94,4,2,1
36,10,1,1,1,-318,1,0,0,2,-1,0,0,0
44,0,1,1,0,1362,1,0,0,1,-1,0,0,0
43,1,1,0,0,17,1,0,0,10,-1,0,0,0
55,9,2,1,0,3339,1,0,0,1,-1,0,0,0
34,4,0,2,0,13204,1,1,0,2,-1,0,0,0
48,1,1,1,0,893,0,0,0,2,-1,0,0,0
39,0,1,1,0,0,1,0,0,1,-1,0,0,0
31,9,0,1,0,646,1,0,0,3,-1,0,0,0
29,4,1,2,0,266,1,0,0,2,-1,0,0,0
44,1,1,0,0,3113,0,0,0,2,-1,0,0,0
30,9,2,1,0,3,0,0,0,6,-1,0,0,0
25,1,2,1,0,0,1,0,0,2,-1,0,0,0
34,9,0,1,0,592,1,0,0,3,-1,0,0,0
43,4,1,2,0,703,1,0,0,1,-1,0,0,0
60,0,1,1,0,12980,0,0,0,2,182,1,2,0
71,5,1,0,0,3230,0,0,0,2,133,3,0,1
31,10,1,1,0,6,0,0,0,4,-1,0,0,1
57,0,1,1,0,100,0,0,0,16,-1,0,0,0
46,0,1,1,0,38,1,1,0,1,-1,0,0,0
52,2,1,1,0,1306,0,0,0,1,-1,0,0,1
59,5,1,2,0,1425,0,0,0,2,102,1,2,0
30,4,1,2,0,1825,1,0,0,1,-1,0,0,0
52,4,1,2,0,2901,0,0,0,2,-1,0,0,0
29,1,1,1,0,-28,1,0,0,1,-1,0,0,0
35,1,1,0,0,2205,1,0,0,3,-1,0,0,0
61,0,1,1,0,1088,1,0,0,1,359,1,0,0
32,4,1,2,0,92,0,0,0,1,-1,0,0,0
40,2,1,0,0,324,1,0,0,6,-1,0,0,0
52,0,2,1,0,2332,0,0,0,2,-1,0,0,0
56,3,2,0,0,801,0,0,0,4,-1,0,0,0
39,1,1,0,0,3324,0,0,0,1,-1,0,0,0
27,8,2,1,0,298,1,0,0,1,-1,0,0,0
35,2,1,1,0,313,1,0,0,1,-1,0,0,0
50,6,0,2,0,1390,0,0,0,2,-1,0,0,0
49,9,1,2,0,1843,1,0,0,1,-1,0,0,0
53,6,1,2,0,3711,0,0,0,1,-1,0,0,0
43,4,1,2,0,676,0,0,0,4,-1,0,0,0
37,0,0,1,0,796,0,0,0,1,-1,0,0,0
47,7,2,1,0,591,0,0,0,1,-1,0,0,0
39,3,1,2,0,2990,0,0,1,4,-1,0,0,0
39,1,1,0,0,558,1,0,0,1,531,3,0,0
24,4,1,1,0,448,0,0,0,1,-1,0,0,1
52,5,1,0,0,9,0,0,0,1,-1,0,0,0
30,4,1,2,0,134,1,0,0,1,-1,0,0,0
28,6,2,2,0,3290,0,0,0,2,-1,0,0,1
28,7,1,1,0,4,1,0,0,5,-1,0,0,0
33,1,1,0,0,1309,1,0,0,1,-1,0,0,0
20,8,2,1,0,130,0,0,1,1,99,3,0,0
39,1,1,1,0,1044,1,0,0,1,-1,0,0,0
50,4,0,2,0,151,0,0,0,4,-1,0,0,0
27,7,2,2,0,128,0,0,0,1,-1,0,0,0
77,5,1,0,0,680,0,0,1,4,94,3,0,0
25,0,2,1,0,787,1,0,0,1,-1,0,0,0
26,1,1,1,0,1101,0,0,1,1,-1,0,0,0
59,7,1,1,0,2965,1,0,0,3,-1,0,0,1
54,1,1,0,0,950,1,0,0,2,-1,0,0,0
40,3,1,2,0,795,1,0,0,3,-1,0,0,0
37,1,2,0,0,914,0,0,0,1,-1,0,0,0
55,6,1,1,0,198,0,0,0,6,-1,0,0,0
55,1,1,1,0,34,1,1,0,3,-1,0,0,0
54,6,1,1,0,153,1,0,0,1,-1,0,0,0
49,1,1,0,0,2316,0,0,1,4,-1,0,0,0
28,1,1,1,0,339,1,0,0,2,-1,0,0,0
44,9,1,1,0,266,1,0,0,1,-1,0,0,0
37,1,1,0,0,61,1,0,0,3,-1,0,0,0
34,4,1,2,0,1433,0,0,0,3,104,3,0,0
58,0,1,1,0,528,0,0,0,3,-1,0,0,0
56,0,1,1,0,550,1,0,0,2,-1,0,0,0
46,1,1,0,0,2427,0,0,0,1,-1,0,0,0
45,9,1,1,0,1686,0,0,0,1,-1,0,0,0
31,1,2,1,0,2093,0,0,0,1,-1,0,0,0
53,3,1,1,0,559,1,0,1,1,-1,0,0,0
57,9,1,1,0,93,0,0,0,2,-1,0,0,0
54,5,1,1,0,24,1,0,0,1,-1,0,0,0
31,9,2,2,0,1881,0,0,0,1,-1,0,0,0
30,4,2,2,0,5359,0,0,0,1,191,3,2,1
40,1,1,1,0,6536,0,0,0,1,-1,0,0,0
43,9,1,2,0,2331,1,0,0,4,-1,0,0,0
38,7,0,1,0,710,1,0,0,2,-1,0,0,0
61,0,0,2,0,89,0,0,0,2,95,2,1,0
25,8,2,1,0,679,0,0,0,5,94,6,1,1
42,1,2,0,0,4930,0,0,0,1,-1,0,0,1
34,4,2,2,0,4348,1,0,0,8,-1,0,0,0
30,1,1,0,0,-68,1,0,0,2,-1,0,0,0
45,9,1,1,0,88,0,0,0,2,-1,0,0,0
51,1,1,1,0,700,0,0,0,4,-1,0,0,0
37,7,2,1,0,23,1,0,0,1,182,1,0,0
47,10,1,0,0,2290,1,0,0,1,-1,0,0,0
36,1,1,1,0,-406,1,1,0,3,-1,0,0,0
44,1,1,0,0,887,1,0,0,2,363,1,0,0
50,4,2,2,0,0,0,0,0,4,-1,0,0,0
48,1,1,1,0,1,0,0,0,3,-1,0,0,0
39,9,1,2,0,108,0,0,0,3,28,2,1,0
30,1,2,1,0,0,1,0,1,5,-1,0,0,0
46,0,2,1,0,2273,0,0,0,3,-1,0,0,0
34,4,0,2,0,582,0,0,0,3,-1,0,0,0
27,8,2,1,0,760,0,0,0,2,-1,0,0,0
44,9,0,1,0,0,1,0,0,2,-1,0,0,0
28,1,1,0,0,702,1,0,0,2,-1,0,0,0
41,1,1,0,0,143,1,1,0,2,-1,0,0,1
37,1,2,1,0,88,1,0,0,2,-1,0,0,0
44,1,0,1,0,-239,1,0,0,3,-1,0,0,0
29,9,2,1,0,309,1,0,0,1,-1,0,0,0
42,4,1,0,0,0,0,0,0,1,-1,0,0,0
24,0,2,2,0,454,1,0,0,1,-1,0,0,0
37,4,1,2,0,0,0,0,0,2,182,3,2,1
35,0,2,1,0,0,1,0,0,1,-1,0,0,1
57,4,1,0,0,6900,0,0,0,4,185,2,0,1
39,7,1,0,0,0,0,0,0,2,282,3,0,0
42,0,2,1,0,1451,1,0,0,4,-1,0,0,1
34,6,2,1,0,1261,1,0,0,2,-1,0,0,0
46,1,1,0,0,557,0,0,0,1,-1,0,0,0
35,1,1,0,0,2730,1,0,0,1,-1,0,0,0
44,1,1,0,0,0,0,0,0,5,-1,0,0,0
57,4,1,2,0,4929,1,0,1,4,-1,0,0,0
32,1,2,0,0,12198,1,0,0,1,-1,0,0,1
56,2,0,1,0,155,0,0,0,3,-1,0,0,0
37,4,1,2,0,1276,0,0,0,2,-1,0,0,1
30,4,2,2,0,536,0,0,0,1,105,1,2,1
43,1,1,0,0,3917,0,0,0,2,93,1,2,1
38,0,1,1,0,137,1,0,0,22,-1,0,0,0
49,6,1,2,0,1791,0,0,0,1,-1,0,0,0
41,3,2,1,0,2184,0,0,0,2,-1,0,0,0
52,4,0,0,0,92,0,1,0,7,-1,0,0,0
49,4,1,2,0,1304,1,0,0,1,-1,0,0,0
34,4,2,1,0,859,0,0,0,1,-1,0,0,1
59,4,1,0,0,0,1,0,1,3,-1,0,0,0
32,1,0,1,0,91,1,0,0,2,351,12,1,0
30,9,2,1,0,0,1,0,0,1,-1,0,0,0
45,0,1,1,0,2556,0,0,1,2,-1,0,0,0
29,0,2,1,0,3986,1,0,0,2,-1,0,0,0
27,9,0,1,0,162,1,0,0,1,-1,0,0,0
27,0,2,1,0,295,1,0,0,13,-1,0,0,0
32,0,1,1,0,3540,1,0,0,1,178,1,0,0
37,4,2,2,0,815,1,0,0,1,-1,0,0,0
37,4,2,1,0,715,1,0,0,2,-1,0,0,0
57,1,0,0,0,3111,0,0,0,6,-1,0,0,0
37,10,1,1,0,1038,0,0,0,3,-1,0,0,0
25,1,2,1,0,84,1,0,0,2,-1,0,0,0
31,4,0,2,0,883,1,0,0,2,106,1,0,1
26,10,2,1,0,461,0,0,0,1,-1,0,0,0
43,2,2,2,0,0,1,0,0,3,-1,0,0,0
31,9,1,1,0,367,1,0,0,3,-1,0,0,0
30,9,2,1,0,2371,0,0,0,1,384,2,1,1
34,4,1,2,0,5878,0,0,0,7,98,3,2,0
64,3,1,1,0,2645,0,0,1,2,-1,0,0,1
41,4,1,1,0,6,0,0,0,1,-1,0,0,0
48,9,1,1,0,164,0,0,0,4,-1,0,0,0
35,0,0,1,0,869,1,0,0,1,-1,0,0,0
40,1,1,0,0,533,1,0,0,4,-1,0,0,0
32,9,1,1,0,150,0,1,0,2,-1,0,0,0
30,3,2,2,0,3362,0,0,0,2,-1,0,0,0
35,1,1,0,0,623,1,0,0,2,-1,0,0,0
51,2,1,2,0,36935,1,0,0,1,-1,0,0,0
50,9,2,1,0,1811,0,0,0,4,-1,0,0,0
21,8,2,0,0,8278,0,0,0,1,-1,0,0,1
30,0,2,1,0,255,0,0,0,1,-1,0,0,1
54,9,2,2,0,1433,1,1,0,20,-1,0,0,0
51,9,1,2,0,87,0,0,0,7,-1,0,0,0
50,1,1,0,0,0,0,0,0,2,191,2,0,0
26,6,2,2,0,-101,0,1,0,1,-1,0,0,0
32,0,2,1,0,642,1,0,0,2,-1,0,0,0
32,9,2,2,0,5204,0,0,0,2,-1,0,0,0
37,1,1,1,0,121,1,0,0,2,-1,0,0,0
35,4,2,2,0,219,0,0,0,6,-1,0,0,0
37,9,2,2,0,178,1,0,0,1,-1,0,0,0
56,4,1,1,0,4623,0,0,0,1,192,1,2,1
46,7,1,1,0,2381,1,0,1,3,363,1,1,0
44,9,1,1,0,8938,1,0,0,18,-1,0,0,0
33,4,0,2,0,802,0,0,0,1,-1,0,0,0
26,7,1,1,0,864,1,1,0,1,-1,0,0,0
35,7,0,1,0,-269,1,0,0,2,-1,0,0,0
31,4,2,1,0,1090,1,0,0,1,303,1,0,0
57,4,1,2,0,-92,1,1,0,1,-1,0,0,1
42,7,2,1,0,838,1,0,0,2,-1,0,0,0
39,1,2,1,0,4619,0,0,0,1,-1,0,0,0
36,0,2,1,0,686,1,0,0,2,-1,0,0,0
35,9,0,1,0,84,1,1,0,1,-1,0,0,1
26,7,1,1,1,27,1,0,1,3,-1,0,0,0
52,4,1,2,0,1944,1,0,0,3,323,2,0,0
54,4,1,2,0,0,0,0,0,7,-1,0,0,0
34,2,1,2,0,105,1,0,0,2,-1,0,0,0
41,4,0,2,0,3426,0,0,0,2,297,3,0,1
40,2,1,2,0,3585,0,0,0,3,-1,0,0,1
55,7,0,1,0,935,0,0,0,2,-1,0,0,0
37,4,1,1,0,247,0,0,0,1,-1,0,0,0
55,7,1,1,0,557,0,0,0,1,-1,0,0,0
51,2,1,2,0,209,0,0,0,2,-1,0,0,0
33,4,2,2,0,5437,0,0,0,1,98,2,2,0
63,5,1,1,0,2747,0,0,0,1,-1,0,0,0
51,7,1,0,0,10150,1,0,0,5,-1,0,0,0
36,7,2,1,0,9231,0,0,0,3,-1,0,0,0
28,10,1,1,0,863,1,1,0,1,-1,0,0,0
28,8,2,1,0,293,0,0,0,3,-1,0,0,0
40,9,2,1,0,556,1,0,0,1,323,1,0,0
23,0,2,2,0,0,0,0,0,2,-1,0,0,0
34,0,1,1,0,3185,1,0,0,1,191,1,0,0
35,9,1,1,0,0,0,0,0,2,-1,0,0,0
45,9,1,1,0,1938,0,0,0,1,-1,0,0,0
52,1,1,0,0,17,1,0,0,2,-1,0,0,0
32,0,2,1,0,131,1,0,0,1,183,2,2,1
51,4,0,2,0,323,1,0,0,9,-1,0,0,0
59,1,1,0,0,-91,1,0,0,1,369,5,0,0
31,1,1,0,0,-537,1,1,0,7,-1,0,0,1
39,1,1,1,0,661,1,0,0,4,-1,0,0,0
47,1,1,1,0,3630,1,0,0,4,-1,0,0,0
36,9,1,1,0,287,0,0,0,6,-1,0,0,0
32,6,1,2,0,1464,0,0,1,2,-1,0,0,0
37,4,2,1,0,1572,0,0,0,3,-1,0,0,0
33,0,1,1,0,2,1,1,0,12,-1,0,0,0
50,9,1,1,0,-70,0,0,0,2,-1,0,0,0
34,7,1,1,0,-211,1,0,0,8,-1,0,0,0
31,9,0,2,0,75,0,0,0,9,-1,0,0,0
33,4,2,2,0,3406,1,0,0,1,-1,0,0,0
51,9,1,1,0,13089,0,0,0,1,-1,0,0,0
35,7,2,1,0,-639,1,1,0,1,-1,0,0,0
30,7,2,1,0,12,0,1,0,31,-1,0,0,0
32,6,1,2,0,210,1,0,0,1,-1,0,0,0
39,9,1,1,0,564,0,0,0,4,-1,0,0,0
28,0,2,1,0,2831,1,0,0,3,-1,0,0,0
57,9,1,1,0,3284,1,0,0,1,-1,0,0,0
37,0,1,1,0,176,1,0,0,2,347,1,0,0
42,4,1,2,0,2110,0,1,0,1,110,2,0,0
34,4,1,2,0,0,0,0,0,2,-1,0,0,0
35,1,1,1,0,-281,1,0,0,15,-1,0,0,0
34,9,2,1,0,559,0,0,0,2,-1,0,0,0
43,2,1,1,0,860,1,1,0,5,-1,0,0,0
37,10,0,1,0,57,1,0,0,1,-1,0,0,0
39,2,0,2,0,208,1,0,0,1,240,2,0,0
33,4,1,2,0,17946,1,0,0,1,-1,0,0,0
32,9,1,1,0,0,0,0,0,3,-1,0,0,0
59,3,1,0,0,153,0,0,0,3,-1,0,0,0
