cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season,class
2.85,f,w,p,f,a,,r,4.75,5.38,,t,y,,,f,f,,g,u,p
3.89,x,t,o,f,a,c,n,4.18,6.05,,y,o,,,t,z,,d,a,p
8.51,x,h,n,f,p,d,y,8.08,11.96,,s,n,,,f,f,,g,u,e
4.92,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u,p
7.68,f,,r,f,x,c,n,6.9,13.14,,,w,,,f,f,,d,u,p
4.81,x,,g,f,d,c,w,4.97,8.55,b,,n,,,f,f,,d,w,p
7.24,x,t,n,f,s,,g,5.7,7.64,,y,n,,,f,f,,d,w,p
2.75,x,,y,f,a,c,y,3.71,8.71,,,w,,,f,f,,d,u,e
1.53,x,,n,f,,,k,4.53,2.34,,s,n,,,f,f,k,g,u,p
5.75,x,,w,f,e,,w,5.83,11.98,b,,w,u,y,t,g,,d,u,e
4.65,s,k,y,f,p,,n,3.54,5.05,,k,n,,,t,f,,d,u,p
7.03,f,y,n,f,e,c,p,5.15,13.09,,,w,,,t,l,,w,u,e
7.97,f,t,e,f,x,,w,14.3,8.37,r,g,n,,,f,f,,d,u,p
8.68,x,,n,f,p,,w,8.03,26.62,c,,n,,,f,f,p,d,a,p
3.92,x,t,n,f,a,c,n,4.86,6.51,,y,n,,,t,z,,d,a,p
6.31,x,h,y,t,x,c,y,7.54,15.23,,,w,,,f,f,,d,u,e
3.97,f,d,n,t,d,c,p,5.63,7.65,,,n,,,f,f,,d,a,e
1.27,f,s,y,f,f,f,f,3.95,5.97,,,y,,,f,f,,d,a,p
3.08,x,,y,f,a,c,o,2.84,8.12,,,w,,,f,f,,d,u,e
3.13,b,g,n,f,x,d,w,4.27,3.37,,,y,,,f,f,,g,a,e
9.45,x,,n,t,,,w,10.22,20.17,b,,w,u,w,t,g,,d,u,e
3.21,x,,y,f,x,,w,5.22,6.56,,,w,,,f,f,,d,a,p
3.13,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s,p
2.35,c,h,n,f,,,y,7.75,2.92,,,y,,,f,f,,g,a,p
11.25,x,s,n,f,a,d,w,7.6,15.81,,i,n,,,t,,w,d,a,e
3.45,x,h,r,f,s,c,g,5.99,6.86,,y,n,,,t,e,u,d,u,p
8.27,b,y,w,f,,,p,14.0,17.1,,,w,,,f,f,,d,a,p
0.58,x,,o,f,d,,o,3.58,0.87,,,o,,,f,f,w,g,u,p
9.75,f,s,e,f,d,d,w,8.68,14.55,,i,n,,,t,,w,d,u,e
5.64,x,,p,f,,c,w,3.41,12.02,,,y,,,f,f,,d,a,p
7.98,s,d,e,t,d,c,n,8.48,9.63,,,e,,,f,f,,d,a,p
10.47,x,h,r,f,,c,w,12.15,18.32,,,w,u,w,t,g,,d,u,p
17.65,f,e,n,f,a,c,w,8.74,25.14,s,,w,,,f,f,,d,a,e
10.83,f,,g,f,s,c,b,6.95,19.43,,,b,,,f,f,,d,w,e
3.39,b,y,n,f,,c,n,7.22,3.37,,,w,,,f,f,,d,a,e
3.33,f,y,e,f,e,c,n,4.22,3.7,,k,w,,,t,e,,m,u,p
2.35,x,i,k,f,a,,p,4.92,2.78,,,w,,,f,f,p,g,u,p
7.42,f,s,w,f,s,c,w,5.73,21.19,,,w,,,f,f,,m,s,e
7.76,f,s,k,f,a,c,w,4.52,15.45,,,w,,,f,f,,d,a,e
17.85,x,d,k,f,p,,y,5.47,40.51,,,n,,,f,f,,d,w,p
7.65,o,k,n,f,,c,o,1.61,16.17,,,y,,,f,f,,d,w,p
8.69,o,,e,f,f,f,f,3.54,25.76,,g,n,,,f,f,,d,s,p
5.69,x,,w,f,,c,w,3.35,11.44,,,y,,,f,f,,d,a,p
0.77,x,g,o,f,,,y,3.58,0.79,,,w,,,f,f,,d,a,p
9.0,o,,n,f,,,w,3.67,23.76,,,n,,,f,f,,d,a,e
2.86,x,d,e,f,a,c,e,4.75,6.67,,,o,,,f,f,,g,w,e
2.11,x,i,k,f,a,,p,4.87,2.74,,,w,,,f,f,p,g,u,p
2.59,c,,u,f,a,c,w,4.06,3.77,,i,w,,,f,f,,d,a,p
3.59,b,g,n,f,x,d,w,3.83,2.8,,,y,,,f,f,,g,a,e
5.44,f,t,n,f,x,,w,11.27,6.74,r,g,n,,,f,f,,d,a,p
2.87,b,y,n,f,,c,n,6.37,3.32,,,w,,,f,f,,d,s,e
1.7,o,k,n,f,,,n,4.3,1.77,,,n,,,f,f,,d,s,p
7.28,b,k,n,f,d,c,y,5.96,6.91,,i,n,,,t,,,d,u,p
7.86,f,,y,f,x,c,n,6.53,12.73,,,w,,,f,f,,d,a,p
3.86,s,,n,f,f,f,f,7.14,7.4,,,y,,,f,f,,d,a,e
6.24,s,,n,f,d,c,w,5.19,7.74,,s,w,,,f,f,,d,u,e
6.96,f,,y,f,a,c,w,5.55,14.24,,,w,,,f,f,,d,u,e
2.58,x,s,w,f,d,c,w,2.98,5.94,,,w,,,f,f,,g,a,p
3.83,x,,y,f,a,c,o,3.53,9.62,,,w,,,f,f,,d,u,e
7.32,x,h,r,f,,c,w,10.62,14.64,,,w,u,w,t,p,,d,u,p
7.1,x,,y,f,e,,w,6.51,13.33,b,,y,u,w,t,g,,d,a,e
20.47,f,d,n,f,d,c,y,6.54,35.89,,k,k,,,f,f,,d,a,p
12.53,f,,w,f,d,c,w,2.57,14.46,,,w,,,f,f,,d,a,e
13.26,x,,n,f,e,,w,10.84,16.54,,,w,u,w,t,e,,d,a,p
6.02,c,h,n,f,e,,w,12.55,12.41,,s,n,u,w,f,f,,d,u,e
10.88,x,s,e,f,d,d,w,11.47,16.03,,i,n,,,t,,w,d,a,e
7.22,x,y,y,f,a,c,y,11.84,12.17,,y,n,,,t,,,d,u,p
8.59,x,t,n,f,p,d,y,6.4,12.4,,s,n,,,f,f,,d,a,e
8.23,f,h,o,f,s,,y,8.65,12.85,,i,n,,,f,f,,d,a,e
8.25,s,,o,t,d,,o,4.92,12.21,,,w,,,t,f,,d,u,p
5.67,x,,w,f,,c,w,4.07,14.07,,,y,,,f,f,,d,a,p
8.65,f,,r,f,x,c,n,6.63,12.72,,,w,,,f,f,,d,u,p
4.28,x,,r,f,a,,r,6.87,8.01,,,w,,,f,f,,d,a,e
11.07,x,i,n,t,e,,p,9.15,17.64,,y,w,,,t,p,,l,a,e
6.32,x,t,g,f,a,d,n,6.89,6.52,,t,g,,,t,l,,d,w,e
3.98,f,t,n,f,x,c,p,6.32,4.8,,i,g,,,f,f,,d,a,p
3.7,s,,u,f,a,,w,4.59,7.72,,,w,,,f,f,,d,a,p
7.43,f,g,o,f,s,,n,8.95,13.08,,i,o,,,f,f,,d,a,e
12.69,x,,n,t,,,w,12.15,21.94,b,,w,u,w,t,g,,d,u,e
5.94,x,h,n,f,x,c,n,6.02,6.08,,y,n,,,t,r,,d,w,e
11.14,p,i,n,t,e,,p,9.37,17.02,,y,w,,,t,p,,d,a,e
1.1,b,t,y,f,,c,g,3.81,2.64,,,n,,,t,f,,g,a,p
15.26,x,e,n,t,e,,w,10.99,18.1,,,w,,,t,,,d,a,e
5.23,o,s,n,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,a,p
9.51,x,e,l,f,x,c,w,5.68,14.6,,,w,,,f,f,,d,u,e
12.52,f,s,r,f,x,,n,7.03,23.07,,,w,,,f,f,,d,u,e
11.23,s,,w,t,d,c,y,6.03,24.54,,,w,,,f,f,,d,u,e
20.93,x,d,n,f,p,,n,14.98,33.41,s,y,w,,,f,f,,d,u,e
3.41,x,t,o,f,a,c,y,5.75,5.97,,g,o,,,f,f,,g,a,p
14.09,x,k,n,t,p,,o,8.91,29.23,c,,y,,,f,f,,d,a,p
2.12,x,,b,f,,d,u,5.41,4.02,,,w,,,f,f,,d,u,e
6.97,o,,n,f,,,w,3.31,21.21,,,n,,,f,f,,d,a,e
4.58,c,,n,f,f,f,f,5.2,21.0,,,n,,,f,f,,d,s,e
1.43,b,,n,f,a,,g,4.47,1.66,,s,n,,,f,f,,d,u,p
4.39,x,t,n,f,d,,o,6.78,8.63,,t,w,,,f,f,,d,w,e
8.9,s,t,p,t,d,c,p,7.81,15.65,,,p,,,t,f,,d,u,p
1.19,f,s,y,f,f,f,f,3.71,5.75,,,y,,,f,f,,d,u,p
3.29,x,t,o,f,a,c,n,3.73,5.37,,y,o,,,t,z,,d,w,p
5.99,c,i,y,f,,c,r,7.47,8.89,,,w,,,f,f,,d,u,p
3.17,x,y,n,f,a,,w,6.12,3.59,,y,y,,,t,r,,g,a,p
4.77,x,t,o,f,a,d,w,6.96,6.03,,s,o,,,f,f,,d,a,e
2.48,x,g,n,f,a,,p,7.25,2.66,,,n,,,f,f,,d,a,p
1.95,b,g,o,f,,c,n,5.49,2.84,,,n,,,f,f,,d,u,p
7.79,s,,g,f,s,c,b,5.79,16.58,,,b,,,f,f,,l,a,e
2.1,f,h,n,f,,,n,7.22,3.04,,,y,,,f,f,,g,u,p
1.61,x,,n,f,,,n,5.45,2.65,,s,n,,,f,f,k,g,u,p
7.62,x,s,g,f,s,,p,7.49,17.43,,i,n,,,f,f,,d,u,p
6.14,f,t,n,f,x,c,y,4.29,12.51,,,y,,,f,f,,d,a,p
6.42,f,s,n,f,x,c,w,7.06,9.78,,s,n,,,f,f,,l,a,e
11.29,f,,w,f,x,c,w,11.34,13.91,r,i,w,,,f,f,,h,u,p
5.06,p,,n,f,f,f,f,5.36,15.73,,,n,,,f,f,,l,s,e
10.5,s,,w,t,d,c,w,5.44,22.93,,,w,,,f,f,,d,u,e
3.14,x,s,o,f,a,,y,3.04,6.04,,,o,,,f,f,,h,a,p
2.25,s,y,n,f,a,d,p,7.24,3.69,,i,n,,,f,f,,l,u,e
3.54,x,y,n,f,a,,w,5.73,3.58,,y,n,,,t,r,,g,a,p
3.14,s,d,w,f,d,d,w,3.54,2.54,,h,w,,,f,f,,g,u,p
5.96,b,d,n,f,d,c,y,6.21,6.63,,i,y,,,t,,,d,a,p
15.6,f,g,e,f,e,,w,18.06,18.83,s,y,w,u,w,t,p,,d,u,p
5.86,x,d,e,t,d,c,n,8.28,10.29,,,n,,,f,f,,d,a,p
4.02,f,y,n,f,s,,y,4.44,7.14,,,w,,,f,f,,d,u,e
2.92,b,w,r,f,a,,y,5.19,5.88,,t,r,,,f,f,,m,a,p
3.8,x,y,n,f,a,,w,6.12,3.66,,y,y,,,t,r,,d,u,p
4.12,x,,n,f,x,c,g,6.51,3.84,,,w,,,f,f,,d,u,e
3.37,x,y,n,f,a,,w,5.77,3.58,,y,y,,,t,r,,d,u,p
9.46,x,s,n,f,e,c,p,8.24,9.65,,i,n,,,f,f,p,d,a,e
3.29,s,,n,f,f,f,f,6.55,6.31,,,o,,,f,f,,d,a,e
2.55,f,,u,f,a,c,n,3.81,3.44,,i,u,,,f,f,,p,u,p
9.25,p,s,w,t,e,,n,6.22,16.32,s,,w,,,t,r,,m,u,e
6.21,x,y,y,f,a,c,y,11.07,10.29,,y,n,,,t,,,d,a,p
1.85,b,h,n,f,a,,n,4.76,1.74,,t,n,,,f,f,,h,a,p
13.57,x,i,y,f,a,,o,14.92,23.48,r,,y,,,t,r,n,d,w,p
3.65,f,k,n,f,s,,p,3.94,2.56,,,n,,,f,f,p,g,a,p
0.93,x,g,w,f,a,d,w,2.93,1.28,,,e,,,f,f,,d,u,p
15.59,x,e,n,t,e,,w,10.32,18.17,,,w,,,t,,,d,u,e
1.05,b,t,n,f,,c,k,3.63,2.7,,,n,,,t,f,,m,u,p
17.58,s,s,k,f,a,d,k,6.44,21.49,,,w,,,f,f,w,d,u,e
6.04,x,,w,f,,c,r,4.03,13.01,,,y,,,f,f,,d,a,p
13.42,x,s,y,f,s,,p,8.61,18.22,,i,n,,,f,f,,d,u,p
2.81,s,w,o,t,d,c,y,3.5,5.65,,,n,,,f,f,,d,u,p
8.01,x,i,n,f,a,c,n,7.65,8.13,,i,n,,k,t,z,k,d,a,p
1.36,c,t,n,f,,,y,6.9,2.79,,,y,,,f,f,,g,a,p
7.72,x,,g,f,s,c,g,6.62,17.99,b,,u,,,f,f,,g,a,e
1.6,x,k,n,f,,,n,4.89,1.55,,,n,,,f,f,,d,u,p
3.89,x,i,e,f,,,e,5.25,5.89,,,e,,,f,f,n,d,a,p
16.18,x,k,n,t,p,,e,9.39,32.03,c,,y,,,f,f,,d,u,p
3.1,o,,g,f,f,f,f,2.81,14.01,,g,n,,,f,f,,d,a,p
5.04,s,,n,f,d,c,w,4.8,6.84,,s,w,,,f,f,,d,a,e
1.22,x,g,e,t,a,,p,5.56,1.01,,,n,,,f,f,,d,a,e
8.27,f,,w,f,x,c,w,9.78,11.69,r,i,w,,,f,f,,d,a,p
3.26,x,s,w,f,d,d,w,3.1,5.69,,,w,,,f,f,,m,a,e
12.72,x,e,n,t,p,,o,10.52,33.42,,,u,,,f,f,,d,a,p
5.62,x,,e,f,,c,r,3.23,13.02,,,y,,,f,f,,d,a,p
23.39,f,s,o,f,p,,y,5.64,43.28,,,n,,,f,f,,d,a,p
6.86,f,,g,f,s,c,g,7.31,19.49,b,,u,,,f,f,,g,w,e
5.71,x,s,n,f,s,,g,5.74,8.05,,y,n,,,f,f,,d,a,p
9.71,x,t,n,f,a,d,w,11.0,32.36,,,w,,,f,f,,d,u,p
10.15,x,i,n,f,a,,n,13.35,17.35,s,,n,,n,f,f,,d,a,p
6.51,x,h,y,t,x,c,y,6.39,12.25,,,w,,,f,f,,d,a,e
8.46,f,w,n,f,x,,w,16.53,8.64,r,g,n,,,f,f,,d,u,p
6.61,f,g,o,f,s,,y,8.06,10.91,,i,o,,,f,f,,d,a,e
4.63,b,i,k,f,e,,y,7.48,7.75,,,y,,,f,f,,g,u,p
