CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1.3,1070.0,150.0,4.5,739.0,155.0,767.0,109.0,1070.0,1186.0,7.5,65.9,0.6868
1.0,844.0,150.0,4.9,757.0,71.0,1186.0,67.0,1445.0,556.0,26.3,31.5,1.0643
1.8,1015.0,150.0,6.8,850.0,57.0,802.0,79.0,1531.0,1173.0,27.2,36.9,1.3147
2.7,1224.0,150.0,14.3,1126.0,482.0,596.0,108.0,1656.0,1231.0,18.0,76.6,1.5706
1.1,986.0,150.0,3.8,700.0,133.0,883.0,80.0,1249.0,768.0,14.0,84.1,1.3389
2.2,1076.0,150.0,8.1,903.0,316.0,1627.0,102.0,1330.0,958.0,11.6,81.0,1.1082
1.8,1063.0,150.0,8.2,909.0,180.0,806.0,109.0,1463.0,963.0,17.8,49.6,0.9954
5.0,1446.0,150.0,22.4,1362.0,586.0,415.0,174.0,1777.0,1705.0,13.5,48.9,0.7553
1.8,1078.0,44.0,4.0,711.0,66.0,1150.0,71.0,1468.0,1013.0,12.3,65.4,0.9351
3.3,1253.0,150.0,16.0,1179.0,421.0,573.0,210.0,1268.0,1387.0,8.5,39.0,0.4336
1.8,1035.0,150.0,11.0,1015.0,143.0,757.0,124.0,1651.0,940.0,24.2,35.9,1.0684
1.4,1063.0,150.0,8.2,909.0,70.0,806.0,76.0,1463.0,963.0,17.8,49.6,0.9954
5.9,1680.0,150.0,25.2,1434.0,977.0,417.0,206.0,1790.0,2005.0,13.4,62.4,0.9513
1.6,1011.0,150.0,9.7,967.0,111.0,818.0,116.0,1565.0,748.0,25.3,30.9,0.9815
2.1,1309.0,150.0,8.9,937.0,122.0,905.0,97.0,1672.0,1036.0,15.9,57.7,1.0356
1.3,942.0,150.0,3.6,688.0,161.0,897.0,115.0,947.0,882.0,3.8,66.2,0.5359
4.3,1282.0,150.0,11.0,1013.0,354.0,545.0,141.0,1384.0,1287.0,17.4,50.6,0.9989
1.6,958.0,150.0,9.0,940.0,180.0,820.0,109.0,1380.0,728.0,32.4,19.4,0.9279
1.8,1091.0,150.0,8.6,925.0,180.0,701.0,109.0,1753.0,1058.0,29.7,50.5,2.0767
1.8,1111.0,150.0,7.7,887.0,244.0,720.0,92.0,1262.0,1132.0,14.6,60.6,1.0033
1.8,1105.0,150.0,10.0,977.0,180.0,692.0,109.0,1618.0,1138.0,28.6,35.7,1.3726
1.8,1010.0,150.0,9.0,940.0,329.0,759.0,124.0,960.0,1027.0,14.5,18.0,0.2956
0.6,857.0,150.0,3.1,661.0,40.0,1083.0,50.0,1511.0,696.0,23.5,50.8,1.452
1.2,929.0,150.0,3.1,659.0,220.0,920.0,147.0,851.0,1033.0,2.0,53.5,0.3831
1.8,1238.0,150.0,11.6,1037.0,113.0,813.0,91.0,1698.0,978.0,25.6,32.5,1.053
2.5,1149.0,150.0,14.5,1132.0,137.0,688.0,124.0,1936.0,1233.0,30.2,37.6,1.587
2.4,1282.0,150.0,11.2,1023.0,369.0,573.0,159.0,1305.0,1461.0,15.7,34.6,0.6147
2.5,1146.0,150.0,13.0,1084.0,159.0,713.0,121.0,1829.0,1215.0,27.3,35.3,1.2606
3.0,1093.0,150.0,14.5,1133.0,288.0,599.0,122.0,1708.0,1200.0,28.0,33.0,1.2264
1.4,1018.0,150.0,13.1,1088.0,127.0,909.0,120.0,1677.0,795.0,30.3,22.8,0.9695
2.3,1131.0,150.0,12.3,1059.0,132.0,772.0,100.0,1784.0,978.0,21.4,47.7,1.2047
2.0,964.0,150.0,8.7,928.0,480.0,871.0,167.0,1130.0,936.0,10.7,37.9,0.487
1.8,985.0,150.0,5.3,780.0,180.0,1017.0,109.0,1444.0,791.0,10.1,77.5,0.9579
0.6,990.0,150.0,6.2,821.0,57.0,848.0,62.0,1511.0,1079.0,27.5,34.6,1.2518
2.5,1153.0,279.0,12.5,1066.0,135.0,811.0,122.0,1651.0,1194.0,19.9,37.8,0.8675
2.5,1241.0,150.0,13.8,1110.0,147.0,772.0,130.0,1698.0,1177.0,22.3,32.1,0.8515
2.1,969.0,150.0,5.2,773.0,292.0,889.0,128.0,914.0,1064.0,3.0,52.5,0.4021
0.7,862.0,150.0,4.8,751.0,73.0,1154.0,77.0,1213.0,617.0,18.4,24.6,0.5169
1.2,1029.0,84.0,4.8,754.0,57.0,1098.0,79.0,1395.0,749.0,12.0,58.4,0.8164
4.6,1380.0,150.0,15.5,1163.0,667.0,573.0,130.0,1547.0,1485.0,13.7,72.5,1.1326
1.2,1032.0,150.0,7.6,883.0,106.0,718.0,42.0,1742.0,1051.0,23.4,65.7,1.872
0.5,846.0,150.0,2.6,628.0,79.0,1025.0,40.0,1218.0,727.0,16.1,73.5,1.3329
2.4,1159.0,150.0,12.3,1059.0,180.0,664.0,109.0,1580.0,945.0,39.5,18.5,1.3076
3.4,1455.0,150.0,18.7,1260.0,464.0,502.0,84.0,1868.0,1540.0,23.7,56.0,1.6238
2.2,1116.0,171.0,10.7,1003.0,119.0,864.0,101.0,1625.0,886.0,18.6,35.4,0.7535
0.6,912.0,150.0,1.7,559.0,72.0,1016.0,64.0,837.0,656.0,5.7,46.6,0.4298
2.4,938.0,150.0,8.1,903.0,309.0,790.0,141.0,885.0,798.0,1.6,37.9,0.2645
1.8,772.0,150.0,1.2,518.0,180.0,1544.0,109.0,1202.0,343.0,10.9,67.5,0.8785
5.6,1526.0,150.0,27.5,1492.0,716.0,428.0,166.0,1883.0,1770.0,13.1,62.9,0.943
1.9,1026.0,150.0,11.2,1020.0,269.0,689.0,122.0,1603.0,992.0,30.0,31.6,1.3176
1.0,893.0,150.0,2.6,629.0,212.0,1015.0,111.0,837.0,456.0,2.7,50.5,0.3804
1.8,1640.0,150.0,28.0,1503.0,180.0,431.0,109.0,2094.0,1894.0,24.7,56.9,1.7472
0.7,901.0,150.0,5.0,763.0,47.0,984.0,54.0,1552.0,717.0,23.7,47.1,1.3602
4.5,1402.0,150.0,18.8,1263.0,551.0,446.0,169.0,1640.0,1723.0,16.5,51.6,0.9601
4.7,1470.0,150.0,25.8,1450.0,677.0,481.0,182.0,1706.0,2015.0,14.0,53.0,0.8451
1.8,1028.0,150.0,8.9,934.0,180.0,786.0,109.0,1481.0,707.0,35.8,23.0,1.3323
1.3,1029.0,150.0,8.1,904.0,180.0,709.0,109.0,1460.0,992.0,29.1,36.7,1.4502
2.2,1089.0,150.0,6.5,835.0,307.0,778.0,110.0,1216.0,1004.0,11.8,65.0,0.8966
6.1,1562.0,150.0,30.3,1557.0,865.0,427.0,167.0,1916.0,1852.0,10.8,77.2,1.0021
1.0,1018.0,150.0,4.7,746.0,183.0,800.0,83.0,1171.0,958.0,10.0,74.8,0.9161
1.3,933.0,150.0,6.4,831.0,105.0,888.0,72.0,1514.0,710.0,26.0,34.9,1.1509
2.1,1074.0,150.0,12.8,1078.0,124.0,685.0,108.0,1673.0,1317.0,24.7,36.9,1.1302
1.8,1160.0,150.0,9.1,944.0,180.0,686.0,109.0,1523.0,1162.0,20.8,64.1,1.554
1.3,968.0,150.0,7.0,858.0,147.0,796.0,60.0,1388.0,894.0,16.0,75.9,1.3721
1.8,1215.0,150.0,12.4,1063.0,180.0,616.0,109.0,1370.0,1214.0,12.4,59.3,0.853
8.7,1704.0,150.0,36.1,1689.0,1070.0,402.0,242.0,1820.0,2480.0,7.1,50.3,0.51
1.7,1127.0,150.0,5.8,802.0,104.0,1064.0,92.0,1447.0,837.0,13.8,57.9,0.9085
2.3,908.0,150.0,11.5,1031.0,187.0,857.0,112.0,1469.0,901.0,34.5,13.3,0.7158
0.6,913.0,150.0,4.4,733.0,250.0,902.0,163.0,901.0,681.0,3.5,47.5,0.3778
0.7,869.0,150.0,2.5,619.0,32.0,1163.0,44.0,1417.0,475.0,29.8,38.6,1.5911
2.9,1438.0,156.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696
4.8,1337.0,150.0,16.6,1198.0,568.0,521.0,217.0,1401.0,1557.0,11.9,42.3,0.5902
0.9,863.0,150.0,4.6,746.0,56.0,919.0,76.0,1415.0,961.0,21.3,45.9,1.1471
4.2,1063.0,150.0,8.2,909.0,136.0,806.0,108.0,1463.0,963.0,17.8,49.6,0.9954
2.6,1016.0,150.0,7.8,892.0,317.0,758.0,141.0,1109.0,945.0,9.2,49.8,0.5808
1.0,914.0,150.0,3.9,705.0,182.0,966.0,124.0,926.0,687.0,6.2,51.3,0.488
4.7,1063.0,150.0,8.2,909.0,933.0,806.0,176.0,1463.0,963.0,17.8,49.6,0.9954
1.0,898.0,150.0,4.6,742.0,93.0,915.0,50.0,1345.0,796.0,18.1,65.2,1.343
1.3,896.0,150.0,4.4,731.0,316.0,911.0,155.0,799.0,627.0,10.6,25.3,0.3224
0.8,816.0,150.0,3.5,684.0,42.0,1195.0,56.0,1285.0,467.0,39.0,15.1,1.0424
2.3,1279.0,150.0,16.6,1197.0,250.0,599.0,112.0,1906.0,1518.0,22.9,43.0,1.1826
1.8,1081.0,150.0,10.6,1000.0,180.0,900.0,109.0,1561.0,900.0,25.9,26.7,0.8771
1.5,1046.0,150.0,6.0,812.0,242.0,782.0,153.0,940.0,1265.0,3.9,51.6,0.4226
1.8,1028.0,150.0,3.5,682.0,180.0,1090.0,109.0,1448.0,697.0,14.3,65.3,1.0594
1.0,1075.0,39.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375
4.3,1313.0,150.0,16.9,1206.0,690.0,513.0,144.0,1469.0,1546.0,6.9,75.2,0.7505
2.3,1139.0,150.0,13.1,1088.0,349.0,625.0,101.0,1580.0,1180.0,20.6,57.3,1.3792
1.8,816.0,150.0,2.6,624.0,41.0,1073.0,56.0,1422.0,729.0,19.7,51.4,1.1688
0.5,850.0,150.0,2.0,583.0,83.0,955.0,64.0,914.0,589.0,10.1,49.7,0.6122
1.7,988.0,150.0,7.2,865.0,268.0,876.0,102.0,1190.0,895.0,15.6,46.6,0.8176
4.3,1525.0,150.0,24.9,1427.0,439.0,450.0,104.0,2085.0,1577.0,23.6,62.2,1.7863
2.1,1261.0,150.0,15.0,1148.0,312.0,585.0,111.0,1733.0,1287.0,27.2,48.5,1.7172
1.5,1063.0,150.0,8.2,909.0,102.0,806.0,88.0,1463.0,963.0,17.8,49.6,0.9954
0.9,972.0,150.0,4.6,743.0,139.0,944.0,41.0,1477.0,742.0,20.6,70.7,1.6996
2.3,1009.0,150.0,8.7,926.0,492.0,791.0,161.0,1015.0,1080.0,7.8,42.0,0.4464
1.6,1076.0,150.0,8.6,924.0,101.0,720.0,80.0,1806.0,909.0,26.0,61.9,2.0511
0.7,1063.0,150.0,8.2,909.0,41.0,806.0,58.0,1463.0,963.0,17.8,49.6,0.9954
1.0,921.0,150.0,4.5,738.0,46.0,901.0,47.0,1585.0,779.0,25.1,56.6,1.7798
0.6,947.0,150.0,1.6,553.0,84.0,944.0,69.0,1110.0,693.0,11.6,73.8,1.0054
1.1,937.0,150.0,2.6,625.0,142.0,977.0,120.0,983.0,798.0,5.1,74.5,0.6626
1.4,1029.0,150.0,3.8,699.0,193.0,851.0,140.0,1001.0,795.0,7.7,56.9,0.5994
1.8,854.0,150.0,3.5,684.0,180.0,1020.0,109.0,1294.0,456.0,32.7,22.8,1.1069
1.8,873.0,150.0,1.5,549.0,180.0,1106.0,109.0,1008.0,791.0,6.9,76.4,0.7661
1.9,1189.0,110.0,6.7,844.0,96.0,887.0,93.0,1566.0,1049.0,13.4,69.6,1.0688
0.5,817.0,150.0,2.1,588.0,55.0,1134.0,37.0,1310.0,589.0,18.9,71.3,1.5449
2.9,1370.0,150.0,12.7,1072.0,398.0,535.0,155.0,1428.0,1233.0,17.3,47.8,0.9363
2.1,940.0,150.0,12.4,1063.0,176.0,848.0,113.0,1539.0,929.0,35.3,13.8,0.7767
2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549
2.3,1142.0,150.0,11.6,1035.0,100.0,746.0,112.0,1611.0,1062.0,27.9,27.6,1.0252
1.3,1091.0,150.0,6.4,829.0,238.0,755.0,92.0,1177.0,1126.0,8.2,81.4,0.888
1.0,1053.0,150.0,2.9,648.0,125.0,808.0,94.0,1109.0,709.0,12.3,65.8,0.9374
1.3,991.0,150.0,5.5,786.0,295.0,817.0,144.0,931.0,1037.0,0.3,61.0,0.3881
1.8,1261.0,150.0,14.5,1134.0,180.0,557.0,109.0,2015.0,1388.0,24.3,58.0,1.7429
1.8,1215.0,150.0,15.1,1150.0,180.0,574.0,109.0,1962.0,1310.0,26.5,50.4,1.7215
3.0,1162.0,150.0,16.3,1188.0,303.0,676.0,136.0,1681.0,1125.0,30.2,30.2,1.2744
2.8,1144.0,150.0,13.2,1091.0,436.0,671.0,171.0,1295.0,1388.0,11.8,44.3,0.6121
0.3,925.0,150.0,4.1,717.0,75.0,936.0,75.0,1455.0,970.0,21.2,46.3,1.1501
1.4,1007.0,150.0,7.0,857.0,301.0,1699.0,96.0,1248.0,921.0,8.7,80.8,0.9096
5.6,1662.0,880.0,31.1,1576.0,351.0,523.0,123.0,2417.0,1861.0,15.4,53.3,0.9289
1.8,951.0,150.0,7.1,862.0,256.0,823.0,138.0,972.0,961.0,14.4,25.7,0.4193
1.8,878.0,150.0,2.9,644.0,180.0,1260.0,109.0,1410.0,685.0,10.0,79.6,0.98
0.8,921.0,150.0,2.8,642.0,120.0,861.0,88.0,948.0,768.0,10.5,48.7,0.6164
1.2,926.0,150.0,5.9,805.0,60.0,901.0,78.0,1511.0,524.0,29.4,34.4,1.3899
0.6,933.0,150.0,1.9,574.0,95.0,937.0,63.0,1201.0,646.0,13.9,78.0,1.2346
0.2,655.0,150.0,0.2,402.0,20.0,2077.0,17.0,814.0,268.0,10.0,45.7,0.5598
3.5,1291.0,150.0,20.0,1296.0,667.0,529.0,97.0,1752.0,1432.0,16.7,73.8,1.3886
4.6,1461.0,633.0,23.8,1398.0,240.0,630.0,129.0,2050.0,1628.0,18.1,40.3,0.8294
3.4,1307.0,150.0,19.3,1278.0,445.0,527.0,95.0,1767.0,1452.0,26.6,42.8,1.4713
2.0,1189.0,150.0,9.7,965.0,239.0,670.0,87.0,1533.0,1060.0,26.5,44.9,1.5278
1.5,1010.0,150.0,6.5,836.0,66.0,848.0,79.0,1577.0,616.0,31.1,38.8,1.7295
1.8,1066.0,150.0,6.3,827.0,180.0,751.0,109.0,1479.0,1024.0,20.1,65.9,1.5321
1.2,938.0,150.0,2.8,639.0,104.0,1020.0,83.0,1059.0,777.0,9.7,70.9,0.8539
3.7,1283.0,150.0,15.0,1149.0,586.0,587.0,235.0,1148.0,1799.0,6.3,39.4,0.3795
2.9,1347.0,150.0,15.5,1165.0,315.0,573.0,97.0,1741.0,1321.0,19.7,70.1,1.5891
0.6,937.0,17.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283
4.1,1063.0,150.0,8.2,909.0,854.0,806.0,137.0,1463.0,963.0,17.8,49.6,0.9954
2.3,1238.0,150.0,13.1,1088.0,150.0,636.0,116.0,1883.0,1306.0,32.7,34.5,1.6798
0.9,883.0,150.0,3.9,705.0,51.0,1133.0,65.0,1422.0,655.0,15.4,58.8,1.0215
1.3,927.0,150.0,5.3,781.0,165.0,994.0,73.0,1267.0,594.0,29.1,26.8,1.0648
2.2,1138.0,150.0,6.9,854.0,262.0,735.0,117.0,1276.0,911.0,13.3,68.2,1.0356
6.6,1462.0,150.0,18.8,1263.0,750.0,510.0,170.0,1421.0,2082.0,6.7,59.7,0.589
1.5,993.0,150.0,4.2,720.0,156.0,891.0,66.0,1143.0,925.0,8.9,83.0,0.9487
1.9,1216.0,150.0,7.5,879.0,363.0,670.0,165.0,1252.0,1111.0,6.3,75.7,0.7252
2.1,1063.0,150.0,8.2,909.0,292.0,806.0,107.0,1463.0,963.0,17.8,49.6,0.9954
1.8,1063.0,150.0,8.2,909.0,180.0,806.0,109.0,1463.0,963.0,17.8,49.6,0.9954
2.2,1149.0,150.0,10.5,996.0,255.0,754.0,104.0,1534.0,1177.0,21.3,50.5,1.2652
1.1,990.0,150.0,8.8,930.0,89.0,1045.0,95.0,1506.0,739.0,27.4,23.8,0.858
1.8,777.0,40.0,1.2,521.0,23.0,1535.0,33.0,1121.0,350.0,12.5,51.2,0.7374
1.9,1029.0,150.0,10.1,983.0,129.0,950.0,97.0,1470.0,879.0,25.1,20.8,0.6516
1.9,1191.0,150.0,10.9,1011.0,305.0,620.0,146.0,1262.0,903.0,23.6,23.2,0.6665
3.4,1468.0,150.0,15.2,1155.0,319.0,565.0,89.0,1738.0,1293.0,24.5,57.5,1.7433
2.3,1233.0,150.0,11.4,1030.0,388.0,619.0,176.0,1257.0,1291.0,9.4,44.9,0.5296
0.3,781.0,150.0,0.3,409.0,25.0,1664.0,25.0,669.0,252.0,3.6,50.3,0.4022
4.1,1037.0,150.0,11.9,1047.0,355.0,869.0,151.0,1159.0,1042.0,8.4,45.4,0.5035
2.1,1392.0,150.0,9.7,967.0,119.0,930.0,94.0,1649.0,941.0,19.1,43.8,0.9556
2.1,1127.0,163.0,8.2,907.0,108.0,957.0,106.0,1404.0,796.0,14.5,35.4,0.5839
1.5,979.0,150.0,6.5,835.0,204.0,936.0,100.0,1338.0,700.0,28.4,28.3,1.0798
3.6,1522.0,150.0,17.6,1229.0,575.0,470.0,207.0,1488.0,1943.0,10.8,52.0,0.6738
6.0,1445.0,150.0,28.5,1516.0,796.0,455.0,210.0,1594.0,1946.0,11.5,37.5,0.5068
2.2,1114.0,150.0,8.6,922.0,410.0,689.0,225.0,1022.0,1223.0,8.7,36.3,0.4074
2.4,1098.0,150.0,13.0,1084.0,191.0,754.0,173.0,1648.0,985.0,38.1,16.5,1.0828
0.9,1003.0,150.0,2.5,618.0,198.0,1003.0,117.0,1159.0,754.0,10.4,82.9,1.0419
1.0,922.0,150.0,5.4,783.0,192.0,857.0,76.0,1367.0,825.0,16.7,79.7,1.503
1.2,936.0,150.0,3.5,685.0,171.0,866.0,124.0,942.0,568.0,15.5,33.9,0.5957
1.4,1150.0,150.0,7.3,871.0,155.0,697.0,58.0,1502.0,1030.0,21.1,64.5,1.594
1.0,1042.0,84.0,5.2,772.0,51.0,923.0,61.0,1495.0,968.0,16.8,59.5,1.1269
4.6,1169.0,150.0,25.0,1430.0,300.0,636.0,190.0,1901.0,1372.0,32.3,18.4,0.8753
1.8,887.0,150.0,4.1,717.0,180.0,955.0,109.0,1334.0,786.0,17.6,69.5,1.3889
1.8,1113.0,150.0,10.6,1001.0,180.0,663.0,109.0,1783.0,1146.0,29.9,42.1,1.7474
1.0,1015.0,150.0,2.8,640.0,144.0,821.0,92.0,1247.0,738.0,14.1,79.1,1.2665
1.8,998.0,150.0,9.5,958.0,125.0,881.0,107.0,1657.0,778.0,31.5,28.7,1.3058
2.6,1028.0,150.0,15.2,1155.0,185.0,832.0,142.0,1691.0,925.0,35.4,14.7,0.8323
2.9,1201.0,150.0,17.5,1224.0,265.0,701.0,146.0,1987.0,1532.0,25.1,43.0,1.3488
4.5,1664.0,599.0,24.1,1407.0,329.0,594.0,134.0,2198.0,1564.0,15.3,55.2,0.9538
1.6,1066.0,116.0,6.8,849.0,130.0,1039.0,98.0,1468.0,829.0,11.0,64.4,0.8447
