month,day,order,country,page_1_main_category,page_2_clothing_model,colour,location,model_photography,price,price_2,page
7,16,9,29,2,234,2,6,1,48,2,2
5,25,10,29,3,330,2,4,2,28,2,2
5,7,1,24,3,32,12,1,1,43,1,1
4,12,3,29,1,14,3,2,2,38,2,1
7,22,4,29,2,212,2,4,1,38,2,1
6,24,3,9,3,317,14,6,1,48,1,1
6,9,7,29,2,232,6,5,1,38,2,2
4,4,11,29,4,1636,2,6,1,43,1,2
4,30,2,29,1,137,2,1,1,62,1,3
4,24,1,29,4,1614,2,5,2,38,1,1
6,30,6,29,2,233,6,5,2,33,2,2
7,29,1,29,3,311,7,4,1,33,2,1
5,25,3,29,2,227,2,3,1,57,1,2
4,24,15,29,4,1660,14,2,1,28,2,4
5,11,8,29,4,1640,4,2,1,43,1,3
4,8,49,24,1,112,2,4,1,38,2,1
4,2,15,24,3,359,5,2,2,52,1,4
5,15,2,29,2,210,2,4,1,67,1,1
4,8,27,9,1,121,1,1,1,62,1,2
5,23,10,9,2,211,2,4,1,43,2,1
8,4,1,29,1,112,2,4,1,38,2,1
4,30,2,46,3,317,14,6,1,48,1,1
6,18,7,29,1,17,3,3,1,43,2,1
5,2,6,9,1,17,3,3,1,43,2,1
4,29,1,9,3,35,11,2,1,48,1,1
4,2,26,29,1,116,1,6,1,33,2,1
4,2,10,44,3,326,14,3,1,28,2,2
7,29,13,29,1,112,2,4,1,38,2,1
5,6,4,29,1,115,14,5,2,33,2,1
4,11,3,29,1,138,6,1,1,62,1,3
4,11,2,29,1,125,1,3,1,38,2,2
5,23,6,29,1,18,3,3,1,62,1,1
4,17,12,29,3,341,13,2,1,28,2,3
7,11,2,29,2,226,13,3,1,57,1,2
6,6,3,29,2,215,9,5,1,38,2,1
5,9,6,29,4,1633,9,5,1,43,1,2
7,26,3,29,2,210,2,4,1,67,1,1
8,12,25,29,4,1617,2,6,2,38,1,1
8,10,5,29,1,115,14,5,2,33,2,1
7,2,5,29,4,1634,9,6,2,48,1,2
5,13,1,29,4,1648,9,4,2,33,2,3
4,2,15,29,4,1653,2,6,2,38,1,3
7,8,22,46,2,227,2,3,1,57,1,2
7,21,2,24,3,357,5,1,2,33,2,4
5,19,17,29,4,1616,7,6,1,33,2,1
4,11,10,29,4,1623,6,2,2,28,2,2
4,29,51,9,3,36,6,2,1,33,2,1
5,11,4,29,2,231,9,5,1,57,1,2
4,2,8,44,2,226,13,3,1,57,1,2
4,7,10,29,3,327,11,3,1,48,1,2
5,7,6,29,2,232,6,5,1,38,2,2
8,3,3,29,2,22,3,1,2,57,1,1
4,27,6,9,1,12,3,1,1,43,2,1
4,30,2,29,1,133,1,5,1,38,2,2
5,14,2,29,4,1662,12,3,2,33,2,4
5,6,5,29,1,117,2,6,1,62,1,1
4,7,1,29,4,161,3,1,1,38,1,1
7,27,1,29,4,166,2,2,1,43,1,1
5,11,1,29,3,314,9,5,1,23,2,1
6,18,10,29,3,344,14,3,1,55,1,3
4,28,3,27,2,224,11,2,1,57,1,2
5,22,8,29,3,313,9,5,1,48,1,1
6,25,5,29,4,1660,14,2,1,28,2,4
6,21,1,46,1,11,8,1,1,28,2,1
7,22,4,29,1,137,2,1,1,62,1,3
7,28,4,29,3,312,14,4,1,43,1,1
4,8,19,15,4,162,3,1,1,28,2,1
5,5,24,29,4,1661,1,3,2,28,2,4
4,30,13,29,1,130,6,4,1,38,2,2
4,3,7,29,2,220,8,1,1,43,2,2
4,7,3,29,3,322,11,2,2,43,1,2
6,2,3,29,2,224,11,2,1,57,1,2
4,19,6,37,3,340,14,2,2,28,2,3
4,2,27,29,1,119,12,1,2,33,2,2
7,26,13,29,4,1639,14,1,1,43,1,3
5,9,1,46,1,17,3,3,1,43,2,1
8,9,4,29,2,213,12,5,2,62,1,1
6,9,1,29,4,1617,2,6,2,38,1,1
4,10,23,29,4,1613,4,5,1,38,1,1
7,8,2,29,1,12,3,1,1,43,2,1
5,28,11,29,1,11,8,1,1,28,2,1
4,14,8,9,3,327,11,3,1,48,1,2
4,17,9,29,4,1664,12,4,2,28,2,4
7,31,4,44,3,319,12,1,1,48,1,2
7,10,9,29,3,328,2,4,2,48,1,2
7,30,6,29,3,38,2,3,2,48,1,1
8,6,8,29,3,325,2,3,1,33,2,2
4,16,6,29,2,211,2,4,1,43,2,1
5,7,4,44,4,163,2,1,1,48,1,1
7,3,3,29,3,319,12,1,1,48,1,2
4,2,19,29,1,137,2,1,1,62,1,3
5,5,4,29,1,111,3,4,1,62,1,1
6,16,1,29,1,18,3,3,1,62,1,1
6,18,2,29,1,141,4,2,1,43,2,3
6,17,8,29,1,111,3,4,1,62,1,1
7,31,1,9,1,19,3,3,1,82,1,1
4,6,4,29,4,1639,14,1,1,43,1,3
4,12,9,29,1,130,6,4,1,38,2,2
4,15,4,29,1,18,3,3,1,62,1,1
4,20,1,29,2,223,7,2,1,38,2,2
8,1,2,29,4,1618,2,6,1,28,2,1
4,23,35,29,3,321,14,1,1,57,1,2
8,9,12,29,4,1621,4,1,1,33,2,2
4,25,2,29,1,115,14,5,2,33,2,1
7,15,81,29,3,325,2,3,1,33,2,2
4,2,3,21,4,1616,7,6,1,33,2,1
4,18,3,29,1,115,14,5,2,33,2,1
4,1,3,9,2,224,11,2,1,57,1,2
4,19,55,29,3,333,14,5,1,48,1,2
4,7,50,29,3,326,14,3,1,28,2,2
6,26,8,29,1,131,6,5,2,62,1,2
6,27,9,29,3,35,11,2,1,48,1,1
5,25,1,29,3,317,14,6,1,48,1,1
4,29,4,29,1,118,4,6,1,38,2,1
5,30,2,29,2,214,2,5,1,62,1,1
4,16,6,29,4,1678,14,2,2,48,1,5
6,11,5,29,2,24,10,2,1,52,1,1
5,29,1,16,2,22,3,1,2,57,1,1
4,26,1,29,2,232,6,5,1,38,2,2
6,30,11,29,3,353,14,6,1,38,2,3
4,2,15,29,4,1637,2,1,1,43,1,3
4,27,2,9,1,111,3,4,1,62,1,1
6,24,3,29,2,24,10,2,1,52,1,1
7,13,4,29,4,166,2,2,1,43,1,1
7,2,1,29,1,16,3,2,1,43,2,1
5,31,5,29,1,115,14,5,2,33,2,1
4,1,1,29,3,317,14,6,1,48,1,1
4,18,8,29,2,232,6,5,1,38,2,2
4,9,2,24,3,38,2,3,2,48,1,1
6,22,3,29,4,1623,6,2,2,28,2,2
4,11,4,29,1,118,4,6,1,38,2,1
4,29,23,29,3,39,6,3,1,48,1,1
6,14,1,9,2,21,4,1,1,57,1,1
6,26,2,9,2,210,2,4,1,67,1,1
4,28,9,29,2,232,6,5,1,38,2,2
7,12,7,29,2,22,3,1,2,57,1,1
4,18,5,29,3,350,9,5,2,20,2,3
6,27,14,29,4,162,3,1,1,28,2,1
7,3,2,29,1,112,2,4,1,38,2,1
7,14,6,29,1,17,3,3,1,43,2,1
7,26,9,29,3,343,6,3,2,28,2,3
4,10,1,29,4,1616,7,6,1,33,2,1
4,14,4,29,4,1615,4,5,2,38,1,1
5,20,9,29,4,1646,14,4,1,28,2,3
6,18,25,29,4,1619,2,1,1,48,1,2
7,17,11,29,1,112,2,4,1,38,2,1
7,13,8,29,3,329,6,4,2,52,1,2
4,16,7,9,1,16,3,2,1,43,2,1
4,16,4,29,3,350,9,5,2,20,2,3
6,27,9,29,3,346,2,4,1,48,1,3
4,7,33,29,4,1674,12,1,2,33,2,5
4,11,2,9,1,19,3,3,1,82,1,1
7,30,6,29,4,1650,6,5,2,33,2,3
5,1,13,9,1,118,4,6,1,38,2,1
4,22,4,29,4,1648,9,4,2,33,2,3
4,18,5,29,4,1641,9,2,2,43,1,3
5,26,7,29,4,1665,9,4,2,43,1,4
6,6,1,29,4,1637,2,1,1,43,1,3
4,21,1,9,1,113,1,5,1,28,2,1
8,5,6,29,4,165,3,2,1,23,2,1
7,17,41,29,3,35,11,2,1,48,1,1
4,23,5,29,2,214,2,5,1,62,1,1
5,5,3,29,4,1674,12,1,2,33,2,5
4,30,5,29,2,213,12,5,2,62,1,1
7,20,4,29,3,359,5,2,2,52,1,4
6,23,8,29,1,114,3,5,1,60,1,1
5,16,4,29,1,111,3,4,1,62,1,1
7,7,6,44,2,232,6,5,1,38,2,2
7,8,6,29,4,1615,4,5,2,38,1,1
4,2,2,29,4,161,3,1,1,38,1,1
7,17,86,29,4,1656,2,1,1,33,2,4
5,16,31,41,3,356,6,1,2,57,1,4
6,3,14,29,4,1623,6,2,2,28,2,2
5,9,1,29,2,24,10,2,1,52,1,1
4,8,4,29,4,1620,7,1,1,23,2,2
4,2,2,29,4,1637,2,1,1,43,1,3
7,5,1,29,2,24,10,2,1,52,1,1
4,25,5,29,4,1639,14,1,1,43,1,3
4,2,24,29,3,339,6,1,1,77,1,3
5,11,1,29,1,115,14,5,2,33,2,1
4,27,3,29,1,18,3,3,1,62,1,1
4,12,7,29,2,230,9,4,1,57,1,2
7,25,2,29,4,1682,6,4,2,48,1,5
4,20,7,29,3,315,6,5,1,33,2,1
5,5,10,29,3,329,6,4,2,52,1,2
8,8,1,29,4,161,3,1,1,38,1,1
5,1,11,29,4,1610,4,4,2,65,1,1
6,3,6,29,1,134,2,6,1,38,2,2
5,12,13,9,3,32,12,1,1,43,1,1
6,8,6,29,3,346,2,4,1,48,1,3
5,24,3,29,1,133,1,5,1,38,2,2
5,8,6,9,1,130,6,4,1,38,2,2
7,20,12,29,1,110,3,4,1,38,2,1
8,13,5,29,1,16,3,2,1,43,2,1
4,16,24,29,1,139,4,1,1,38,2,3
7,6,33,29,3,32,12,1,1,43,1,1
6,17,14,29,2,233,6,5,2,33,2,2
7,28,2,29,3,334,7,6,1,48,1,2
5,28,3,29,2,217,6,6,2,38,2,1
5,2,18,29,3,37,13,3,1,48,1,1
4,29,2,46,1,12,3,1,1,43,2,1
7,5,2,29,4,165,3,2,1,23,2,1
6,13,3,29,2,217,6,6,2,38,2,1
6,21,13,29,3,318,9,6,1,48,1,1
5,6,5,24,3,344,14,3,1,55,1,3
5,8,7,29,1,143,2,3,1,62,1,3
4,29,36,29,4,1645,9,3,1,33,2,3
4,14,2,29,3,32,12,1,1,43,1,1
4,1,1,29,2,211,2,4,1,43,2,1
6,1,5,29,1,12,3,1,1,43,2,1
4,2,37,34,3,310,9,4,2,28,2,1
5,19,4,29,2,219,13,1,1,38,2,2
6,15,4,29,1,19,3,3,1,82,1,1
5,6,7,29,2,24,10,2,1,52,1,1
7,2,29,29,4,1643,7,3,2,38,1,3
7,14,19,29,3,357,5,1,2,33,2,4
7,5,1,29,1,14,3,2,2,38,2,1
5,27,7,29,3,312,14,4,1,43,1,1
4,14,1,29,1,11,8,1,1,28,2,1
4,4,25,29,1,125,1,3,1,38,2,2
8,6,12,29,2,23,12,1,1,52,1,1
6,27,8,29,4,1649,14,5,1,33,2,3
6,25,2,29,3,37,13,3,1,48,1,1
7,17,18,29,2,25,14,2,2,52,1,1
6,10,1,29,1,14,3,2,2,38,2,1
6,28,1,24,1,15,3,2,1,43,2,1
6,4,5,29,4,1620,7,1,1,23,2,2
4,22,5,9,1,17,3,3,1,43,2,1
4,5,1,29,4,161,3,1,1,38,1,1
7,23,5,29,4,1656,2,1,1,33,2,4
4,14,1,29,1,111,3,4,1,62,1,1
8,9,3,29,4,1610,4,4,2,65,1,1
5,27,5,29,1,112,2,4,1,38,2,1
5,15,44,29,1,131,6,5,2,62,1,2
5,25,27,29,4,166,2,2,1,43,1,1
7,31,10,29,2,225,6,3,1,38,2,2
5,19,2,29,4,1670,6,6,2,38,1,4
6,29,6,29,4,1616,7,6,1,33,2,1
6,9,12,9,2,229,2,4,1,62,1,2
5,30,1,29,4,1647,14,4,1,28,2,3
7,7,8,29,3,335,9,6,1,50,1,2
7,30,11,29,3,312,14,4,1,43,1,1
7,1,9,29,3,317,14,6,1,48,1,1
4,30,4,9,2,22,3,1,2,57,1,1
7,5,4,29,3,311,7,4,1,33,2,1
7,18,21,29,4,1670,6,6,2,38,1,4
4,29,1,29,4,1617,2,6,2,38,1,1
4,22,9,29,3,351,6,5,1,20,2,3
6,2,19,29,2,231,9,5,1,57,1,2
5,28,10,29,2,224,11,2,1,57,1,2
4,3,3,29,1,139,4,1,1,38,2,3
6,17,4,29,1,121,1,1,1,62,1,2
7,24,5,29,1,11,8,1,1,28,2,1
7,30,5,29,1,117,2,6,1,62,1,1
8,11,18,29,3,340,14,2,2,28,2,3
4,2,11,29,4,1633,9,5,1,43,1,2
4,28,3,29,2,215,9,5,1,38,2,1
7,31,4,29,2,227,2,3,1,57,1,2
5,24,3,29,2,219,13,1,1,38,2,2
8,3,68,29,4,1621,4,1,1,33,2,2
6,30,7,24,3,330,2,4,2,28,2,2
6,30,4,46,2,212,2,4,1,38,2,1
7,9,3,29,3,36,6,2,1,33,2,1
6,4,11,29,3,34,4,2,1,48,1,1
5,16,7,29,1,123,6,2,2,33,2,2
4,23,59,29,3,327,11,3,1,48,1,2
4,26,34,29,4,1677,7,2,1,43,1,5
5,1,33,29,3,355,13,1,1,48,1,4
7,11,5,29,2,21,4,1,1,57,1,1
4,3,27,29,1,111,3,4,1,62,1,1
5,4,39,29,1,127,3,3,1,55,1,2
7,16,1,9,1,18,3,3,1,62,1,1
7,11,2,29,4,1650,6,5,2,33,2,3
7,10,2,29,3,325,2,3,1,33,2,2
7,10,1,29,3,31,4,1,2,28,2,1
8,12,8,29,2,229,2,4,1,62,1,2
7,18,2,16,3,350,9,5,2,20,2,3
7,11,5,29,1,121,1,1,1,62,1,2
7,29,14,29,4,1623,6,2,2,28,2,2
7,24,1,29,4,163,2,1,1,48,1,1
6,6,2,29,4,1647,14,4,1,28,2,3
6,29,20,29,1,12,3,1,1,43,2,1
4,20,7,29,4,1637,2,1,1,43,1,3
4,7,5,29,3,317,14,6,1,48,1,1
4,19,70,29,4,1677,7,2,1,43,1,5
6,21,5,29,1,13,3,1,1,72,1,1
4,8,6,15,1,133,1,5,1,38,2,2
4,1,7,29,1,117,2,6,1,62,1,1
6,15,5,29,1,110,3,4,1,38,2,1
5,3,6,29,4,1612,4,4,1,33,2,1
7,15,2,29,1,111,3,4,1,62,1,1
4,1,4,29,1,14,3,2,2,38,2,1
4,29,1,29,3,340,14,2,2,28,2,3
8,10,26,29,3,354,14,6,1,57,1,3
4,6,42,29,4,1616,7,6,1,33,2,1
6,26,1,44,1,11,8,1,1,28,2,1
4,27,29,29,2,227,2,3,1,57,1,2
7,14,25,29,2,234,2,6,1,48,2,2
4,10,22,29,4,1612,4,4,1,33,2,1
5,21,29,29,2,224,11,2,1,57,1,2
7,8,10,29,1,16,3,2,1,43,2,1
6,29,12,29,4,161,3,1,1,38,1,1
6,23,7,29,3,311,7,4,1,33,2,1
5,20,3,29,2,212,2,4,1,38,2,1
8,6,48,29,4,1612,4,4,1,33,2,1
5,23,3,29,2,212,2,4,1,38,2,1
4,19,3,29,4,1643,7,3,2,38,1,3
7,8,4,46,4,1682,6,4,2,48,1,5
5,6,7,29,1,132,2,5,1,38,2,2
6,2,2,16,4,1612,4,4,1,33,2,1
5,27,1,29,2,226,13,3,1,57,1,2
7,31,8,29,1,112,2,4,1,38,2,1
4,24,13,29,4,1612,4,4,1,33,2,1
4,11,10,29,1,110,3,4,1,38,2,1
7,13,2,29,2,213,12,5,2,62,1,1
4,27,3,29,2,27,6,3,1,38,2,1
7,21,8,29,3,329,6,4,2,52,1,2
8,8,3,29,1,129,2,4,1,60,1,2
5,14,8,29,1,12,3,1,1,43,2,1
4,17,6,29,2,28,4,3,2,52,1,1
6,12,18,29,1,13,3,1,1,72,1,1
4,2,1,29,3,348,6,4,1,28,2,3
5,15,1,24,2,24,10,2,1,52,1,1
4,29,22,29,1,14,3,2,2,38,2,1
4,28,4,29,2,214,2,5,1,62,1,1
5,6,7,24,3,336,14,6,1,43,1,2
7,26,20,29,1,110,3,4,1,38,2,1
7,6,24,29,4,1636,2,6,1,43,1,2
4,2,3,29,4,1648,9,4,2,33,2,3
7,8,4,29,4,1614,2,5,2,38,1,1
8,3,2,46,1,12,3,1,1,43,2,1
6,19,1,29,1,12,3,1,1,43,2,1
5,30,1,29,1,14,3,2,2,38,2,1
4,7,8,29,4,1611,4,4,2,38,1,1
5,22,2,29,2,215,9,5,1,38,2,1
7,9,1,29,4,168,2,3,1,28,2,1
6,8,7,29,3,335,9,6,1,50,1,2
7,7,1,29,3,322,11,2,2,43,1,2
4,23,38,29,1,13,3,1,1,72,1,1
6,17,5,29,1,111,3,4,1,62,1,1
7,2,13,29,4,1634,9,6,2,48,1,2
6,17,6,29,3,354,14,6,1,57,1,3
7,28,11,29,3,326,14,3,1,28,2,2
5,23,3,29,1,15,3,2,1,43,2,1
4,23,12,29,1,131,6,5,2,62,1,2
7,25,3,29,3,34,4,2,1,48,1,1
4,15,2,29,4,169,4,3,2,23,2,1
6,1,1,21,1,115,14,5,2,33,2,1
7,12,2,29,4,1630,4,4,1,33,2,2
4,21,8,29,1,16,3,2,1,43,2,1
7,28,2,29,3,314,9,5,1,23,2,1
5,6,9,29,3,317,14,6,1,48,1,1
5,28,4,9,3,331,12,5,1,33,2,2
6,16,6,29,2,219,13,1,1,38,2,2
4,4,3,29,2,222,2,2,1,67,1,2
4,22,1,29,1,141,4,2,1,43,2,3
5,2,29,9,1,134,2,6,1,38,2,2
6,24,18,29,4,167,4,3,2,28,2,1
5,13,20,16,2,227,2,3,1,57,1,2
7,7,7,16,1,18,3,3,1,62,1,1
4,6,77,29,4,1669,9,5,1,43,1,4
5,21,1,29,2,217,6,6,2,38,2,1
5,14,5,29,3,323,3,2,1,43,1,2
7,10,11,29,1,14,3,2,2,38,2,1
8,1,2,29,4,164,4,2,1,38,1,1
6,28,6,29,1,121,1,1,1,62,1,2
4,17,7,29,1,114,3,5,1,60,1,1
6,17,4,29,4,1672,14,6,1,33,2,4
5,1,2,29,2,217,6,6,2,38,2,1
7,18,3,9,1,17,3,3,1,43,2,1
5,27,15,29,1,112,2,4,1,38,2,1
6,19,4,29,1,131,6,5,2,62,1,2
7,17,1,29,1,11,8,1,1,28,2,1
7,11,34,24,3,350,9,5,2,20,2,3
5,24,6,29,1,112,2,4,1,38,2,1
4,7,4,29,2,212,2,4,1,38,2,1
8,4,8,29,4,1618,2,6,1,28,2,1
4,21,43,29,1,129,2,4,1,60,1,2
4,24,6,29,1,14,3,2,2,38,2,1
6,22,89,29,1,121,1,1,1,62,1,2
5,16,1,29,3,320,13,1,2,48,1,2
8,5,2,29,1,11,8,1,1,28,2,1
7,19,11,29,4,1639,14,1,1,43,1,3
8,9,2,29,2,220,8,1,1,43,2,2
6,1,11,29,3,330,2,4,2,28,2,2
8,5,4,29,2,210,2,4,1,67,1,1
4,3,10,29,2,220,8,1,1,43,2,2
6,18,19,46,3,311,7,4,1,33,2,1
5,22,7,29,3,319,12,1,1,48,1,2
7,30,1,29,3,38,2,3,2,48,1,1
4,17,16,29,4,1657,4,1,1,43,1,4
6,3,7,29,4,1665,9,4,2,43,1,4
6,17,8,29,2,225,6,3,1,38,2,2
8,6,9,29,2,216,12,6,1,52,1,1
8,9,4,29,3,317,14,6,1,48,1,1
