Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,Cover_Type
2971,49,16,57,-3,1158,222,238,154,2236,1,0,0,0,2
2353,21,16,913,60,862,199,198,144,1467,0,0,0,1,3
2427,334,23,181,30,1112,201,204,183,763,0,0,0,1,6
2874,347,16,93,221,2703,229,201,125,3679,1,0,1,0,2
2430,67,8,155,-1,2475,253,240,101,2977,1,0,0,1,2
2348,195,18,141,-13,1657,248,253,132,870,0,0,0,1,4
2346,328,5,27,69,559,193,212,166,963,1,0,0,1,6
2254,8,14,78,22,1449,228,231,132,1238,0,0,0,1,4
2313,328,37,429,57,856,181,240,231,640,0,0,0,1,3
2249,99,7,628,167,302,240,191,156,633,0,0,0,1,3
2249,57,18,291,-10,923,208,231,147,1480,0,0,0,1,3
2880,51,14,154,-10,702,252,160,89,1954,1,0,0,0,5
2296,20,18,139,132,2198,253,177,84,1858,1,0,0,1,6
2270,44,30,329,21,2260,193,206,139,2538,1,0,0,1,1
2235,10,30,412,15,337,224,192,88,979,1,0,0,1,4
2086,111,17,89,45,1267,253,186,26,661,1,0,0,1,4
2237,44,14,5,88,702,253,222,71,1335,0,0,0,1,4
2717,43,9,548,13,726,194,157,178,2850,0,0,1,0,2
2584,66,27,25,1,1639,249,188,0,2259,0,0,0,1,5
3400,156,25,297,42,4846,232,235,151,958,1,0,1,0,7
2776,300,18,35,27,549,220,243,92,4101,1,0,0,0,2
2776,30,8,8,-5,3536,220,203,119,3172,1,0,1,0,2
2727,51,19,7,44,805,216,200,98,1264,1,1,0,1,6
2301,160,24,132,75,1274,230,180,129,1025,0,0,0,1,3
2394,152,22,43,49,37,250,152,119,765,0,0,0,1,3
2218,329,20,53,223,768,219,221,200,1129,0,1,0,1,6
2184,353,14,647,-1,1090,232,206,197,1847,0,0,0,0,5
2397,23,23,131,32,255,250,189,148,2585,0,0,0,1,3
2927,106,10,80,102,1123,220,222,135,1246,1,0,1,0,2
3169,94,15,165,98,1524,248,175,117,1359,0,0,0,0,1
3212,69,6,67,-6,2456,234,215,71,2665,1,1,1,0,5
2611,46,12,666,2,1099,209,222,80,1560,1,0,1,0,2
2836,4,9,357,85,573,170,211,86,952,0,0,1,0,1
2780,71,30,190,11,1402,248,206,24,1494,1,0,0,1,6
2812,100,17,274,0,1395,251,207,61,3501,0,0,1,0,2
2454,346,24,434,20,3586,201,209,167,3051,0,0,1,0,3
2143,62,9,8,33,1768,250,210,55,442,1,0,0,1,4
2714,24,14,5,73,213,219,229,133,403,0,0,0,1,3
2419,36,5,9,-12,1824,210,232,141,819,0,0,0,1,4
3025,192,6,8,2,343,219,244,189,2238,0,0,1,0,1
2804,122,18,881,3,1508,223,216,147,1613,1,0,1,0,1
2236,70,23,294,38,698,201,192,92,692,0,0,0,1,3
2036,56,39,33,79,528,229,186,19,729,0,0,0,1,6
2933,25,6,15,-2,325,217,231,77,966,0,0,0,0,1
2192,224,22,270,294,405,241,236,180,1166,0,0,0,1,3
2689,114,15,28,-5,743,250,224,158,588,0,0,0,0,3
3272,27,14,471,84,2195,240,223,171,2731,0,0,1,0,6
2417,106,16,166,6,685,251,207,103,2214,1,1,0,1,4
2813,31,30,61,-2,1642,247,214,125,1221,0,0,0,1,4
3434,314,6,664,2,4499,229,223,140,2969,1,0,1,0,1
3122,277,6,316,152,604,245,244,224,986,0,0,1,0,5
2522,54,30,119,30,523,239,152,182,708,0,0,0,1,4
2237,28,4,46,-8,446,248,227,111,1378,0,0,0,0,2
3419,24,6,78,82,1696,212,235,195,2450,0,0,1,0,7
2614,278,16,168,52,1141,239,214,79,2618,1,0,1,0,2
2027,265,9,9,54,356,228,214,174,1483,0,0,0,0,2
3263,73,24,496,-37,1625,249,249,169,1482,1,0,1,0,5
2726,331,31,1128,22,390,173,229,178,1868,0,0,1,0,7
2084,336,27,263,21,1655,197,213,217,1883,0,1,0,1,6
2276,83,24,5,30,945,199,242,105,3058,0,0,0,1,3
2875,58,6,39,17,1567,218,208,148,473,0,0,0,1,3
3276,65,8,385,35,1560,235,218,147,2323,0,0,1,0,2
2726,70,9,240,33,743,244,201,65,2325,1,0,0,1,2
2904,85,10,262,-34,715,247,199,136,2711,0,0,0,0,2
2257,64,12,268,24,364,232,210,225,1213,0,0,0,1,4
2792,181,12,144,5,167,251,232,105,2618,1,0,1,0,5
2515,110,16,100,14,278,249,157,93,631,0,0,0,1,4
3469,162,9,282,10,2037,224,227,133,4202,0,0,1,0,7
2616,41,3,3,-5,413,254,209,77,2176,0,1,0,1,6
2984,152,9,347,-36,263,208,233,151,2665,0,0,1,0,5
2397,158,10,111,-5,1208,240,233,75,729,0,0,0,1,5
2556,191,11,26,110,1014,253,200,24,867,0,0,0,0,6
2299,65,10,142,341,1435,243,195,130,2025,1,0,0,1,4
2038,177,16,283,-7,4524,253,238,105,799,1,1,0,1,4
2918,39,13,463,3,3444,233,202,141,4306,1,0,1,0,2
2058,107,9,411,29,1420,223,225,83,4387,0,0,0,1,3
3044,142,11,446,-3,1546,237,252,126,1487,0,0,1,0,1
3016,1,20,104,58,69,247,201,112,1481,0,1,0,1,3
2708,201,13,93,-3,1314,244,213,21,1206,0,0,0,1,4
3228,12,3,595,-58,963,231,244,155,1754,0,0,1,0,1
3567,64,13,60,73,1110,242,210,101,523,1,0,1,0,5
2113,77,17,343,20,600,252,211,73,1072,0,0,0,1,4
2102,234,9,539,-14,774,239,212,178,898,0,0,0,1,4
2293,333,15,59,3,1442,211,147,188,618,0,1,0,1,4
3319,43,13,159,50,4001,228,229,156,3278,0,0,1,0,7
2885,308,35,253,6,1236,250,214,206,915,0,0,0,1,4
2130,196,38,377,71,1211,245,235,115,657,0,0,0,1,4
2136,257,37,97,149,1538,184,247,118,1377,0,0,0,1,3
2430,151,42,346,-2,217,237,196,141,385,0,0,0,1,4
2305,69,32,282,207,842,214,207,143,796,0,0,0,1,3
2242,357,27,555,37,978,194,208,184,829,0,1,0,0,4
3261,266,20,45,31,235,242,211,136,1707,0,0,0,0,6
2177,286,39,33,-60,498,253,148,109,332,1,0,0,1,3
2377,58,36,73,3,778,238,215,95,2181,0,0,0,0,6
2686,75,16,501,-3,1138,222,184,199,1952,1,0,1,0,2
3417,211,16,55,98,2083,186,245,191,2794,1,0,1,0,2
2822,114,16,66,19,2048,240,194,72,2506,0,0,0,0,1
2671,67,17,51,-3,139,248,215,114,1184,1,0,0,0,1
2834,44,14,125,32,203,253,211,111,1154,1,0,1,0,2
2727,78,34,101,5,1298,229,186,132,3573,0,0,1,0,2
2202,266,12,186,22,1009,248,244,152,1342,0,0,0,1,3
2984,152,12,105,10,2077,231,221,183,2385,1,0,1,0,7
2914,111,18,22,-37,2463,254,214,35,2036,1,0,0,1,7
2192,350,29,63,74,699,199,231,191,548,0,1,0,1,4
2484,4,14,255,-14,1286,158,132,105,811,0,0,0,1,6
2355,41,11,79,-10,547,248,221,48,2703,1,0,0,0,2
2531,38,23,75,6,1644,224,210,105,1194,0,0,0,1,5
2020,324,10,40,-1,711,229,204,135,1656,0,0,0,1,6
3102,151,27,310,-3,816,248,188,97,829,1,1,0,0,5
2840,115,25,145,6,1630,252,196,113,2360,1,0,1,0,2
3157,359,11,82,2,3976,216,219,117,852,0,0,1,0,7
2007,42,17,188,36,2176,219,221,141,707,0,0,0,0,5
2933,240,11,289,28,1961,232,230,188,960,1,0,1,0,2
3342,53,18,62,5,819,202,224,180,1613,0,1,1,0,1
2154,344,14,136,118,2867,191,238,189,851,1,0,0,1,6
2599,44,36,47,54,292,242,231,91,1709,0,0,0,1,4
2128,90,13,28,-8,1541,227,172,2,831,0,0,0,1,4
3444,251,19,249,4,1868,142,214,127,2156,0,0,1,0,2
2156,105,24,161,23,285,251,207,80,789,1,0,0,1,3
2205,122,19,21,0,507,246,216,47,2368,0,0,0,1,4
2584,132,19,227,24,3809,192,237,149,920,0,0,0,0,3
3078,129,9,468,96,1342,244,212,137,4535,1,0,0,0,2
3128,174,18,44,53,861,223,221,174,2142,0,0,1,0,7
3056,137,8,103,6,2299,254,192,119,1773,1,0,0,0,5
2514,36,19,51,-13,1125,194,237,213,561,0,0,0,1,2
2417,67,7,5,-5,585,252,161,58,1836,0,0,0,1,6
2369,231,10,137,33,1709,215,227,158,1046,0,0,0,1,4
2718,149,11,274,28,763,234,242,185,3728,0,0,1,0,2
2408,2,25,17,-8,1086,238,192,96,1295,0,0,0,0,5
2031,293,23,3,49,1134,229,241,199,1496,0,0,0,1,3
2506,79,10,112,-9,1005,253,220,108,1416,0,0,0,1,4
3232,23,31,366,35,670,172,244,145,2607,0,0,1,0,2
2516,140,30,155,-8,451,253,203,123,2168,0,0,0,1,4
2955,91,10,62,53,2255,187,218,192,2161,0,0,0,0,3
3025,121,13,30,31,412,248,229,111,5594,0,0,1,0,1
2352,341,21,31,-12,918,243,200,110,1250,1,0,0,1,6
3360,109,9,37,115,2180,217,212,171,1948,0,0,1,0,7
2165,156,22,31,25,165,220,184,149,876,0,0,0,1,4
2414,5,14,327,43,200,243,189,72,1555,1,0,0,0,2
2637,221,36,122,33,137,231,216,111,880,1,0,1,0,5
2521,10,10,65,-4,877,242,203,68,3316,0,0,0,1,5
2191,301,20,15,23,1428,229,219,240,972,1,0,0,1,4
2482,339,18,300,107,1608,236,194,160,4387,1,0,0,0,2
2298,53,24,14,2,1357,246,168,162,903,1,0,0,1,4
2239,48,7,282,17,896,168,205,65,1296,0,0,0,1,4
1987,37,8,115,1,255,237,217,57,754,0,0,0,1,6
2201,221,24,1064,0,385,246,221,109,671,0,0,0,1,3
2882,152,25,141,18,1255,228,162,77,4013,1,0,0,1,2
2702,26,16,41,21,1246,207,187,121,3600,0,0,0,1,4
2099,56,16,161,13,410,225,218,152,2476,0,0,0,1,6
2946,19,9,52,9,1787,252,212,145,2295,0,0,1,0,5
2459,36,29,109,-4,1316,242,205,163,1188,1,0,0,1,4
2190,55,13,229,2,611,196,207,174,1502,0,0,0,1,4
2373,16,18,160,-3,1692,170,224,161,981,0,0,0,1,3
2396,269,36,353,29,1533,220,199,150,1369,0,0,0,0,3
2118,341,10,351,140,742,210,215,198,1035,0,0,0,1,6
2668,85,7,26,-14,1128,246,228,62,519,0,0,1,0,1
2098,323,10,68,101,423,151,187,169,2767,0,0,0,1,6
2471,176,16,8,-12,4503,167,251,155,1332,0,0,1,0,1
2194,307,38,361,-5,820,187,239,192,752,0,0,0,1,3
2824,79,15,799,56,553,246,218,201,423,0,0,1,0,2
2776,126,12,134,13,1713,245,221,29,3970,1,0,0,1,4
2921,285,12,527,66,5287,212,225,172,1574,1,0,1,0,5
2113,57,21,96,-1,1062,176,249,154,1253,0,1,0,1,3
2462,108,45,16,99,658,243,179,130,2296,0,0,0,0,3
2894,71,10,181,25,1083,239,246,136,1071,1,0,1,0,3
2736,66,15,9,19,641,243,207,160,1953,1,1,0,0,7
2531,316,16,75,100,2004,197,230,196,1892,0,0,1,0,7
2670,330,9,906,183,2714,199,227,164,2598,1,0,1,0,2
2350,159,18,73,-12,1554,246,241,145,974,0,0,0,1,5
2232,77,30,417,40,574,208,204,172,1003,1,1,0,1,6
2546,87,12,268,18,2024,222,221,162,1116,0,0,1,0,6
2571,25,34,19,-7,1691,233,207,157,4018,0,0,1,0,5
2227,29,30,93,40,592,244,214,133,1048,1,0,0,1,4
2416,104,13,26,17,1214,247,217,145,1653,1,0,0,0,2
2059,75,22,332,1,820,198,143,116,2142,1,0,0,1,4
3239,196,5,8,41,4464,186,221,93,4097,0,0,1,0,1
1914,151,21,197,-12,652,200,245,176,578,0,0,0,1,3
2316,135,24,222,162,824,244,221,148,1619,0,0,0,1,6
2606,24,15,292,49,2341,251,212,165,3197,1,0,0,0,7
3445,85,12,79,87,2337,226,219,78,697,0,0,1,0,7
2242,157,23,662,-12,1205,252,219,129,793,0,0,1,0,1
2022,231,27,85,10,1201,234,221,131,3389,0,0,0,1,4
3252,160,12,186,3,1150,232,204,210,2177,1,0,1,0,2
2861,34,13,686,67,4033,218,208,127,1418,1,0,1,0,2
2230,80,22,346,2,1576,179,160,35,1789,1,0,0,1,5
3387,105,8,730,21,1709,231,212,95,2161,1,0,1,0,2
2184,66,31,360,118,1417,238,196,103,552,1,0,0,1,6
2039,185,15,974,55,259,214,174,129,2441,0,0,0,1,3
2309,53,27,205,36,487,250,147,29,5835,1,0,0,1,4
3303,149,5,202,26,4060,206,229,143,2098,0,0,1,0,2
3465,213,11,401,11,3575,178,212,166,919,1,0,1,0,7
2888,107,37,214,22,672,253,242,94,2395,1,0,1,0,5
2736,209,13,415,16,968,223,233,150,1522,0,0,1,0,7
2077,282,32,11,-7,555,241,179,80,1032,0,0,0,1,6
2239,55,19,298,10,1238,253,182,100,806,1,0,0,1,6
2854,63,26,2,4,1764,226,213,95,1888,1,0,0,0,5
2755,55,32,5,10,2449,188,204,125,1236,0,1,1,0,7
2697,314,22,53,150,654,211,229,218,1144,0,0,0,1,6
2350,71,12,75,-1,1477,253,214,64,906,1,0,0,1,2
2388,131,11,161,1,1190,251,223,77,1727,1,0,0,1,4
3152,44,11,184,68,1669,197,218,153,2666,0,0,1,0,2
2768,40,12,77,66,1242,229,232,128,3656,1,0,1,0,7
3217,30,9,131,-5,1602,239,234,156,3628,1,0,1,0,7
2188,33,14,16,-7,1057,249,157,51,379,0,0,0,1,3
2272,295,44,165,6,3524,233,211,115,805,1,0,0,1,3
3181,43,13,479,18,2978,236,229,179,439,0,1,1,0,7
3095,37,5,3,10,1638,249,236,22,1830,1,0,0,1,4
3025,22,18,52,62,1032,242,197,92,2705,1,0,1,0,5
2267,133,15,81,40,498,244,210,36,487,0,0,0,1,4
2194,173,25,218,27,1093,193,175,193,896,0,1,0,1,3
2174,224,19,263,279,131,177,186,159,876,0,0,0,1,3
2188,172,33,386,0,254,244,169,157,552,0,0,0,1,3
3647,261,11,388,46,332,241,226,183,1655,0,0,0,0,3
2535,101,34,285,1,1202,253,188,105,690,0,0,0,1,5
2212,49,7,404,67,1065,241,224,88,413,1,0,0,1,6
3200,291,7,478,275,3908,222,237,203,752,1,0,1,0,7
2423,114,2,164,-12,1149,219,232,154,2981,0,0,0,1,4
2830,39,14,102,28,2182,252,199,78,1142,0,1,0,1,4
2612,109,18,608,51,2082,233,220,82,1092,1,0,1,0,2
2535,24,17,192,7,2219,243,207,37,1781,0,0,0,0,5
2695,24,6,6,24,380,252,222,96,1952,1,0,0,0,2
2980,90,12,189,-3,4090,192,222,155,665,0,0,1,0,2
2463,335,25,378,54,442,241,185,79,1670,0,0,0,1,3
1992,79,16,88,-2,523,242,154,108,727,0,0,0,1,4
2990,47,27,184,-2,520,249,220,94,862,1,0,0,0,2
2149,197,18,72,18,650,230,141,112,396,0,0,0,1,3
2451,89,45,174,85,789,234,162,180,2426,0,0,0,1,5
3460,63,29,182,4,996,253,215,109,2092,1,0,0,0,5
2146,36,21,71,63,1377,222,242,133,162,0,0,0,1,6
1999,316,13,45,-14,660,248,249,215,698,0,1,0,1,3
2011,348,15,77,30,584,169,210,162,521,0,0,0,1,3
2701,187,11,59,83,1571,192,241,172,861,0,0,0,1,3
2231,95,8,280,28,869,242,253,136,1054,0,0,0,1,3
2216,73,21,162,-8,769,238,226,79,1612,0,1,0,1,4
2020,200,23,226,161,365,240,230,132,2760,0,0,0,1,3
2618,119,14,314,27,1292,225,244,72,1370,1,0,1,0,1
2205,10,28,219,-8,1163,174,237,172,219,0,0,0,1,3
2175,180,38,409,94,1615,204,212,96,621,1,0,0,1,3
2896,179,20,490,76,1429,226,213,144,1958,0,0,0,1,4
3422,52,10,443,9,1449,233,226,130,1599,1,0,1,0,2
2956,190,5,314,24,1072,186,230,214,2883,0,0,1,0,7
2697,115,18,15,-4,1349,240,214,127,1013,0,1,1,0,1
2602,182,17,24,53,1159,218,206,129,1318,0,0,1,0,5
3272,43,8,87,1,740,243,182,60,834,1,1,1,0,4
3416,3,3,74,15,2205,234,240,138,639,0,0,1,0,2
2261,148,31,31,15,981,222,155,167,712,0,0,0,1,4
2088,34,19,31,-26,691,251,238,36,703,0,0,0,1,4
2143,303,9,242,59,70,235,218,144,1346,0,0,0,1,6
3328,47,11,14,140,952,249,225,91,2095,0,0,1,0,2
3179,96,12,142,-5,471,227,221,88,2777,0,0,1,0,2
3339,341,15,1141,44,1565,221,210,193,5885,0,0,1,0,2
2938,73,18,164,2,649,252,156,101,2722,1,0,0,0,5
1929,159,28,134,25,1782,204,246,91,842,0,0,0,1,3
2106,69,8,305,16,484,222,225,188,799,0,0,0,1,4
2114,143,5,395,-8,1304,210,233,173,1831,0,0,1,0,5
2125,228,26,219,-2,753,212,177,228,1025,0,0,0,1,6
2887,291,12,106,36,992,245,227,139,6085,0,0,1,0,2
2343,199,24,53,49,779,250,215,74,1229,1,0,0,1,2
2385,307,29,58,50,1036,209,213,181,1888,0,0,0,1,6
2456,50,17,42,-11,1902,245,221,156,4890,0,0,1,0,2
2117,111,5,39,8,1066,250,226,184,4150,1,0,0,1,6
2808,126,10,34,7,1542,247,227,29,1163,1,0,0,0,4
2146,109,15,41,35,1541,249,222,120,3471,1,0,0,1,5
2992,20,17,786,27,690,233,242,145,816,0,0,1,0,7
2477,61,20,607,91,182,235,203,173,2211,0,0,0,1,3
2188,74,16,60,-1,1361,245,209,94,948,0,0,0,1,6
2902,37,5,193,76,1238,247,236,68,1786,1,0,1,0,2
2783,40,22,191,-13,2474,235,226,161,2237,0,0,1,0,2
2134,64,18,15,-9,1322,228,231,112,897,0,0,0,1,3
2786,140,14,401,1,3373,239,243,136,5051,0,0,1,0,5
2518,147,4,155,-9,956,246,234,81,1287,0,0,0,1,4
2980,345,12,199,-5,2471,183,203,140,1748,0,0,1,0,1
2628,194,17,182,-10,2134,241,214,116,1361,0,0,1,0,5
2800,164,16,245,226,906,207,214,212,2105,0,0,1,0,6
2814,57,13,305,-11,1662,209,223,152,2181,0,0,1,0,2
2480,19,15,164,87,1897,166,251,172,1921,0,0,0,0,6
2981,1,30,37,39,738,229,249,91,1750,0,0,0,1,5
2863,190,14,373,42,1090,237,246,142,2290,0,0,1,0,7
2939,215,38,201,96,573,240,209,109,3092,1,0,0,0,5
2192,331,7,293,115,1050,200,235,225,1484,0,0,0,1,6
2130,39,18,133,-2,758,239,239,128,3054,0,0,0,0,1
2422,51,14,484,18,1113,237,183,90,3312,1,0,1,0,5
2581,112,13,37,167,1570,246,214,114,3153,1,0,0,1,2
2522,117,10,188,11,654,228,243,81,1458,1,0,0,1,5
2586,82,29,200,16,1675,226,180,121,1437,1,0,0,0,2
2159,290,32,97,95,419,180,206,145,1177,0,0,0,1,6
2285,70,33,84,6,1426,221,243,47,3880,1,0,0,1,3
2411,280,4,122,38,915,190,235,236,2474,0,0,1,0,6
2139,273,29,243,45,340,225,196,141,2037,0,0,0,1,6
2411,54,26,171,-5,411,252,201,128,971,0,0,0,1,7
3375,31,12,468,92,4188,215,213,191,3393,0,0,1,0,2
2665,29,15,1068,19,803,197,245,215,3383,1,0,1,0,2
2213,306,19,407,0,1096,226,204,169,1587,0,0,0,1,3
2698,88,36,114,-6,231,251,200,147,1779,0,0,0,1,2
2679,47,22,517,94,353,230,208,24,3054,0,0,0,0,5
2109,90,39,359,-24,1044,230,210,72,445,0,1,0,1,3
2019,329,7,222,95,682,194,167,207,1424,0,0,0,1,3
3315,27,16,84,-6,2659,253,155,25,1925,1,1,0,0,5
2830,68,7,11,1,807,252,239,69,1038,0,0,0,0,3
2747,160,26,427,-21,1456,210,190,203,1177,0,0,0,1,6
2442,103,9,45,-4,896,238,235,107,1823,0,0,0,0,6
3188,44,10,330,149,2632,215,174,146,2127,0,0,1,0,1
2024,178,37,18,11,308,201,253,165,1610,0,0,0,1,4
2545,112,5,180,-5,486,252,214,44,919,0,0,0,1,4
2794,321,13,50,8,3776,235,203,131,2040,0,0,1,0,1
2253,17,32,118,-11,271,242,193,104,1874,0,0,0,1,5
2445,53,18,202,26,798,188,247,228,1909,0,0,0,1,3
2321,115,11,185,45,1124,240,214,186,1234,0,0,1,0,2
2146,50,23,21,11,672,251,244,119,977,0,0,0,1,5
2512,279,8,256,5,1387,185,245,186,2108,0,1,0,1,3
2172,64,23,67,1,215,243,227,148,1700,0,0,0,1,6
2158,160,19,109,171,1058,250,212,108,1814,0,0,0,1,3
2086,77,28,70,7,416,196,184,101,825,0,0,0,1,4
2258,43,27,13,-1,1226,230,206,171,871,1,0,0,1,4
3562,26,4,171,-14,2784,241,212,63,1507,0,0,0,0,2
2596,47,31,185,66,732,250,179,62,1470,0,0,0,1,3
3113,23,30,234,15,3007,234,217,88,2261,0,0,0,0,2
2914,63,34,130,23,199,248,160,122,2880,0,0,0,1,6
2679,164,24,124,4,2203,226,243,144,513,0,0,1,0,7
2023,34,23,260,-26,401,206,200,182,828,0,0,0,1,4
2683,46,10,20,-4,1504,223,217,143,2145,1,0,1,0,2
3467,40,15,423,42,1011,121,209,187,2462,0,0,1,0,1
2391,299,13,73,19,2152,223,230,117,1729,0,0,0,1,7
2468,253,27,235,147,1052,247,156,145,1003,0,0,0,0,3
3187,125,9,306,-7,1955,230,252,88,6054,1,0,1,0,1
2079,58,14,21,28,1441,171,206,102,223,0,0,0,1,3
2288,64,22,120,32,809,250,195,37,1453,1,0,0,1,4
2887,55,14,23,-10,693,182,249,196,3585,0,1,1,0,1
2987,259,15,1141,39,2462,220,225,149,408,1,0,1,0,7
2655,96,17,116,4,1005,245,224,47,2534,0,0,0,1,7
3185,45,12,229,38,1904,235,217,141,4270,1,0,1,0,1
2260,300,18,141,-11,570,237,221,141,2472,0,0,0,1,6
2153,166,26,528,55,1363,209,244,202,2020,0,0,1,0,1
2170,152,37,23,85,591,212,215,92,874,0,0,0,1,4
2652,85,30,63,60,2372,218,149,108,1107,1,0,1,0,1
2129,63,14,217,-9,598,241,194,66,816,1,0,0,1,4
2308,329,17,51,-4,558,223,170,105,441,0,1,0,1,6
2963,263,21,504,18,4203,200,250,158,1617,0,0,1,0,7
2121,47,6,11,4,1661,244,227,121,2451,1,0,0,1,4
2199,84,24,18,15,732,220,232,107,952,1,0,0,1,4
2900,36,7,121,74,1131,231,215,112,3596,1,0,0,0,2
3005,13,5,81,38,356,235,220,125,1216,0,0,0,0,5
2514,336,11,941,33,2697,253,232,185,1602,0,0,1,0,1
2874,170,11,167,50,1532,167,216,157,828,0,0,1,0,6
2607,303,10,139,6,341,190,223,164,2416,1,0,0,0,2
2280,59,16,356,0,1268,249,167,123,1040,1,0,0,1,4
2890,56,12,109,6,3151,248,231,146,2420,0,1,1,0,5
2197,159,22,44,132,904,233,244,216,2376,0,0,0,1,3
2676,329,21,340,107,3073,223,220,183,3109,1,0,1,0,6
2319,69,18,57,40,383,236,254,112,1093,0,0,0,1,3
2230,126,16,218,-9,1166,229,196,161,991,0,0,0,0,5
3286,195,19,398,63,4009,213,248,162,4379,0,0,1,0,7
3211,61,4,48,3,1346,228,222,220,3169,0,0,1,0,2
2043,67,15,37,-8,955,251,206,82,1034,0,0,0,0,6
2262,58,14,266,11,451,213,144,193,644,0,1,0,1,3
3147,38,16,608,19,1208,239,219,116,3000,0,0,1,0,2
3016,44,26,385,38,1449,249,185,64,3100,1,0,0,0,2
2869,51,10,217,-3,581,231,192,86,3564,1,1,0,1,1
3090,37,16,47,127,457,226,210,74,1438,0,0,1,0,2
2540,91,31,83,5,553,233,150,61,1577,1,1,0,1,4
3263,47,14,44,2,1807,224,211,139,2391,1,0,1,0,2
2118,94,14,428,-7,1483,237,238,174,486,0,0,0,1,4
2597,199,18,14,20,712,246,172,170,673,0,0,0,1,3
2212,54,31,5,0,2158,242,207,50,3197,1,0,0,1,4
2145,314,20,340,31,394,207,221,144,605,1,0,0,1,4
2600,169,10,140,11,827,246,206,59,646,0,0,0,0,5
2605,171,28,312,58,3626,240,246,138,2157,0,0,1,0,1
2846,92,5,283,179,1512,218,223,152,739,0,0,0,1,3
3203,219,7,138,24,4653,216,245,205,1591,0,0,1,0,2
2525,238,23,55,52,1182,208,248,179,669,0,0,1,0,7
2248,134,24,177,80,674,227,223,127,2939,0,0,0,1,4
3477,19,13,192,55,4094,239,211,134,842,1,0,1,0,1
2770,49,19,674,-5,2235,147,238,215,776,0,0,0,1,6
2242,189,14,37,-10,526,239,233,83,575,0,1,0,1,7
3180,21,9,212,66,918,231,199,132,1489,1,0,1,0,2
2080,48,43,198,68,353,219,234,103,1336,0,0,0,1,6
2767,44,16,101,6,902,244,207,138,973,1,0,0,0,5
2455,82,32,256,0,1722,237,226,133,1628,0,1,0,1,4
2420,103,34,45,28,1176,246,200,163,1968,1,0,0,1,6
2047,341,11,210,-66,1531,209,222,193,1352,0,0,0,0,3
