holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,year,month,day,hour,dayofweek
,286.95,2.79,0.0,75,Mist,mist,441,2014,5,9,1,4
,292.79,0.0,0.0,1,Fog,fog,437,2018,7,14,3,5
,265.14,0.0,0.0,64,Clouds,broken clouds,5609,2013,12,20,17,4
,290.0,0.0,0.0,1,Clear,sky is clear,404,2014,7,10,2,3
,252.77,0.0,0.0,1,Clear,sky is clear,294,2014,2,27,1,3
,272.3,0.0,0.0,40,Clouds,scattered clouds,3619,2017,11,30,21,3
,254.95,0.0,0.0,5,Clear,sky is clear,3178,2017,1,7,9,5
,296.36,0.0,0.0,5,Clear,sky is clear,6888,2018,5,15,16,1
,287.14,0.0,0.0,0,Clear,Sky is Clear,1885,2016,8,6,6,5
,269.42,0.0,0.0,64,Mist,mist,514,2013,12,28,2,5
,277.1,0.0,0.0,99,Rain,light rain,5527,2012,11,16,6,4
,291.15,0.0,0.0,20,Mist,mist,654,2016,5,26,0,3
,295.01,0.0,0.0,75,Clouds,broken clouds,3997,2016,5,29,12,6
,271.15,0.0,0.0,1,Clear,sky is clear,721,2017,12,1,0,4
,277.65,0.0,0.0,40,Clouds,scattered clouds,2100,2017,3,5,8,6
,269.08,0.0,0.0,40,Clouds,scattered clouds,5354,2016,12,30,13,4
,288.7,0.0,0.0,92,Rain,light rain,854,2016,9,22,23,3
,296.01,0.0,0.0,1,Clear,sky is clear,2056,2015,7,15,22,2
,278.13,0.91,0.0,40,Rain,light rain,6347,2014,4,17,17,3
,295.78,0.0,0.0,40,Clouds,scattered clouds,2883,2014,7,18,21,4
,262.31,0.0,0.0,90,Mist,mist,789,2012,12,11,4,1
,294.94,0.0,0.0,90,Clouds,overcast clouds,823,2014,7,20,2,6
,273.93,0.0,0.0,90,Clouds,overcast clouds,4714,2018,4,10,11,1
,291.14,0.0,0.0,75,Clouds,broken clouds,4918,2012,10,2,13,1
,280.0,0.0,0.0,90,Mist,mist,971,2016,4,25,23,0
,299.45,0.0,0.0,1,Clear,sky is clear,4147,2015,6,27,13,5
,295.14,0.0,0.0,40,Clouds,scattered clouds,6234,2015,7,8,16,2
,291.3,0.0,0.0,40,Clouds,scattered clouds,4426,2016,6,27,9,0
,291.38,0.0,0.0,1,Clear,sky is clear,2920,2016,8,26,20,4
,290.23,0.43,0.0,90,Mist,mist,4954,2018,8,28,12,1
,294.36,0.0,0.0,20,Rain,moderate rain,3514,2018,6,16,10,5
,280.86,0.0,0.0,1,Clear,sky is clear,4922,2017,5,3,8,2
,282.15,0.0,0.0,75,Clouds,broken clouds,3454,2017,4,28,20,4
,272.75,0.0,0.0,90,Snow,snow,4513,2013,4,12,10,4
,270.74,0.0,0.0,90,Snow,snow,285,2015,12,26,3,5
,249.3,0.0,0.0,5,Clear,sky is clear,4565,2018,1,12,9,4
,260.01,0.0,0.0,1,Clear,sky is clear,1545,2016,2,3,22,2
,267.68,0.0,0.0,90,Snow,light snow,6042,2017,12,14,17,3
,279.47,0.0,0.0,40,Clouds,scattered clouds,5714,2014,3,20,15,3
,261.79,0.0,0.0,90,Haze,haze,4724,2016,2,8,9,0
,294.58,0.0,0.0,75,Clouds,broken clouds,4729,2017,8,27,12,6
,270.969,0.0,0.0,0,Clear,Sky is Clear,5186,2016,10,13,8,3
,268.71,0.0,0.0,0,Clear,sky is clear,542,2013,1,17,0,3
,279.59,0.0,0.0,75,Clouds,broken clouds,5446,2012,11,2,13,4
,272.08,0.0,0.0,90,Haze,haze,4412,2016,2,1,18,0
,298.39,1.02,0.0,90,Haze,haze,4494,2018,8,26,13,6
,297.83,0.0,0.0,75,Clouds,broken clouds,4996,2017,6,14,12,2
,261.88,0.0,0.0,90,Snow,light snow,4480,2016,12,10,18,5
,294.34,0.0,0.0,75,Clouds,broken clouds,2451,2014,7,4,9,4
,282.63,0.25,0.0,1,Fog,fog,414,2014,6,8,3,6
,286.65,0.25,0.0,90,Rain,light rain,234,2018,9,25,2,1
,291.76,16.38,0.0,76,Rain,very heavy rain,635,2013,6,22,5,5
,292.01,0.0,0.0,90,Mist,mist,6414,2018,6,27,7,2
,253.86,0.0,0.0,40,Clouds,scattered clouds,325,2018,1,4,3,3
,286.79,0.0,0.0,90,Fog,fog,6038,2017,8,11,7,4
,293.46,0.0,0.0,1,Clear,sky is clear,1191,2015,7,22,23,2
,284.276,0.0,0.0,92,Clouds,overcast clouds,2857,2016,10,25,19,1
,296.35,0.0,0.0,1,Clear,sky is clear,1282,2018,8,12,23,6
,249.61,0.0,0.0,5,Clear,sky is clear,2483,2017,12,31,21,6
,292.56,0.0,0.0,0,Clear,Sky is Clear,1199,2013,7,23,23,1
,273.95,0.0,0.0,90,Fog,fog,903,2016,11,22,23,1
,292.21,0.0,0.0,1,Clear,sky is clear,4047,2013,5,25,15,5
,267.51,0.0,0.0,90,Clouds,overcast clouds,4549,2015,11,21,22,5
,260.53,0.0,0.0,1,Clear,sky is clear,5206,2013,2,21,13,3
,280.562,0.0,0.0,0,Clear,Sky is Clear,2646,2016,10,27,20,3
,256.35,0.0,0.0,40,Snow,light snow,494,2018,1,16,0,1
,289.36,0.0,0.0,92,Clouds,overcast clouds,2929,2013,7,27,20,5
,271.15,0.0,0.0,40,Clouds,scattered clouds,4556,2017,11,18,18,5
,290.08,0.0,0.0,1,Clear,sky is clear,3893,2017,8,5,23,5
,287.44,0.0,0.0,90,Rain,light rain,4888,2013,5,14,12,1
,265.33,0.0,0.0,1,Clear,sky is clear,4906,2013,3,20,13,2
,282.248,0.0,0.0,76,Clouds,broken clouds,4746,2014,5,15,18,3
,271.72,0.0,0.0,1,Mist,mist,480,2018,1,26,3,4
,273.02,0.0,0.0,90,Haze,haze,400,2017,1,3,2,1
,274.39,0.0,0.0,90,Mist,mist,4820,2013,4,1,9,0
,302.5,0.0,0.0,75,Clouds,broken clouds,2050,2016,7,22,20,4
,284.58,0.0,0.0,90,Mist,mist,5457,2013,5,10,13,4
,276.69,0.0,0.0,1,Clear,sky is clear,3656,2018,3,29,19,3
,289.15,0.0,0.0,90,Mist,mist,4804,2017,9,25,12,0
,289.74,0.0,0.0,1,Clear,sky is clear,424,2015,8,12,1,2
,261.54,0.0,0.0,1,Clear,sky is clear,3121,2013,1,1,15,1
,281.79,0.0,0.0,1,Clear,sky is clear,2608,2015,9,30,21,2
,279.41,0.25,0.0,40,Rain,light rain,344,2014,5,15,1,3
,291.88,0.0,0.0,90,Mist,mist,5599,2017,10,2,17,0
,287.82,0.0,0.0,1,Clear,sky is clear,488,2017,7,3,2,0
,275.62,0.0,0.0,90,Mist,mist,5184,2017,1,20,14,4
,272.89,0.0,0.0,75,Clouds,broken clouds,5962,2017,12,19,17,1
,280.15,0.0,0.0,90,Drizzle,light intensity drizzle,1083,2017,4,19,23,2
,265.81,0.0,0.0,90,Clouds,overcast clouds,1424,2013,1,2,22,2
,293.55,0.0,0.0,90,Clouds,overcast clouds,4632,2017,9,20,10,2
,275.72,0.0,0.0,40,Clouds,scattered clouds,5072,2014,2,19,13,2
,280.52,0.0,0.0,90,Clouds,overcast clouds,3611,2013,4,26,22,4
,269.37,0.0,0.0,1,Clear,sky is clear,4272,2013,3,17,16,6
,269.71,0.0,0.0,0,Clear,sky is clear,2483,2012,12,9,10,6
,288.48,0.0,0.0,90,Rain,moderate rain,3223,2016,4,20,20,2
,284.0,0.0,0.0,1,Clear,sky is clear,297,2017,9,21,2,3
,269.81,0.0,0.0,75,Snow,light snow,3977,2018,2,17,10,5
,295.01,1.6,0.0,90,Rain,heavy intensity rain,5494,2018,9,4,17,1
,276.82,0.0,0.0,90,Mist,mist,4711,2017,5,1,12,0
,283.08,0.0,0.0,90,Mist,mist,351,2016,3,14,2,0
,276.84,0.0,0.0,90,Rain,light rain,6723,2017,4,26,16,2
,273.74,0.0,0.13,90,Snow,light snow,6438,2016,1,7,16,3
,274.65,0.0,0.0,90,Clouds,overcast clouds,5248,2018,2,15,14,3
,255.38,0.0,0.0,20,Haze,haze,3892,2013,1,2,10,2
,261.22,0.0,0.0,90,Clouds,overcast clouds,3197,2018,2,8,22,3
,299.48,0.0,0.0,1,Clear,sky is clear,4494,2016,8,22,13,0
,271.4,0.0,0.0,90,Clouds,overcast clouds,5809,2014,3,7,17,4
,272.15,0.0,0.0,1,Clear,sky is clear,468,2013,11,25,0,0
,272.77,0.0,0.0,90,Snow,snow,5406,2017,11,3,17,4
,288.66,0.0,0.0,1,Clear,sky is clear,4652,2015,10,3,15,5
,293.28,0.0,0.0,20,Clouds,few clouds,3108,2014,7,15,20,1
,275.11,0.0,0.0,64,Clouds,broken clouds,1306,2014,1,12,22,6
,290.91,0.0,0.0,0,Clear,Sky is Clear,2186,2014,7,2,22,2
,269.21,0.0,0.0,90,Mist,mist,5252,2016,2,4,14,3
,273.35,0.0,0.0,1,Clear,sky is clear,5432,2017,3,31,6,4
,266.84,0.0,0.0,90,Snow,heavy snow,545,2013,2,23,2,5
,252.53,0.0,0.0,1,Clear,sky is clear,274,2016,12,15,2,3
,279.25,0.0,0.0,1,Clear,sky is clear,367,2016,5,8,4,6
,280.39,0.0,0.0,1,Clear,sky is clear,1898,2013,11,15,23,4
,286.64,0.38,0.0,90,Rain,light rain,4853,2013,10,3,11,3
,297.34,0.0,0.0,90,Drizzle,drizzle,3518,2016,9,5,17,0
,293.02,0.0,0.0,1,Clear,sky is clear,6423,2017,9,8,17,4
,266.86,0.0,0.0,90,Clouds,overcast clouds,5311,2017,11,10,14,4
,261.86,0.0,0.0,90,Clouds,overcast clouds,3094,2018,2,8,20,3
,301.68,0.0,0.0,40,Clouds,scattered clouds,4159,2017,9,3,16,6
,292.08,0.0,0.0,5,Clear,sky is clear,1798,2017,8,7,22,0
,254.89,0.0,0.0,64,Clouds,broken clouds,2183,2013,12,23,20,0
,269.15,0.0,0.0,1,Clear,sky is clear,2070,2016,11,20,20,6
,294.15,0.0,0.0,1,Rain,heavy intensity rain,668,2018,8,4,1,5
,286.82,0.0,0.0,1,Clear,sky is clear,6583,2018,5,18,7,4
,272.9,0.0,0.0,90,Clouds,overcast clouds,4655,2017,2,25,17,5
,275.22,0.0,0.0,90,Clouds,overcast clouds,6291,2013,4,8,8,0
,257.54,0.0,0.0,1,Clear,sky is clear,5183,2013,3,22,6,4
,295.28,0.0,0.0,5,Clear,sky is clear,4978,2017,6,1,12,3
,275.15,0.0,0.0,90,Rain,light rain,309,2016,11,30,3,2
,274.15,0.0,0.0,90,Snow,light snow,5266,2016,11,22,16,1
,270.62,0.0,0.0,64,Clouds,broken clouds,548,2013,11,30,2,5
,275.2,0.0,0.0,40,Clouds,scattered clouds,4904,2013,4,20,16,5
,292.57,0.0,0.0,90,Thunderstorm,thunderstorm with heavy rain,3013,2017,10,3,5,1
,271.65,0.0,0.0,1,Mist,mist,474,2016,11,26,2,5
,302.21,0.0,0.0,40,Clouds,scattered clouds,5153,2014,7,21,12,0
,284.69,0.0,0.0,92,Mist,mist,321,2013,6,7,2,4
,299.53,0.0,0.0,20,Clouds,few clouds,3536,2016,6,25,9,5
,296.87,0.25,0.0,75,Rain,light rain,4754,2016,5,23,12,0
,275.35,0.0,0.0,75,Clouds,broken clouds,4676,2017,2,26,13,6
,272.58,0.0,0.0,90,Mist,mist,571,2013,4,20,2,5
,278.83,0.0,0.0,1,Clear,sky is clear,5798,2018,9,28,8,4
,266.65,0.0,0.0,40,Clouds,scattered clouds,3974,2013,2,18,10,0
,279.11,0.0,0.0,1,Clear,sky is clear,2838,2013,9,13,5,4
,275.42,0.0,0.0,75,Clouds,broken clouds,950,2018,3,24,1,5
,249.65,0.0,0.0,1,Clear,sky is clear,647,2018,1,13,5,5
,290.62,0.0,0.0,90,Mist,mist,362,2017,8,10,1,3
,296.71,0.0,0.0,1,Clear,sky is clear,3422,2015,8,7,20,4
,273.95,0.0,0.0,90,Haze,haze,3001,2016,12,24,10,5
,279.5,0.0,0.0,75,Clouds,broken clouds,7107,2013,11,20,7,2
,267.15,0.0,0.0,1,Clear,sky is clear,635,2017,12,10,5,6
,272.36,0.0,0.0,90,Fog,fog,3066,2018,1,22,13,0
,285.83,0.0,0.0,75,Clouds,broken clouds,1253,2016,7,2,6,5
,265.05,0.0,0.0,75,Snow,heavy snow,3991,2013,1,26,10,5
,258.83,0.0,0.0,64,Clouds,broken clouds,5792,2013,12,5,16,3
,250.91,0.0,0.0,100,Clouds,overcast clouds,2337,2013,2,1,5,4
,291.16,0.0,0.0,1,Clear,sky is clear,1028,2013,9,29,23,6
,292.22,0.0,0.0,1,Mist,mist,893,2018,5,30,4,2
,285.01,0.0,0.0,1,Clear,sky is clear,880,2017,8,5,5,5
,270.71,0.0,0.0,64,Clouds,broken clouds,5276,2013,11,19,9,1
,289.6,4.04,0.0,90,Mist,mist,1047,2015,9,9,23,2
,259.95,0.0,0.0,75,Clouds,broken clouds,4388,2018,1,30,10,1
,268.02,0.0,0.0,90,Mist,mist,353,2018,4,15,0,6
,297.75,0.0,0.0,12,Rain,light rain,3006,2013,8,22,21,3
,259.53,0.0,0.0,5,Clear,sky is clear,2251,2018,1,11,20,3
,286.58,0.0,0.0,40,Clouds,scattered clouds,5355,2018,4,27,18,4
,284.75,0.0,0.0,1,Haze,haze,387,2016,5,22,3,6
,264.29,0.0,0.0,1,Clear,sky is clear,310,2017,2,6,3,0
,298.48,0.0,0.0,1,Clear,sky is clear,3620,2015,7,9,19,3
,291.31,0.0,0.0,1,Clear,sky is clear,5690,2016,5,6,8,4
,287.35,0.51,0.0,44,Rain,light rain,812,2013,10,12,1,5
,260.22,0.0,0.0,1,Clear,sky is clear,345,2017,3,10,3,4
,297.38,1.52,0.0,1,Mist,mist,310,2016,9,6,3,1
,302.93,0.0,0.0,0,Clear,Sky is Clear,4879,2013,7,5,14,4
,287.08,0.0,0.0,0,Clear,Sky is Clear,862,2013,9,26,4,3
,287.58,1.0,0.0,68,Rain,light rain,763,2013,6,10,4,0
,291.96,0.0,0.0,90,Clouds,overcast clouds,5799,2017,7,13,15,3
,264.44,0.0,0.0,90,Snow,light snow,838,2015,12,18,4,4
,250.02,0.0,0.0,20,Clouds,few clouds,4680,2014,2,26,6,2
,290.35,0.0,0.0,5,Clear,sky is clear,1728,2017,8,28,22,0
,290.82,0.64,0.0,90,Mist,mist,5406,2016,5,27,15,4
,268.26,0.0,0.0,90,Mist,mist,2549,2012,12,18,21,1
,274.15,0.0,0.0,90,Mist,mist,2494,2016,12,23,20,4
,271.15,0.0,0.0,90,Mist,mist,836,2018,4,3,4,1
,288.38,0.0,0.0,90,Rain,light rain,2498,2017,9,25,20,0
,273.88,0.0,0.0,90,Drizzle,light intensity drizzle,770,2016,2,7,1,6
,283.54,0.0,0.0,40,Clouds,scattered clouds,5066,2018,9,28,12,4
,290.87,0.0,0.0,40,Mist,mist,258,2013,5,21,2,1
,274.09,0.0,0.0,90,Mist,mist,973,2016,11,25,6,4
,297.981,0.0,0.0,44,Clouds,scattered clouds,4416,2018,8,7,10,1
,274.22,0.0,0.0,1,Clear,sky is clear,1479,2017,12,2,0,5
,303.36,0.0,0.0,40,Clouds,scattered clouds,3608,2017,7,22,19,5
,292.22,0.0,0.0,1,Mist,mist,1569,2018,8,18,0,5
,296.69,0.0,0.0,40,Clouds,scattered clouds,3125,2016,4,17,20,6
,268.36,0.0,0.0,1,Clear,sky is clear,5581,2017,12,22,14,4
,276.46,0.25,0.0,1,Rain,light rain,4917,2014,3,29,12,5
,288.957,0.0,0.0,24,Clouds,few clouds,2854,2016,10,11,5,1
,291.02,8.89,0.0,40,Rain,heavy intensity rain,626,2015,6,28,2,6
,296.15,0.0,0.0,40,Clouds,scattered clouds,3249,2015,7,31,21,4
,294.22,0.0,0.0,40,Clouds,scattered clouds,293,2016,9,7,1,2
,296.15,0.0,0.0,40,Clouds,scattered clouds,5066,2017,6,1,13,3
,290.6,0.6,0.0,36,Rain,light rain,686,2016,6,9,0,3
,286.87,0.0,0.0,1,Clear,sky is clear,1018,2017,9,3,6,6
,271.0,0.0,0.0,90,Snow,heavy snow,807,2013,2,11,4,0
,295.41,0.0,0.0,20,Clouds,few clouds,1816,2016,7,24,22,6
,302.27,0.0,0.0,40,Clouds,scattered clouds,6023,2015,7,24,16,4
,278.09,0.0,0.0,1,Clear,sky is clear,350,2018,4,26,3,3
,266.94,0.0,0.0,1,Clear,sky is clear,376,2018,3,7,1,2
,289.69,0.0,0.0,1,Mist,mist,957,2018,7,23,4,0
,277.86,0.0,0.0,90,Clouds,overcast clouds,3619,2015,12,5,22,5
,295.28,0.0,0.0,75,Mist,mist,5288,2018,7,13,8,4
,271.09,0.0,0.0,75,Snow,light snow,321,2017,2,1,3,2
,293.0,0.0,0.0,20,Clouds,few clouds,5005,2013,4,30,13,1
,291.36,0.0,0.0,0,Clear,Sky is Clear,1415,2013,8,3,0,5
,290.49,0.0,0.0,40,Clouds,scattered clouds,5789,2017,4,14,15,4
,293.85,0.25,0.0,20,Fog,fog,2066,2018,9,2,22,6
,282.35,0.0,0.0,100,Drizzle,drizzle,4339,2012,10,20,11,5
,255.08,0.0,0.0,1,Snow,light snow,4967,2018,2,7,7,2
,284.62,0.0,0.0,40,Clouds,scattered clouds,2845,2017,5,30,5,1
,273.02,0.0,0.0,1,Clear,sky is clear,2208,2017,2,12,21,6
,260.53,0.0,0.0,90,Snow,light snow,291,2013,12,9,1,0
,276.87,0.0,0.0,1,Clear,sky is clear,4775,2017,2,12,16,6
,275.08,0.0,0.0,40,Clouds,scattered clouds,751,2018,3,3,1,5
,283.16,0.0,0.0,20,Rain,light rain,5476,2013,10,16,14,2
,269.79,0.0,0.0,90,Fog,fog,1881,2018,4,14,15,5
,298.25,0.0,0.0,1,Clear,sky is clear,6074,2016,9,6,16,1
,279.48,0.0,0.0,20,Clouds,few clouds,5029,2018,1,26,11,4
,296.23,0.55,0.0,40,Rain,moderate rain,4416,2015,6,26,18,4
,269.04,0.0,0.0,90,Clouds,overcast clouds,4924,2012,11,13,13,1
,294.72,0.48,0.0,90,Rain,light rain,3881,2014,5,31,18,5
,299.73,0.0,0.0,1,Clear,sky is clear,3796,2014,5,24,17,5
,285.91,0.3,0.0,90,Mist,mist,749,2014,5,9,4,4
,285.65,0.0,0.0,75,Clouds,broken clouds,4083,2012,11,18,15,6
,272.02,0.0,0.0,20,Clouds,few clouds,3613,2016,11,20,15,6
,256.41,0.0,0.0,64,Clouds,broken clouds,2891,2014,1,1,15,2
,287.21,0.0,0.0,1,Clear,sky is clear,5668,2015,8,27,6,3
,294.84,0.0,0.0,90,Rain,moderate rain,365,2018,6,18,3,0
,284.68,0.64,0.0,1,Mist,mist,255,2014,5,20,2,1
,257.63,0.0,0.0,75,Clouds,broken clouds,309,2013,2,22,2,4
,302.69,0.0,0.0,0,Clear,Sky is Clear,3288,2013,7,13,19,5
,284.08,0.0,0.0,90,Rain,light rain,4381,2017,4,2,15,6
,285.86,0.0,0.0,1,Clear,sky is clear,5140,2018,5,10,13,3
,274.08,0.0,0.0,90,Mist,mist,480,2015,12,1,0,1
,302.47,0.0,0.0,20,Clouds,few clouds,5555,2016,7,6,16,2
,285.215,0.0,0.0,48,Clouds,scattered clouds,1580,2017,2,19,22,6
,270.7,0.0,0.0,90,Clouds,overcast clouds,6037,2014,4,14,8,0
,290.08,0.25,0.0,90,Mist,mist,400,2015,8,19,1,2
,288.35,0.0,0.0,90,Rain,moderate rain,4840,2018,5,9,12,2
,270.88,0.0,0.0,1,Clear,sky is clear,5373,2013,4,4,9,3
,256.94,0.0,0.0,90,Clouds,overcast clouds,520,2018,2,4,3,6
,271.76,0.0,0.0,90,Mist,mist,3766,2013,4,13,9,5
,285.15,0.0,0.0,1,Clear,sky is clear,4365,2017,3,20,18,0
,290.02,0.25,0.0,90,Rain,moderate rain,581,2015,8,19,0,2
,268.96,0.0,0.0,75,Snow,light snow,4306,2016,12,28,9,2
,270.77,0.0,0.0,64,Clouds,broken clouds,598,2014,1,4,1,5
,291.57,0.0,0.0,32,Rain,light rain,4414,2013,7,27,12,5
,291.02,4.18,0.0,90,Thunderstorm,thunderstorm with rain,4972,2014,7,25,6,4
,290.68,0.0,0.0,75,Rain,light rain,3260,2016,6,3,21,4
,274.82,0.0,0.0,90,Snow,light snow,5425,2016,11,30,6,2
,293.84,0.0,0.0,1,Mist,mist,687,2014,8,4,0,0
,267.28,0.0,0.0,90,Snow,light snow,1441,2017,12,9,6,5
,255.15,0.0,0.0,1,Clear,sky is clear,1660,2016,2,12,23,4
,266.26,0.0,0.0,90,Clouds,overcast clouds,5016,2013,2,14,6,3
,291.36,0.0,0.0,75,Clouds,broken clouds,308,2018,6,14,2,3
,294.23,0.0,0.0,40,Mist,mist,2903,2018,8,17,22,4
,292.04,0.0,0.0,90,Drizzle,light intensity drizzle,727,2013,5,18,1,5
,288.99,0.0,0.0,75,Mist,mist,2986,2017,8,10,5,3
,266.92,0.0,0.0,90,Snow,light snow,5211,2018,4,6,6,4
,263.4,0.0,0.0,90,Mist,mist,691,2016,12,11,1,6
,294.56,0.0,0.0,90,Clouds,overcast clouds,680,2014,7,6,2,6
,272.22,0.0,0.0,1,Fog,fog,1574,2016,11,26,23,5
,298.58,0.0,0.0,75,Clouds,broken clouds,5312,2018,8,23,14,3
,277.353,0.0,0.0,8,Clear,sky is clear,4915,2017,2,14,12,1
,296.55,0.0,0.0,36,Rain,light rain,5948,2013,6,12,15,2
,256.62,0.0,0.0,40,Clouds,scattered clouds,4254,2014,2,26,10,2
,291.58,0.0,0.0,0,Clear,Sky is Clear,660,2013,8,19,0,0
,294.92,0.0,0.0,1,Clear,sky is clear,2975,2013,5,7,20,1
,287.09,0.0,0.0,90,Mist,mist,5777,2017,10,6,15,4
,259.86,0.0,0.0,0,Clear,sky is clear,5979,2014,1,31,16,4
,254.96,0.0,0.0,1,Haze,haze,545,2017,1,15,3,6
,279.76,0.0,0.0,90,Drizzle,light intensity drizzle,592,2017,4,20,0,3
,285.97,0.0,0.0,40,Clouds,scattered clouds,2824,2015,8,24,5,0
,295.59,0.0,0.0,40,Clouds,scattered clouds,1388,2018,6,14,23,3
,291.5,0.0,0.0,75,Mist,mist,463,2015,8,8,4,5
,260.59,0.0,0.0,100,Clouds,overcast clouds,4543,2013,1,31,11,3
,277.01,0.0,0.0,75,Rain,light rain,1661,2017,10,29,22,6
,284.35,0.0,0.0,90,Rain,moderate rain,4296,2017,3,6,10,0
